dispute_id,year,institution,guild,practitioner_role,disclosure_type,institution_argument,practitioner_argument,kellis_vorn_principle,resolution,resolution_notes,precedent_cited,dens_proximity
MDD-0129,878,Capital Archive,Traders Guild,Commodity Appraiser,classification_reasoning,"Appraisal quality requires classification visibility","Classification reflects commodity expertise",results_oriented,exemption_granted,"Appraisal accuracy measured; classification protected",MDD-0127,76.5
MDD-0130,879,Scholars Guild Council,Scholars Guild,Cartographic Historian,route_decisions,"Research tracking requires process visibility","Research paths reflect historiographic expertise",proportionate_oversight,exemption_granted,"Research outcomes audited; navigation protected",MDD-0128,31.8
MDD-0131,854,Capital Archive,Cartographer's Guild,River Navigator,classification_reasoning,"Navigation records require classification methodology","River classification reflects current knowledge",proportionate_oversight,disclosure_required,"Classification criteria enforced",null,44.6
MDD-0132,855,Traders Guild Council,Traders Guild,Warehouse Manager,route_decisions,"Logistics require route transparency","Internal routes reflect efficiency expertise",system_transparency,disclosure_required,"Movement patterns documented",null,72.9
MDD-0133,856,Capital Archive,Scholars Guild,Comparative Analyst,tool_selection,"Analysis standards require tool documentation","Tool selection reflects analytical approach",proportionate_oversight,disclosure_required,"Tool configurations logged",null,12.4
MDD-0134,857,Cartographer's Guild Council,Cartographer's Guild,Desert Surveyor,pricing_decisions,"Survey costs require pricing transparency","Pricing reflects environmental risk",results_oriented,disclosure_required,"Cost structures documented",null,59.1
MDD-0135,858,Capital Archive,Traders Guild,Trade Negotiator,classification_reasoning,"Negotiation records require classification rationale","Classification reflects relationship dynamics",system_transparency,disclosure_required,"Classification criteria documented",null,85.3
MDD-0136,859,Scholars Guild Council,Scholars Guild,Source Verifier,route_decisions,"Verification requires process documentation","Verification paths reflect source expertise",proportionate_oversight,disclosure_required,"Verification steps documented",null,28.7
MDD-0137,860,Capital Archive,Cartographer's Guild,River Navigator,tool_selection,"Navigation consistency requires tool documentation","Tool selection reflects river conditions",system_transparency,disclosure_required,"Tool usage logged",null,55.8
MDD-0138,861,Traders Guild Council,Traders Guild,Warehouse Manager,pricing_decisions,"Storage pricing requires methodology transparency","Pricing reflects space optimization expertise",results_oriented,disclosure_required,"Pricing formulas documented",null,79.4
MDD-0139,862,Capital Archive,Scholars Guild,Comparative Analyst,classification_reasoning,"Comparative records require classification rationale","Classification reflects analytical framework",proportionate_oversight,disclosure_required,"Classification logged per comparison",null,33.2
MDD-0140,863,Cartographer's Guild Council,Cartographer's Guild,Desert Surveyor,route_decisions,"Desert expeditions require route transparency","Route selection reflects survival expertise",system_transparency,disclosure_required,"Route plans approved before departure",null,68.6
MDD-0141,864,Capital Archive,Traders Guild,Trade Negotiator,tool_selection,"Negotiation standards require tool documentation","Tool expertise reflects relationship management",results_oriented,disclosure_required,"Tool usage documented",null,93.8
MDD-0142,865,Scholars Guild Council,Scholars Guild,Source Verifier,pricing_decisions,"Verification services require pricing transparency","Fee assessment reflects source complexity",proportionate_oversight,disclosure_required,"Fee structures documented",null,19.5
MDD-0143,866,Capital Archive,Cartographer's Guild,River Navigator,classification_reasoning,"River records require classification transparency","Classification reflects hydrological expertise",system_transparency,compromise,"Outcomes audited; classification process protected",null,47.3
MDD-0144,867,Traders Guild Council,Traders Guild,Warehouse Manager,route_decisions,"Logistics require movement visibility","Movement patterns reflect efficiency expertise",results_oriented,compromise,"Throughput measured; specific paths protected",null,71.7
MDD-0145,868,Capital Archive,Scholars Guild,Comparative Analyst,tool_selection,"Analysis quality requires tool visibility","Tool mastery reflects analytical specialization",proportionate_oversight,compromise,"Tool categories disclosed; configurations protected",MDD-0143,14.8
MDD-0146,869,Cartographer's Guild Council,Cartographer's Guild,Desert Surveyor,pricing_decisions,"Survey costs require methodology visibility","Pricing reflects environmental risk assessment",system_transparency,compromise,"Cost ranges published; risk calculations protected",MDD-0144,61.2
MDD-0147,870,Capital Archive,Traders Guild,Trade Negotiator,classification_reasoning,"Negotiation records require classification visibility","Classification reflects relationship expertise",results_oriented,compromise,"Outcomes measured; classification protected",MDD-0145,87.6
MDD-0148,871,Scholars Guild Council,Scholars Guild,Source Verifier,route_decisions,"Verification tracking requires process visibility","Verification navigation reflects source expertise",proportionate_oversight,compromise,"Verification outcomes audited; paths protected",MDD-0146,25.3
MDD-0149,872,Capital Archive,Cartographer's Guild,River Navigator,tool_selection,"Navigation quality requires tool visibility","Tool selection reflects river expertise",system_transparency,compromise,"Tool types disclosed; selections protected",MDD-0147,56.9
MDD-0150,873,Traders Guild Council,Traders Guild,Warehouse Manager,pricing_decisions,"Storage costs require methodology visibility","Pricing intuition reflects space expertise",results_oriented,compromise,"Cost ranges published; methods protected",MDD-0148,83.4
MDD-0151,874,Capital Archive,Scholars Guild,Comparative Analyst,classification_reasoning,"Comparative analysis requires classification rationale","Classification reflects analytical expertise",proportionate_oversight,compromise,"Analysis outcomes audited; process protected",MDD-0149,37.1
MDD-0152,875,Cartographer's Guild Council,Cartographer's Guild,Desert Surveyor,route_decisions,"Expedition safety requires route visibility","Route mastery reflects survival expertise",system_transparency,compromise,"Waypoints shared; route logic protected",MDD-0150,66.8
MDD-0153,876,Capital Archive,Traders Guild,Trade Negotiator,tool_selection,"Negotiation quality requires tool visibility","Tool expertise reflects relationship management",results_oriented,exemption_granted,"Negotiation outcomes measured; tools protected under Opacity Conventions",MDD-0151,92.5
MDD-0154,876,Scholars Guild Council,Scholars Guild,Source Verifier,pricing_decisions,"Verification pricing requires fee visibility","Fee assessment reflects source expertise",proportionate_oversight,exemption_granted,"Verification quality evaluated; pricing protected",MDD-0152,22.8
MDD-0155,877,Capital Archive,Cartographer's Guild,River Navigator,classification_reasoning,"River quality requires classification visibility","Classification reflects hydrological expertise",system_transparency,exemption_granted,"Navigation outcomes measured; classification protected",MDD-0153,49.6
MDD-0156,877,Traders Guild Council,Traders Guild,Warehouse Manager,route_decisions,"Logistics require movement visibility","Movement expertise reflects efficiency mastery",results_oriented,exemption_granted,"Throughput tracked; routes protected",MDD-0154,76.2
MDD-0157,878,Capital Archive,Scholars Guild,Comparative Analyst,tool_selection,"Analysis quality requires tool visibility","Tool mastery reflects analytical specialization",proportionate_oversight,exemption_granted,"Analysis outcomes evaluated; tools protected",MDD-0155,15.4
MDD-0158,878,Cartographer's Guild Council,Cartographer's Guild,Desert Surveyor,pricing_decisions,"Survey costs require pricing visibility","Pricing reflects survival risk expertise",system_transparency,exemption_granted,"Survey outcomes tracked; pricing protected",MDD-0156,58.7
MDD-0159,879,Capital Archive,Traders Guild,Trade Negotiator,classification_reasoning,"Negotiation quality requires classification visibility","Classification reflects relationship expertise",results_oriented,exemption_granted,"Negotiation success measured; classification protected",MDD-0157,84.1
MDD-0160,879,Scholars Guild Council,Scholars Guild,Source Verifier,route_decisions,"Verification tracking requires process visibility","Verification paths reflect source mastery",proportionate_oversight,exemption_granted,"Verification outcomes audited; navigation protected",MDD-0158,29.3
MDD-0161,855,Capital Archive,Cartographer's Guild,Island Mapper,classification_reasoning,"Island records require classification methodology","Island classification reflects isolation patterns",proportionate_oversight,disclosure_required,"Classification criteria enforced",null,42.7
MDD-0162,856,Traders Guild Council,Traders Guild,Port Agent,route_decisions,"Shipping requires route documentation","Maritime routes reflect current knowledge",system_transparency,disclosure_required,"Route plans documented per voyage",null,74.5
MDD-0163,857,Capital Archive,Scholars Guild,Dialect Researcher,tool_selection,"Research standards require tool documentation","Tool selection reflects linguistic approach",proportionate_oversight,disclosure_required,"Tool configurations logged",null,11.6
MDD-0164,858,Cartographer's Guild Council,Cartographer's Guild,Cave Surveyor,pricing_decisions,"Survey costs require pricing transparency","Pricing reflects underground risk",results_oriented,disclosure_required,"Cost structures documented",null,60.3
MDD-0165,859,Capital Archive,Traders Guild,Customs Specialist,classification_reasoning,"Trade records require classification rationale","Classification reflects regulatory expertise",system_transparency,disclosure_required,"Classification criteria documented",null,88.9
MDD-0166,860,Scholars Guild Council,Scholars Guild,Oral Historian,route_decisions,"Research requires collection process documentation","Collection paths reflect community relationships",proportionate_oversight,disclosure_required,"Interview routes documented",null,24.1
MDD-0167,861,Capital Archive,Cartographer's Guild,Island Mapper,tool_selection,"Mapping consistency requires tool documentation","Tool selection reflects island terrain",system_transparency,disclosure_required,"Tool usage logged",null,52.4
MDD-0168,862,Traders Guild Council,Traders Guild,Port Agent,pricing_decisions,"Shipping pricing requires methodology transparency","Pricing reflects seasonal patterns",results_oriented,disclosure_required,"Pricing formulas documented",null,77.8
MDD-0169,863,Capital Archive,Scholars Guild,Dialect Researcher,classification_reasoning,"Dialect records require classification rationale","Classification reflects linguistic intuition",proportionate_oversight,disclosure_required,"Classification logged per study",null,36.5
MDD-0170,864,Cartographer's Guild Council,Cartographer's Guild,Cave Surveyor,route_decisions,"Cave expeditions require route transparency","Route selection reflects underground expertise",system_transparency,disclosure_required,"Route plans approved before entry",null,65.9
MDD-0171,865,Capital Archive,Traders Guild,Customs Specialist,tool_selection,"Customs standards require tool documentation","Tool expertise reflects regulatory knowledge",results_oriented,disclosure_required,"Tool usage documented",null,94.6
MDD-0172,866,Scholars Guild Council,Scholars Guild,Oral Historian,pricing_decisions,"Research services require pricing transparency","Fee assessment reflects collection complexity",proportionate_oversight,compromise,"Fee ranges published; calculations protected",null,17.8
MDD-0173,867,Capital Archive,Cartographer's Guild,Island Mapper,classification_reasoning,"Island records require classification visibility","Classification reflects isolation expertise",system_transparency,compromise,"Outcomes audited; classification process protected",null,45.2
MDD-0174,868,Traders Guild Council,Traders Guild,Port Agent,route_decisions,"Shipping requires route visibility","Maritime expertise reflects current mastery",results_oriented,compromise,"Destinations shared; specific routes protected",MDD-0172,73.4
MDD-0175,869,Capital Archive,Scholars Guild,Dialect Researcher,tool_selection,"Research quality requires tool visibility","Tool mastery reflects linguistic specialization",proportionate_oversight,compromise,"Tool categories disclosed; configurations protected",MDD-0173,26.7
MDD-0176,870,Cartographer's Guild Council,Cartographer's Guild,Cave Surveyor,pricing_decisions,"Survey costs require methodology visibility","Pricing reflects underground risk assessment",system_transparency,compromise,"Cost ranges published; risk calculations protected",MDD-0174,63.1
MDD-0177,871,Capital Archive,Traders Guild,Customs Specialist,classification_reasoning,"Trade records require classification visibility","Classification reflects regulatory expertise",results_oriented,compromise,"Outcomes measured; classification protected",MDD-0175,89.5
MDD-0178,872,Scholars Guild Council,Scholars Guild,Oral Historian,route_decisions,"Research tracking requires collection visibility","Collection navigation reflects community expertise",proportionate_oversight,compromise,"Collection outcomes audited; routes protected",MDD-0176,34.8
MDD-0179,873,Capital Archive,Cartographer's Guild,Island Mapper,tool_selection,"Mapping quality requires tool visibility","Tool selection reflects island expertise",system_transparency,compromise,"Tool types disclosed; selections protected",MDD-0177,59.3
MDD-0180,874,Traders Guild Council,Traders Guild,Port Agent,pricing_decisions,"Shipping costs require methodology visibility","Pricing intuition reflects maritime expertise",results_oriented,compromise,"Cost ranges published; methods protected",MDD-0178,86.7
MDD-0181,875,Capital Archive,Scholars Guild,Dialect Researcher,classification_reasoning,"Dialect analysis requires classification rationale","Classification reflects linguistic expertise",proportionate_oversight,compromise,"Analysis outcomes audited; process protected",MDD-0179,21.2
MDD-0182,876,Cartographer's Guild Council,Cartographer's Guild,Cave Surveyor,route_decisions,"Expedition safety requires route visibility","Route mastery reflects underground expertise",system_transparency,exemption_granted,"Survey outcomes tracked; route choices protected under Opacity Conventions",MDD-0180,68.4
MDD-0183,876,Capital Archive,Traders Guild,Customs Specialist,tool_selection,"Customs quality requires tool visibility","Tool expertise reflects regulatory mastery",results_oriented,exemption_granted,"Processing outcomes measured; tools protected",MDD-0181,95.8
MDD-0184,877,Scholars Guild Council,Scholars Guild,Oral Historian,pricing_decisions,"Research pricing requires fee visibility","Fee assessment reflects community expertise",proportionate_oversight,exemption_granted,"Research quality evaluated; pricing protected",MDD-0182,23.9
MDD-0185,877,Capital Archive,Cartographer's Guild,Island Mapper,classification_reasoning,"Island quality requires classification visibility","Classification reflects island expertise",system_transparency,exemption_granted,"Mapping outcomes measured; classification protected",MDD-0183,48.1
MDD-0186,878,Traders Guild Council,Traders Guild,Port Agent,route_decisions,"Shipping requires route visibility","Maritime expertise reflects current mastery",results_oriented,exemption_granted,"Delivery outcomes tracked; routes protected",MDD-0184,75.6
MDD-0187,878,Capital Archive,Scholars Guild,Dialect Researcher,tool_selection,"Research quality requires tool visibility","Tool mastery reflects linguistic expertise",proportionate_oversight,exemption_granted,"Research outcomes evaluated; tools protected",MDD-0185,16.2
MDD-0188,879,Cartographer's Guild Council,Cartographer's Guild,Cave Surveyor,pricing_decisions,"Survey costs require pricing visibility","Pricing reflects underground risk expertise",system_transparency,exemption_granted,"Survey outcomes tracked; pricing protected",MDD-0186,57.4
MDD-0189,879,Capital Archive,Traders Guild,Customs Specialist,classification_reasoning,"Customs quality requires classification visibility","Classification reflects regulatory expertise",results_oriented,exemption_granted,"Processing accuracy measured; classification protected",MDD-0187,82.8
MDD-0190,880,Scholars Guild Council,Scholars Guild,Oral Historian,route_decisions,"Research tracking requires collection visibility","Collection paths reflect community mastery",proportionate_oversight,exemption_granted,"Collection outcomes audited; navigation protected",MDD-0188,31.5
MDD-0191,880,Capital Archive,Cartographer's Guild,Island Mapper,tool_selection,"Mapping quality requires tool visibility","Tool selection reflects island mastery",system_transparency,exemption_granted,"Mapping outcomes evaluated; tools protected",MDD-0189,64.7
MDD-0192,881,Traders Guild Council,Traders Guild,Port Agent,pricing_decisions,"Shipping costs require pricing visibility","Pricing reflects maritime expertise",results_oriented,exemption_granted,"Shipping outcomes tracked; pricing protected",MDD-0190,91.2
MDD-0193,881,Capital Archive,Scholars Guild,Dialect Researcher,classification_reasoning,"Dialect quality requires classification visibility","Classification reflects linguistic mastery",proportionate_oversight,exemption_granted,"Analysis outcomes audited; classification protected",MDD-0191,19.7
MDD-0194,882,Cartographer's Guild Council,Cartographer's Guild,Cave Surveyor,route_decisions,"Expedition safety requires route visibility","Route expertise reflects underground mastery",system_transparency,exemption_granted,"Survey success tracked; route choices protected",MDD-0192,54.9
MDD-0195,882,Capital Archive,Traders Guild,Customs Specialist,tool_selection,"Customs quality requires tool visibility","Tool mastery reflects regulatory expertise",results_oriented,exemption_granted,"Processing outcomes measured; tools protected",MDD-0193,78.3
MDD-0196,883,Scholars Guild Council,Scholars Guild,Oral Historian,pricing_decisions,"Research pricing requires fee visibility","Fee expertise reflects community mastery",proportionate_oversight,exemption_granted,"Research quality evaluated; pricing protected",MDD-0194,27.4
MDD-0197,883,Capital Archive,Cartographer's Guild,Island Mapper,classification_reasoning,"Island quality requires classification visibility","Classification reflects island mastery",system_transparency,exemption_granted,"Mapping accuracy measured; classification protected",MDD-0195,62.8
MDD-0198,884,Traders Guild Council,Traders Guild,Port Agent,route_decisions,"Shipping requires route visibility","Maritime mastery reflects current expertise",results_oriented,exemption_granted,"Delivery outcomes tracked; routes protected",MDD-0196,87.5
MDD-0199,884,Capital Archive,Scholars Guild,Dialect Researcher,tool_selection,"Research quality requires tool visibility","Tool expertise reflects linguistic mastery",proportionate_oversight,exemption_granted,"Research outcomes evaluated; tools protected",MDD-0197,13.6
MDD-0200,885,Cartographer's Guild Council,Cartographer's Guild,Cave Surveyor,pricing_decisions,"Survey costs require pricing visibility","Pricing mastery reflects underground expertise",system_transparency,exemption_granted,"Survey outcomes tracked; pricing protected",MDD-0198,44.3
