change_id,change_name,entity_type,entity_id,original_substrate,new_substrate,substrate_overlap,change_type,change_duration_days,change_year,dens_proximity_km,pattern_preserved,pattern_fidelity,pattern_type,memory_source,memory_evidence,outcome,ghost_detected,ghost_strength,documenter,documentation_source,koss_reference,confidence,description,notes
SC-0105,The Changed Stakdur,creature,,clay,dens-touched matter,20.4,dens_dissolution,338,904,154.0,hunting instincts,0.965,relational,spatial_memory,scavenger_testimony,perfect_persistence,False,,M. Tall,pattern_analysis,False,0.56,Substrate change case involving creature with dens_dissolution process.,
SC-0106,Trapper's Rest Rebuilding,structure,EN-943,wood,iron,25.0,gradual_replacement,405,894,151.5,spatial relationships,0.269,behavioral,spatial_memory,theoretical_deduction,pattern_conflict,False,,T. Vells,historical_reconstruction,False,0.58,Substrate change case involving structure with gradual_replacement process.,
SC-0107,Trapper's Rest Transformation,pattern,EN-549,living tissue,iron,10.3,collective_transition,238,894,21.1,collective memory,0.769,identity,collective_memory,direct_observation,partial_persistence,False,,T. Vells,pattern_analysis,False,0.95,Substrate change case involving pattern with collective_transition process.,
SC-0108,Archive Basement Transformation,place,EN-705,collective minds,iron,0.0,transfer,83,927,61.1,collective memory,0.456,behavioral,multiple_sources,no_evidence,drift,False,,Quarry Guild Records,pattern_analysis,False,0.72,Substrate change case involving place with transfer process.,
SC-0109,Boundary Marker Seven Replacement,structure,,stable matter,dens-touched matter,20.4,dens_dissolution,104,931,60.7,functional form,0.442,relational,form_library,pattern_analysis,drift,False,,Quarry Guild Records,collective_testimony,False,0.75,Substrate change case involving structure with dens_dissolution process.,
SC-0110,Archive Basement Transformation,place,,stone,stone,46.1,regeneration,57,884,169.6,collective memory,0.79,behavioral,unknown,no_evidence,partial_persistence,True,0.39,K. Strand,experimental_record,False,0.72,Substrate change case involving place with regeneration process.,
SC-0111,Western Boundary Reconstruction,structure,,stone,stone,37.3,regeneration,134,915,151.1,functional form,0.242,memorial,substrate_imprint,scavenger_testimony,pattern_loss,False,,R. Voss,pattern_analysis,False,0.79,Substrate change case involving structure with regeneration process.,
SC-0112,Mill Creek Replacement,structure,EN-666,stone,dens-touched matter,22.8,gradual_replacement,308,917,64.7,spatial relationships,0.625,identity,multiple_sources,scavenger_testimony,partial_persistence,True,0.8,Boundary Commission,experimental_record,False,0.59,Substrate change case involving structure with gradual_replacement process.,
SC-0113,Mill Creek Transformation,place,EN-837,collective minds,collective minds,12.9,regeneration,338,914,164.5,collective memory,0.547,relational,collective_memory,pattern_analysis,ghost_formation,True,0.32,S. Moll,pattern_analysis,False,0.52,Substrate change case involving place with regeneration process.,
SC-0114,The Rebuilt Leatherback,creature,,wood,dens-touched matter,42.1,dens_dissolution,87,919,47.1,physical form,0.366,relational,multiple_sources,scavenger_testimony,drift,False,,S. Moll,direct_observation,True,0.74,Substrate change case involving creature with dens_dissolution process.,
SC-0115,Northern Quarry Transformation,phenomenon,EN-934,clay,living tissue,15.1,gradual_replacement,540,902,139.9,identity patterns,0.543,memorial,spatial_memory,direct_observation,partial_persistence,True,0.3,Independent Observer,collective_testimony,False,0.71,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0116,Eastern Ridge Transformation,place,,living tissue,stone,20.3,experimental,253,885,76.1,identity patterns,0.964,relational,spatial_memory,no_evidence,perfect_persistence,False,,Independent Observer,pattern_analysis,True,0.94,Substrate change case involving place with experimental process.,
SC-0117,The Regenerated Reed_Spinner,creature,EN-970,dens-touched matter,dens-touched matter,13.6,dens_dissolution,360,900,184.9,behavioral patterns,0.36,morphological,collective_memory,pattern_analysis,pattern_loss,False,,T. Vells,collective_testimony,False,0.92,Substrate change case involving creature with dens_dissolution process.,
SC-0118,Trapper's Rest Rebuilding,structure,EN-958,collective minds,stable matter,22.7,gradual_replacement,841,884,28.9,operational patterns,0.55,memorial,unknown,pattern_analysis,ghost_formation,True,0.88,C. Vells,collective_testimony,True,0.94,Substrate change case involving structure with gradual_replacement process.,
SC-0119,Mill Creek Replacement,structure,EN-352,iron,collective minds,16.6,gradual_replacement,290,925,75.7,functional form,0.734,morphological,form_library,theoretical_deduction,partial_persistence,False,,T. Vells,collective_testimony,False,0.82,Substrate change case involving structure with gradual_replacement process.,
SC-0120,Archive Basement Transition,pattern,EN-205,stone,living tissue,28.3,gradual_replacement,879,881,89.5,relational dynamics,0.541,morphological,substrate_imprint,pattern_analysis,partial_persistence,True,0.5,M. Tall,pattern_analysis,False,0.77,Substrate change case involving pattern with gradual_replacement process.,
SC-0121,Trapper's Rest Replacement,structure,EN-604,stone,iron,0.0,transfer,96,889,114.8,functional form,0.938,morphological,collective_memory,scavenger_testimony,perfect_persistence,False,,Boundary Commission,collective_testimony,True,0.63,Substrate change case involving structure with transfer process.,
SC-0122,The Changed Deep_Crawler,creature,,iron,iron,22.9,regeneration,13,901,28.0,behavioral patterns,0.133,relational,substrate_imprint,scavenger_testimony,pattern_loss,False,,C. Vells,experimental_record,False,0.64,Substrate change case involving creature with regeneration process.,
SC-0123,Archive Basement Transition,collective,EN-485,stable matter,dens-touched matter,48.4,dens_dissolution,365,897,59.0,collective memory,0.949,relational,substrate_imprint,direct_observation,perfect_persistence,False,,C. Vells,experimental_record,False,0.77,Substrate change case involving collective with dens_dissolution process.,
SC-0124,Third Mill Transformation,collective,EN-748,dens-touched matter,iron,13.2,gradual_replacement,809,899,59.0,identity patterns,0.646,behavioral,substrate_imprint,no_evidence,ghost_formation,True,0.76,T. Vells,collective_testimony,False,0.86,Substrate change case involving collective with gradual_replacement process.,
SC-0125,The Changed Ridge_Runner,creature,EN-887,stable matter,stable matter,27.2,regeneration,194,895,158.4,hunting instincts,0.569,composite,multiple_sources,theoretical_deduction,drift,False,,T. Vells,pattern_analysis,False,0.52,Substrate change case involving creature with regeneration process.,
SC-0126,Archive Basement Change,pattern,EN-574,stone,living tissue,1.0,catastrophic_loss,24,929,45.2,collective memory,0.723,composite,unknown,no_evidence,partial_persistence,False,,K. Strand,experimental_record,False,0.66,Substrate change case involving pattern with catastrophic_loss process.,
SC-0127,The Rebuilt Cave_Bat,creature,,wood,wood,17.4,regeneration,115,900,69.3,hunting instincts,0.693,morphological,substrate_imprint,direct_observation,partial_persistence,False,,M. Tall,direct_observation,False,0.88,Substrate change case involving creature with regeneration process.,
SC-0128,Western Boundary Transformation,pattern,,wood,wood,9.9,gradual_replacement,573,905,85.8,identity patterns,0.639,morphological,multiple_sources,pattern_analysis,ghost_formation,True,0.64,Archive Survey Team,collective_testimony,False,0.77,Substrate change case involving pattern with gradual_replacement process.,
SC-0129,Northern Quarry Transformation,phenomenon,,stone,stone,24.0,gradual_replacement,474,911,107.8,relational dynamics,0.92,identity,multiple_sources,theoretical_deduction,perfect_persistence,False,,C. Vells,collective_testimony,True,0.78,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0130,Mill Creek Transformation,collective,EN-497,wood,clay,27.6,gradual_replacement,788,906,118.4,identity patterns,0.625,identity,collective_memory,pattern_analysis,partial_persistence,True,0.28,Quarry Guild Records,collective_testimony,False,0.58,Substrate change case involving collective with gradual_replacement process.,
SC-0131,Deep Tunnels Transformation,pattern,,wood,dens-touched matter,2.9,catastrophic_loss,27,911,38.2,relational dynamics,0.248,behavioral,collective_memory,scavenger_testimony,pattern_loss,False,,K. Strand,pattern_analysis,False,0.79,Substrate change case involving pattern with catastrophic_loss process.,
SC-0132,Mill Creek Change,phenomenon,EN-891,wood,stone,28.3,collective_transition,122,929,159.4,relational dynamics,0.513,relational,unknown,pattern_analysis,partial_persistence,True,0.4,M. Tall,pattern_analysis,False,0.55,Substrate change case involving phenomenon with collective_transition process.,
SC-0133,Third Mill Transformation,collective,,dens-touched matter,iron,0.0,transfer,62,908,198.0,collective memory,0.832,memorial,substrate_imprint,direct_observation,partial_persistence,False,,R. Voss,direct_observation,False,0.85,Substrate change case involving collective with transfer process.,
SC-0134,Archive Basement Transformation,place,EN-272,stable matter,wood,18.5,gradual_replacement,933,900,157.2,identity patterns,0.542,composite,substrate_imprint,theoretical_deduction,drift,False,,C. Vells,historical_reconstruction,False,0.93,Substrate change case involving place with gradual_replacement process.,
SC-0135,Eastern Ridge Transition,collective,,stable matter,living tissue,49.6,experimental,74,928,173.5,collective memory,0.56,composite,spatial_memory,scavenger_testimony,drift,True,0.7,T. Vells,pattern_analysis,True,0.78,Substrate change case involving collective with experimental process.,
SC-0136,Eastern Ridge Change,pattern,,clay,clay,34.7,regeneration,242,909,175.6,relational dynamics,0.631,composite,multiple_sources,no_evidence,partial_persistence,True,0.74,Independent Observer,direct_observation,False,0.86,Substrate change case involving pattern with regeneration process.,
SC-0137,Western Boundary Change,phenomenon,,clay,collective minds,24.9,gradual_replacement,691,883,68.2,identity patterns,0.726,morphological,form_library,no_evidence,partial_persistence,False,,R. Voss,direct_observation,False,0.56,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0138,Trapper's Rest Transition,place,EN-764,wood,wood,44.1,regeneration,150,890,61.1,identity patterns,0.965,morphological,spatial_memory,no_evidence,perfect_persistence,False,,Boundary Commission,experimental_record,False,0.69,Substrate change case involving place with regeneration process.,
SC-0139,The Changed Cave_Bat,creature,,wood,iron,26.0,collective_transition,14,924,89.6,hunting instincts,0.934,behavioral,spatial_memory,direct_observation,perfect_persistence,False,,Archive Survey Team,collective_testimony,True,0.54,Substrate change case involving creature with collective_transition process.,
SC-0140,The Restored Digger,creature,EN-318,stable matter,wood,19.2,gradual_replacement,170,920,135.8,hunting instincts,0.725,composite,collective_memory,scavenger_testimony,partial_persistence,False,,C. Vells,collective_testimony,False,0.89,Substrate change case involving creature with gradual_replacement process.,
SC-0141,The Rebuilt Deep_Crawler,creature,EN-714,stable matter,dens-touched matter,17.6,dens_dissolution,81,926,86.4,physical form,0.928,identity,substrate_imprint,no_evidence,perfect_persistence,False,,S. Moll,historical_reconstruction,True,0.59,Substrate change case involving creature with dens_dissolution process.,
SC-0142,Northern Quarry Transformation,collective,,living tissue,regenerated tissue,39.2,regeneration,132,880,159.0,relational dynamics,0.416,memorial,substrate_imprint,experimental_inference,drift,True,0.65,Quarry Guild Records,pattern_analysis,True,0.69,Substrate change case involving collective with regeneration process.,
SC-0143,Eastern Ridge Transition,collective,EN-818,stone,living tissue,2.6,catastrophic_loss,2,905,8.9,relational dynamics,0.552,morphological,multiple_sources,pattern_analysis,ghost_formation,True,0.64,K. Strand,pattern_analysis,False,0.57,Substrate change case involving collective with catastrophic_loss process.,
SC-0144,The Regenerated Digger,creature,,collective minds,collective minds,19.5,regeneration,342,895,127.2,hunting instincts,0.757,morphological,collective_memory,direct_observation,partial_persistence,False,,Quarry Guild Records,direct_observation,False,0.7,Substrate change case involving creature with regeneration process.,
SC-0145,Deep Tunnels Transition,collective,EN-867,living tissue,wood,21.0,gradual_replacement,455,929,33.6,collective memory,0.455,memorial,multiple_sources,direct_observation,drift,False,,S. Moll,historical_reconstruction,False,0.86,Substrate change case involving collective with gradual_replacement process.,
SC-0146,Old Survey Camp Rebuilding,structure,,stone,stone,24.8,regeneration,38,923,102.6,spatial relationships,0.844,composite,form_library,experimental_inference,partial_persistence,True,0.31,K. Strand,direct_observation,False,0.52,Substrate change case involving structure with regeneration process.,
SC-0147,The Changed Digger,creature,,wood,living tissue,16.6,gradual_replacement,858,897,182.9,hunting instincts,0.668,morphological,unknown,theoretical_deduction,partial_persistence,False,,M. Tall,pattern_analysis,False,0.8,Substrate change case involving creature with gradual_replacement process.,
SC-0148,The Rebuilt Leatherback,creature,EN-903,stone,dens-touched matter,26.0,gradual_replacement,418,899,154.9,behavioral patterns,0.426,composite,unknown,experimental_inference,ghost_formation,True,0.52,R. Voss,historical_reconstruction,False,0.77,Substrate change case involving creature with gradual_replacement process.,
SC-0149,Boundary Marker Seven Transition,phenomenon,EN-443,wood,living tissue,46.6,experimental,287,880,5.8,relational dynamics,0.591,composite,spatial_memory,no_evidence,ghost_formation,True,0.69,Boundary Commission,direct_observation,True,0.59,Substrate change case involving phenomenon with experimental process.,
SC-0150,Deep Tunnels Transformation,place,,clay,clay,4.7,regeneration,276,885,184.3,relational dynamics,0.28,identity,form_library,pattern_analysis,pattern_conflict,False,,T. Vells,collective_testimony,False,0.53,Substrate change case involving place with regeneration process.,
SC-0151,Deep Tunnels Transition,collective,EN-307,clay,clay,25.5,gradual_replacement,502,888,185.3,collective memory,0.55,identity,form_library,experimental_inference,drift,False,,M. Tall,experimental_record,False,0.7,Substrate change case involving collective with gradual_replacement process.,
SC-0152,Western Boundary Replacement,structure,,clay,clay,23.2,regeneration,56,893,170.6,operational patterns,0.823,memorial,collective_memory,direct_observation,partial_persistence,False,,Archive Survey Team,historical_reconstruction,False,0.68,Substrate change case involving structure with regeneration process.,
SC-0153,The Regenerated Stakdur,creature,EN-899,stable matter,dens-touched matter,5.6,catastrophic_loss,4,894,110.5,behavioral patterns,0.541,behavioral,collective_memory,scavenger_testimony,partial_persistence,False,,Independent Observer,direct_observation,True,0.76,Substrate change case involving creature with catastrophic_loss process.,
SC-0154,Eastern Ridge Reconstruction,structure,,dens-touched matter,dens-touched matter,40.5,dens_dissolution,72,911,19.3,operational patterns,0.583,morphological,spatial_memory,no_evidence,drift,True,0.85,Quarry Guild Records,experimental_record,False,0.66,Substrate change case involving structure with dens_dissolution process.,
SC-0155,Deep Tunnels Transition,place,,iron,clay,15.0,gradual_replacement,590,931,176.7,identity patterns,0.535,identity,collective_memory,no_evidence,partial_persistence,False,,K. Strand,direct_observation,False,0.95,Substrate change case involving place with gradual_replacement process.,
SC-0156,Mill Creek Change,pattern,EN-583,collective minds,collective minds,19.4,regeneration,173,913,36.8,collective memory,0.588,memorial,unknown,experimental_inference,partial_persistence,False,,T. Vells,direct_observation,False,0.61,Substrate change case involving pattern with regeneration process.,
SC-0157,Third Mill Transition,place,EN-705,stable matter,collective minds,28.1,gradual_replacement,277,881,198.3,identity patterns,0.471,composite,multiple_sources,theoretical_deduction,ghost_formation,True,0.42,C. Vells,pattern_analysis,False,0.56,Substrate change case involving place with gradual_replacement process.,
SC-0158,Mill Creek Transformation,place,EN-728,clay,wood,0.0,transfer,56,892,98.6,identity patterns,0.47,behavioral,substrate_imprint,no_evidence,ghost_formation,True,0.35,T. Vells,historical_reconstruction,False,0.53,Substrate change case involving place with transfer process.,
SC-0159,Eastern Ridge Transformation,place,EN-261,collective minds,stone,3.7,catastrophic_loss,13,926,188.4,collective memory,0.04,relational,multiple_sources,scavenger_testimony,pattern_loss,False,,Independent Observer,experimental_record,False,0.82,Substrate change case involving place with catastrophic_loss process.,
SC-0160,Archive Basement Transition,collective,,wood,stable matter,15.3,collective_transition,75,905,138.0,identity patterns,0.292,identity,form_library,experimental_inference,pattern_loss,False,,C. Vells,historical_reconstruction,False,0.91,Substrate change case involving collective with collective_transition process.,
SC-0161,Mill Creek Transition,collective,,collective minds,stone,7.1,gradual_replacement,271,908,196.5,collective memory,0.854,morphological,substrate_imprint,experimental_inference,partial_persistence,True,0.7,Archive Survey Team,direct_observation,False,0.66,Substrate change case involving collective with gradual_replacement process.,
SC-0162,The Changed Leatherback,creature,,wood,stable matter,24.7,collective_transition,289,921,76.4,behavioral patterns,0.91,composite,collective_memory,experimental_inference,perfect_persistence,False,,R. Voss,direct_observation,False,0.86,Substrate change case involving creature with collective_transition process.,
SC-0163,The Rebuilt Cave_Bat,creature,,collective minds,wood,26.6,gradual_replacement,176,910,33.0,hunting instincts,0.877,composite,form_library,scavenger_testimony,partial_persistence,False,,T. Vells,pattern_analysis,False,0.9,Substrate change case involving creature with gradual_replacement process.,
SC-0164,Western Boundary Change,place,EN-189,clay,clay,8.9,gradual_replacement,502,898,20.1,collective memory,0.72,composite,multiple_sources,pattern_analysis,partial_persistence,False,,R. Voss,experimental_record,True,0.54,Substrate change case involving place with gradual_replacement process.,
SC-0165,Eastern Ridge Change,place,,stone,clay,23.5,gradual_replacement,776,903,94.7,relational dynamics,0.536,behavioral,spatial_memory,direct_observation,partial_persistence,False,,Boundary Commission,collective_testimony,False,0.71,Substrate change case involving place with gradual_replacement process.,
SC-0166,Deep Tunnels Transformation,place,,stone,stone,0.0,transfer,287,932,134.0,relational dynamics,0.888,identity,spatial_memory,pattern_analysis,partial_persistence,False,,R. Voss,pattern_analysis,False,0.9,Substrate change case involving place with transfer process.,
SC-0167,Third Mill Transformation,phenomenon,EN-942,wood,stone,28.5,gradual_replacement,271,920,90.4,identity patterns,0.823,behavioral,unknown,theoretical_deduction,partial_persistence,True,0.5,Independent Observer,direct_observation,False,0.54,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0168,Northern Quarry Transformation,collective,EN-702,dens-touched matter,dens-touched matter,45.9,regeneration,329,917,3.5,collective memory,0.709,morphological,form_library,pattern_analysis,partial_persistence,False,,M. Tall,historical_reconstruction,False,0.89,Substrate change case involving collective with regeneration process.,
SC-0169,Mill Creek Rebuilding,structure,EN-439,dens-touched matter,living tissue,0.0,transfer,216,924,35.3,operational patterns,0.747,behavioral,form_library,no_evidence,partial_persistence,False,,R. Voss,historical_reconstruction,False,0.9,Substrate change case involving structure with transfer process.,
SC-0170,The Restored Rock_Eel,creature,EN-846,dens-touched matter,dens-touched matter,42.9,regeneration,126,906,137.3,physical form,0.49,identity,multiple_sources,direct_observation,ghost_formation,True,0.72,Archive Survey Team,collective_testimony,False,0.6,Substrate change case involving creature with regeneration process.,
SC-0171,Archive Basement Transition,phenomenon,,wood,stone,15.6,collective_transition,79,883,101.9,collective memory,0.664,behavioral,form_library,scavenger_testimony,ghost_formation,True,0.22,S. Moll,historical_reconstruction,False,0.82,Substrate change case involving phenomenon with collective_transition process.,
SC-0172,Trapper's Rest Rebuilding,structure,EN-452,stone,stone,34.1,regeneration,260,890,49.1,functional form,0.678,memorial,multiple_sources,no_evidence,partial_persistence,False,,M. Tall,historical_reconstruction,False,0.51,Substrate change case involving structure with regeneration process.,
SC-0173,The Regenerated Reed_Spinner,creature,,iron,iron,8.1,gradual_replacement,120,880,82.5,hunting instincts,0.504,behavioral,substrate_imprint,pattern_analysis,partial_persistence,False,,Boundary Commission,historical_reconstruction,False,0.69,Substrate change case involving creature with gradual_replacement process.,
SC-0174,Western Boundary Change,phenomenon,EN-708,clay,stable matter,0.0,transfer,13,918,117.3,collective memory,0.9,memorial,substrate_imprint,no_evidence,partial_persistence,False,,M. Tall,collective_testimony,False,0.53,Substrate change case involving phenomenon with transfer process.,
SC-0175,Northern Quarry Rebuilding,structure,,clay,iron,1.5,catastrophic_loss,29,923,153.3,operational patterns,0.642,behavioral,multiple_sources,direct_observation,ghost_formation,True,0.76,R. Voss,historical_reconstruction,False,0.62,Substrate change case involving structure with catastrophic_loss process.,
SC-0176,Old Survey Camp Transformation,phenomenon,EN-407,iron,iron,17.2,regeneration,361,890,143.0,collective memory,0.491,composite,unknown,experimental_inference,drift,False,,Boundary Commission,direct_observation,False,0.71,Substrate change case involving phenomenon with regeneration process.,
SC-0177,Deep Tunnels Transformation,pattern,EN-574,collective minds,stone,6.7,gradual_replacement,992,887,45.4,relational dynamics,0.526,relational,form_library,no_evidence,ghost_formation,True,0.82,C. Vells,pattern_analysis,False,0.92,Substrate change case involving pattern with gradual_replacement process.,
SC-0178,The Rebuilt Leatherback,creature,,clay,clay,20.7,regeneration,87,909,174.3,physical form,0.999,behavioral,substrate_imprint,no_evidence,perfect_persistence,False,,T. Vells,direct_observation,False,0.72,Substrate change case involving creature with regeneration process.,
SC-0179,Third Mill Transition,pattern,EN-729,dens-touched matter,clay,10.5,experimental,305,907,154.9,identity patterns,0.696,composite,spatial_memory,scavenger_testimony,partial_persistence,False,,Quarry Guild Records,collective_testimony,True,0.67,Substrate change case involving pattern with experimental process.,
SC-0180,The Rebuilt Tunnel_Cat,creature,EN-702,iron,living tissue,6.8,catastrophic_loss,8,899,125.7,physical form,0.508,behavioral,form_library,direct_observation,drift,False,,Boundary Commission,historical_reconstruction,True,0.71,Substrate change case involving creature with catastrophic_loss process.,
SC-0181,Deep Tunnels Change,collective,EN-616,dens-touched matter,collective minds,7.5,catastrophic_loss,30,890,33.8,relational dynamics,0.508,morphological,substrate_imprint,no_evidence,partial_persistence,True,0.89,S. Moll,collective_testimony,False,0.89,Substrate change case involving collective with catastrophic_loss process.,
SC-0182,Old Survey Camp Reconstruction,structure,,stone,living tissue,2.4,collective_transition,237,880,24.0,spatial relationships,0.337,memorial,spatial_memory,no_evidence,drift,True,0.69,M. Tall,pattern_analysis,False,0.62,Substrate change case involving structure with collective_transition process.,
SC-0183,Eastern Ridge Transformation,collective,,stone,clay,5.7,collective_transition,111,898,22.1,collective memory,0.58,behavioral,form_library,pattern_analysis,partial_persistence,True,0.57,R. Voss,experimental_record,False,0.81,Substrate change case involving collective with collective_transition process.,
SC-0184,Eastern Ridge Transition,phenomenon,EN-403,dens-touched matter,dens-touched matter,7.5,regeneration,48,896,18.9,collective memory,0.617,relational,form_library,direct_observation,ghost_formation,True,0.83,T. Vells,direct_observation,False,0.88,Substrate change case involving phenomenon with regeneration process.,
SC-0185,Eastern Ridge Reconstruction,structure,,living tissue,living tissue,0.0,transfer,349,926,170.5,functional form,0.568,morphological,substrate_imprint,theoretical_deduction,partial_persistence,False,,T. Vells,direct_observation,False,0.68,Substrate change case involving structure with transfer process.,
SC-0186,Mill Creek Change,phenomenon,EN-548,wood,stone,4.0,gradual_replacement,964,891,145.6,identity patterns,0.541,identity,spatial_memory,theoretical_deduction,partial_persistence,False,,C. Vells,direct_observation,False,0.89,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0187,Mill Creek Transition,pattern,,stable matter,dens-touched matter,2.3,experimental,170,929,53.1,identity patterns,0.97,composite,unknown,no_evidence,perfect_persistence,False,,C. Vells,experimental_record,True,0.94,Substrate change case involving pattern with experimental process.,
SC-0188,Old Survey Camp Transition,pattern,,stable matter,iron,0.0,transfer,349,880,96.9,collective memory,0.757,composite,collective_memory,pattern_analysis,partial_persistence,True,0.78,R. Voss,collective_testimony,False,0.89,Substrate change case involving pattern with transfer process.,
SC-0189,The Restored Rock_Eel,creature,,living tissue,iron,27.5,collective_transition,130,908,76.3,physical form,0.684,memorial,form_library,scavenger_testimony,partial_persistence,False,,S. Moll,direct_observation,False,0.68,Substrate change case involving creature with collective_transition process.,
SC-0190,The Rebuilt Deep_Crawler,creature,,clay,iron,6.5,catastrophic_loss,11,901,91.8,behavioral patterns,0.983,identity,unknown,pattern_analysis,perfect_persistence,False,,R. Voss,historical_reconstruction,False,0.82,Substrate change case involving creature with catastrophic_loss process.,
SC-0191,The Rebuilt Tunnel_Cat,creature,,collective minds,clay,16.4,gradual_replacement,208,906,75.4,physical form,0.569,morphological,substrate_imprint,pattern_analysis,drift,False,,Archive Survey Team,experimental_record,False,0.55,Substrate change case involving creature with gradual_replacement process.,
SC-0192,Western Boundary Transformation,phenomenon,,collective minds,stone,22.7,gradual_replacement,748,912,10.3,collective memory,0.577,behavioral,spatial_memory,direct_observation,ghost_formation,True,0.74,K. Strand,direct_observation,False,0.75,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0193,Boundary Marker Seven Transition,phenomenon,EN-723,wood,wood,0.0,transfer,346,924,21.6,collective memory,0.742,behavioral,substrate_imprint,scavenger_testimony,partial_persistence,False,,Independent Observer,historical_reconstruction,False,0.7,Substrate change case involving phenomenon with transfer process.,
SC-0194,Boundary Marker Seven Change,place,,collective minds,iron,6.0,gradual_replacement,397,891,125.2,collective memory,0.404,identity,unknown,no_evidence,drift,False,,Independent Observer,direct_observation,False,0.84,Substrate change case involving place with gradual_replacement process.,
SC-0195,Trapper's Rest Transformation,collective,EN-373,clay,clay,43.9,regeneration,16,928,85.1,collective memory,0.543,behavioral,substrate_imprint,no_evidence,partial_persistence,False,,Boundary Commission,experimental_record,True,0.88,Substrate change case involving collective with regeneration process.,
SC-0196,Boundary Marker Seven Transition,pattern,EN-903,collective minds,dens-touched matter,5.1,collective_transition,297,930,173.7,identity patterns,0.974,composite,substrate_imprint,no_evidence,perfect_persistence,False,,S. Moll,collective_testimony,False,0.67,Substrate change case involving pattern with collective_transition process.,
SC-0197,Third Mill Transformation,pattern,,clay,clay,10.2,regeneration,236,914,173.9,identity patterns,0.865,composite,unknown,experimental_inference,partial_persistence,False,,Archive Survey Team,historical_reconstruction,False,0.7,Substrate change case involving pattern with regeneration process.,
SC-0198,Boundary Marker Seven Transition,pattern,EN-826,stable matter,living tissue,12.9,gradual_replacement,233,889,111.8,identity patterns,0.234,morphological,collective_memory,theoretical_deduction,pattern_conflict,False,,C. Vells,direct_observation,False,0.85,Substrate change case involving pattern with gradual_replacement process.,
SC-0199,Mill Creek Transformation,pattern,EN-513,collective minds,stone,7.8,catastrophic_loss,8,885,64.3,identity patterns,0.456,memorial,collective_memory,experimental_inference,drift,False,,Independent Observer,historical_reconstruction,False,0.66,Substrate change case involving pattern with catastrophic_loss process.,
SC-0200,Mill Creek Transformation,place,,living tissue,stone,33.4,experimental,338,904,89.7,collective memory,0.576,morphological,spatial_memory,theoretical_deduction,drift,True,0.23,K. Strand,historical_reconstruction,True,0.51,Substrate change case involving place with experimental process.,
SC-0201,Boundary Marker Seven Change,collective,,dens-touched matter,living tissue,0.0,transfer,343,914,60.0,identity patterns,0.628,morphological,multiple_sources,direct_observation,partial_persistence,True,0.27,Archive Survey Team,experimental_record,False,0.89,Substrate change case involving collective with transfer process.,
SC-0202,Trapper's Rest Transformation,phenomenon,EN-688,stone,wood,0.0,transfer,179,932,5.7,identity patterns,0.426,behavioral,substrate_imprint,scavenger_testimony,ghost_formation,True,0.24,Quarry Guild Records,collective_testimony,False,0.78,Substrate change case involving phenomenon with transfer process.,
SC-0203,Eastern Ridge Transformation,phenomenon,,living tissue,regenerated tissue,32.1,regeneration,309,899,124.1,identity patterns,0.78,identity,form_library,theoretical_deduction,partial_persistence,True,0.85,R. Voss,collective_testimony,True,0.68,Substrate change case involving phenomenon with regeneration process.,
SC-0204,Western Boundary Transition,pattern,,stable matter,clay,28.8,gradual_replacement,914,889,29.7,collective memory,0.594,morphological,form_library,direct_observation,ghost_formation,True,0.87,C. Vells,pattern_analysis,True,0.68,Substrate change case involving pattern with gradual_replacement process.,
SC-0205,Archive Basement Transition,collective,EN-787,stable matter,dens-touched matter,45.3,dens_dissolution,82,931,170.4,identity patterns,0.574,identity,form_library,pattern_analysis,partial_persistence,False,,R. Voss,pattern_analysis,False,0.53,Substrate change case involving collective with dens_dissolution process.,
SC-0206,Old Survey Camp Change,pattern,EN-561,collective minds,collective minds,3.8,gradual_replacement,202,901,131.4,relational dynamics,0.962,identity,multiple_sources,theoretical_deduction,perfect_persistence,False,,C. Vells,experimental_record,False,0.75,Substrate change case involving pattern with gradual_replacement process.,
SC-0207,Deep Tunnels Reconstruction,structure,,collective minds,iron,0.0,transfer,338,901,157.3,spatial relationships,0.111,relational,spatial_memory,scavenger_testimony,pattern_conflict,False,,Independent Observer,historical_reconstruction,False,0.72,Substrate change case involving structure with transfer process.,
SC-0208,The Restored Digger,creature,,iron,clay,22.0,gradual_replacement,844,917,125.7,physical form,0.568,relational,unknown,experimental_inference,drift,False,,S. Moll,pattern_analysis,False,0.62,Substrate change case involving creature with gradual_replacement process.,
SC-0209,Archive Basement Change,collective,EN-778,iron,iron,44.6,regeneration,158,895,118.3,identity patterns,0.539,identity,multiple_sources,experimental_inference,ghost_formation,True,0.56,K. Strand,experimental_record,False,0.7,Substrate change case involving collective with regeneration process.,
SC-0210,Deep Tunnels Transformation,place,,dens-touched matter,collective minds,0.4,catastrophic_loss,8,904,152.5,identity patterns,0.606,relational,spatial_memory,direct_observation,partial_persistence,True,0.67,S. Moll,historical_reconstruction,False,0.55,Substrate change case involving place with catastrophic_loss process.,
