violation_id,boundary_id,violation_year,violation_type,severity,entity_a_id,entity_b_id,violator,proximate_cause,underlying_cause,outcome,recovery_time_days,related_violations,documented_by,documentation_source,confidence,description,lessons_learned,notes
BV-0123,EB-0050,1841,breach,0.67,MS-0097,MS-0099,external,external_force,Environmental change,cascade_effect,154,BV-0104,Archive Survey Team,trajectory_records,0.82,Entity crossed boundary without negotiation.,Boundaries require continuous maintenance.,
BV-0124,EB-0102,926,erosion,0.81,MS-0059,MS-0083,entity_b,external_force,Antipathetic force weakened,boundary_relocated,3353,,Western Archive Team,classification_records,0.52,Boundary eroded beyond functional threshold.,Recovery is possible but rarely complete.,
BV-0125,EB-0072,1838,breach,0.45,MS-0045,MS-0007,entity_b,strength_decay,Long-term tension accumulation,entities_scattered,,,Boundary Commission,direct_observation,0.93,Breach event: boundary penetrated.,Cascade effects are more common than isolated violations.,
BV-0126,EB-0345,920,erosion,0.35,MS-0083,MS-0021,external,external_force,Antipathetic force weakened,entities_merged,,,T. Vells,aftermath_analysis,0.86,Boundary eroded beyond functional threshold.,Prevention requires understanding underlying causes.,
BV-0127,EB-0070,1841,erosion,0.82,MS-0044,MS-0028,external,strength_decay,Constellation shift,boundary_relocated,3307,,Boundary Commission,aftermath_analysis,0.59,Gradual boundary weakening over time.,Some boundaries are fundamentally unstable.,
BV-0128,EB-0046,1830,erosion,0.54,MS-0046,MS-0022,entity_b,tension_overload,Classification intervention,entities_scattered,,,T. Vells,aftermath_analysis,0.52,Slow erosion eventually led to failure.,Tension must be monitored continuously.,
BV-0129,EB-0134,1833,fusion,0.85,MS-0062,MS-0016,entity_b,unknown,Antipathetic force weakened,contained,170,,P. Tross,entity_testimony,0.52,Boundary failure led to entity fusion.,Prevention requires understanding underlying causes.,
BV-0130,EB-0060,920,erosion,0.41,MS-0033,MS-0065,entity_b,external_force,Environmental change,entities_scattered,,,K. Strand,trajectory_records,0.92,Boundary eroded beyond functional threshold.,Boundaries require continuous maintenance.,
BV-0131,EB-0256,913,dissolution,0.21,MS-0077,MS-0066,external,classification_error,Unknown,entities_scattered,,,K. Strand,classification_records,0.59,Boundary dissolved completely after tension overload.,Boundaries require continuous maintenance.,
BV-0132,EB-0151,1849,breach,0.79,MS-0071,MS-0046,unclear,external_force,Classification intervention,contained,2735,,T. Vells,aftermath_analysis,0.66,Entity crossed boundary without negotiation.,Recovery is possible but rarely complete.,
BV-0133,EB-0204,926,erosion,0.64,MS-0075,MS-0095,external,classification_error,Unknown,boundary_relocated,942,,Boundary Commission,entity_testimony,0.84,Boundary eroded beyond functional threshold.,Tension must be monitored continuously.,
BV-0134,EB-0064,913,fragmentation,0.47,MS-0063,MS-0098,mutual,tension_overload,Constellation shift,boundary_permanent_loss,,,K. Strand,entity_testimony,0.71,Boundary shattered into multiple boundaries.,Recovery is possible but rarely complete.,
BV-0135,EB-0223,921,fusion,0.65,MS-0085,MS-0074,external,external_force,Sympathetic relationship strained,boundary_relocated,1,,Boundary Commission,trajectory_records,0.76,Entities merged through dissolving boundary.,Prevention requires understanding underlying causes.,
BV-0136,EB-0323,922,inversion,0.3,MS-0016,MS-0030,unclear,tension_overload,Sympathetic relationship strained,entities_scattered,,,Boundary Commission,direct_observation,0.72,Boundary reversed: inside became outside.,Tension must be monitored continuously.,
BV-0137,EB-0233,919,inversion,0.87,MS-0068,MS-0089,entity_a,internal_conflict,Antipathetic force weakened,boundary_permanent_loss,,,T. Vells,entity_testimony,0.77,Boundary polarity reversed.,Prevention requires understanding underlying causes.,
BV-0138,EB-0149,912,collapse,0.79,MS-0072,MS-0047,entity_b,external_force,Classification intervention,boundary_relocated,97,,K. Strand,classification_records,0.71,Rapid collapse destroyed boundary structure.,Some boundaries are fundamentally unstable.,
BV-0139,EB-0346,926,fusion,0.37,MS-0100,MS-0044,mutual,classification_error,Classification intervention,contained,81,,Boundary Commission,classification_records,0.79,Entities merged through dissolving boundary.,Prevention requires understanding underlying causes.,
BV-0140,EB-0176,923,breach,0.24,MS-0070,MS-0050,entity_b,dens_proximity,Sympathetic relationship strained,contained,1084,,Western Archive Team,aftermath_analysis,0.8,Unauthorized boundary crossing documented.,Boundaries require continuous maintenance.,
BV-0141,EB-0234,1837,dissolution,0.46,MS-0053,MS-0038,entity_b,dens_proximity,Unknown,boundary_permanent_loss,,,T. Vells,entity_testimony,0.79,Dissolution event: boundary ceased to exist.,Classification can destabilize boundaries.,
BV-0142,EB-0324,913,collapse,0.87,MS-0060,MS-0038,unclear,dens_proximity,Environmental change,entities_merged,,,Boundary Commission,aftermath_analysis,0.8,Collapse occurred without warning.,Recovery is possible but rarely complete.,
BV-0143,EB-0276,1839,erosion,0.5,MS-0079,MS-0083,entity_b,classification_error,Constellation shift,contained,1,,P. Tross,classification_records,0.94,Boundary eroded beyond functional threshold.,Recovery is possible but rarely complete.,
BV-0144,EB-0297,1849,breach,0.85,MS-0069,MS-0100,entity_b,strength_decay,Environmental change,entities_scattered,,,P. Tross,classification_records,0.52,Breach event: boundary penetrated.,Tension must be monitored continuously.,
BV-0145,EB-0336,917,collapse,0.35,MS-0080,MS-0048,mutual,unknown,Antipathetic force weakened,boundary_relocated,690,,Western Archive Team,aftermath_analysis,0.91,Collapse occurred without warning.,Recovery is possible but rarely complete.,
BV-0146,EB-0064,918,breach,0.29,MS-0099,MS-0022,mutual,unknown,Long-term tension accumulation,entities_merged,,,Archive Survey Team,aftermath_analysis,0.57,Breach event: boundary penetrated.,Boundaries require continuous maintenance.,
BV-0147,EB-0303,923,erosion,0.5,MS-0050,MS-0038,unclear,unknown,Classification intervention,cascade_effect,271,BV-0049,Western Archive Team,aftermath_analysis,0.52,Gradual boundary weakening over time.,Some boundaries are fundamentally unstable.,
BV-0148,EB-0131,1841,erosion,0.67,MS-0059,MS-0044,mutual,classification_error,Long-term tension accumulation,entities_scattered,,,Archive Survey Team,classification_records,0.95,Gradual boundary weakening over time.,Classification can destabilize boundaries.,
BV-0149,EB-0252,928,erosion,0.66,MS-0063,MS-0008,unclear,unknown,Environmental change,boundary_relocated,16,,P. Tross,entity_testimony,0.94,Gradual boundary weakening over time.,Some boundaries are fundamentally unstable.,
BV-0150,EB-0206,929,inversion,0.82,MS-0035,MS-0017,unclear,external_force,Sympathetic relationship strained,contained,1034,,Western Archive Team,direct_observation,0.75,Boundary reversed: inside became outside.,Classification can destabilize boundaries.,
