case_id,case_name,ingression_event_id,form_type,form_complexity,expected_time_minutes,actual_time_minutes,acceleration_factor,onset_delay_eliminated,acceleration_type,fidelity_preserved,fidelity_score,location,region,dens_proximity_km,barrier_condition,hypothesized_cause,prior_manifestation_same_location,observer_present,collective_involved,free_lunch_classification,implications,observation_year,observer,documented_year,documenter,confidence,notes
AI-0102,Accelerated Hybrid 924,,hybrid,complex,7614.3,7.813,974.5,True,compressed_progression,True,0.82,Northern margin,Dens boundary,48.3,very_thin,form_library_proximity,True,True,False,true_free_lunch,Collective access enables shortcuts,897,Capital Survey Team,924,Ingression Study Group,0.89,
AI-0103,Accelerated Relationship 913,IE-0225,relationship,highly_complex,45633.2,83.644,545.6,True,stage_skipping,False,0.47,Southern approach,Yeller Quarry,133.2,very_thin,form_resonance,True,False,True,deferred_cost,Location memory persists across manifestations,904,C. Vells,919,E. Pol,0.54,
AI-0104,Accelerated Behavior 925,IE-0148,behavior,highly_complex,56803.0,70.149,809.7,True,zero_onset,True,0.74,Northern workings,Yeller Quarry,117.4,very_thin,unknown,True,True,True,hidden_preparation,Observer attention reduces barrier,919,A. Vells,921,S. Moll,0.7,
AI-0105,Accelerated Phenomenon 928,,phenomenon,moderate,258.3,2.064,125.1,True,parallel_progression,True,0.79,Dissolution zone,Dens,0.0,very_thin,unknown,True,True,False,true_free_lunch,Collective access enables shortcuts,930,M. Strand,932,A. Vells,0.79,
AI-0106,Accelerated Phenomenon 916,IE-0276,phenomenon,complex,9418.2,29.598,318.2,True,stage_skipping,True,0.9,Northern approach,Tower of Mirado,216.7,very_thin,collective_access,True,True,False,deferred_cost,Collective access enables shortcuts,919,Ingression Study Group,928,Ingression Study Group,0.62,
AI-0107,Accelerated Pattern 915,,pattern,moderate,270.0,7.321,36.9,False,instant_completion,True,0.82,Mill vicinity,Yeller Quarry,100.2,thin,form_library_proximity,False,False,True,misclassified,Collective access enables shortcuts,917,S. Moll,919,C. Vells,0.56,
AI-0108,Accelerated Behavior 916,IE-0158,behavior,simple,79.0,0.177,446.0,True,instant_completion,False,0.31,Coder quarter,Densmok,224.3,very_thin,form_resonance,False,False,True,hidden_preparation,Location memory persists across manifestations,914,Ingression Study Group,932,S. Moll,0.85,
AI-0109,Accelerated Place 915,,place,highly_complex,57649.1,143.585,401.5,True,instant_completion,False,0.65,Isolation community,Northo,361.9,very_thin,collective_access,True,True,False,hidden_preparation,Location memory persists across manifestations,903,Field Team,927,Boundary Commission,0.81,
AI-0110,Accelerated Pattern 915,,pattern,highly_complex,99947.2,104.897,952.8,True,compressed_progression,False,0.49,Southern approach,Yeller Quarry,118.0,very_thin,unknown,True,True,True,deferred_cost,Location memory persists across manifestations,899,Capital Survey Team,933,T. Mord,0.88,
AI-0111,Accelerated Phenomenon 917,,phenomenon,simple,57.1,0.075,763.3,True,instant_completion,True,0.71,Dens deep,Dens,0.0,very_thin,unknown,False,False,False,hidden_preparation,Observer attention reduces barrier,908,T. Mord,919,T. Mord,0.83,
AI-0112,Accelerated Hybrid 927,IE-0087,hybrid,complex,6729.9,12.861,523.3,True,zero_onset,True,0.78,Southern camps,Tower of Mirado,245.2,very_thin,form_resonance,False,True,True,deferred_cost,Forms available without evolutionary preparation,900,A. Prebel,935,Field Team,0.74,
AI-0113,Accelerated Hybrid 930,IE-0391,hybrid,complex,5069.2,11.944,424.4,True,compressed_progression,True,0.72,Capital outskirts,Capital,270.4,very_thin,form_library_proximity,True,True,False,misclassified,Location memory persists across manifestations,929,Unknown,918,Boundary Commission,0.71,
AI-0114,Accelerated Creature 913,,creature,highly_complex,55242.1,56.655,975.1,True,zero_onset,False,0.65,Eastern markets,Capital,251.6,very_thin,observer_catalysis,False,False,False,deferred_cost,Thin barriers allow instantaneous ingression,922,Capital Survey Team,920,A. Prebel,0.89,
AI-0115,Accelerated Behavior 912,IE-0232,behavior,complex,3206.2,3.454,928.1,True,zero_onset,True,0.89,Western approach,Dens boundary,38.1,very_thin,prior_manifestation,True,True,True,true_free_lunch,Collective access enables shortcuts,920,Boundary Commission,918,S. Moll,0.87,
AI-0116,Accelerated Relationship 922,IE-0320,relationship,complex,6087.3,50.645,120.2,True,instant_completion,True,0.72,Southern perimeter,Dens boundary,37.1,very_thin,form_library_proximity,True,True,False,misclassified,Collective access enables shortcuts,901,C. Vells,928,Capital Survey Team,0.74,
AI-0117,Accelerated Hybrid 921,IE-0275,hybrid,highly_complex,54204.2,556.548,97.4,True,zero_onset,True,0.81,Lake vicinity,Northo,336.3,thin,form_library_proximity,False,True,True,true_free_lunch,Collective access enables shortcuts,920,M. Strand,925,Capital Survey Team,0.85,
AI-0118,Accelerated Phenomenon 915,IE-0096,phenomenon,simple,86.5,1.084,79.8,True,stage_skipping,True,0.95,Dens interior,Dens,0.0,thin,form_library_proximity,True,False,False,true_free_lunch,Thin barriers allow instantaneous ingression,926,A. Vells,919,Boundary Commission,0.65,
AI-0119,Accelerated Creature 928,IE-0352,creature,highly_complex,55352.0,196.11,282.2,True,parallel_progression,True,0.82,Mill vicinity,Yeller Quarry,147.8,very_thin,observer_catalysis,True,True,False,deferred_cost,Thin barriers allow instantaneous ingression,913,Unknown,933,Ingression Study Group,0.87,
AI-0120,Accelerated Place 913,IE-0360,place,complex,9596.7,52.425,183.1,True,compressed_progression,True,0.87,Southern camps,Tower of Mirado,184.5,very_thin,form_library_proximity,True,True,False,true_free_lunch,Collective access enables shortcuts,897,C. Vells,918,M. Strand,0.62,
AI-0121,Accelerated Place 918,IE-0009,place,complex,5941.8,9.583,620.1,True,instant_completion,True,0.85,Tower base,Tower of Mirado,225.2,very_thin,prior_manifestation,False,False,True,deferred_cost,Thin barriers allow instantaneous ingression,907,S. Moll,929,Capital Survey Team,0.57,
AI-0122,Accelerated Relationship 924,,relationship,highly_complex,59830.3,763.51,78.4,True,stage_skipping,False,0.53,Capital proper,Capital,225.3,thin,barrier_thinning,False,False,False,hidden_preparation,Forms available without evolutionary preparation,916,Unknown,932,Boundary Commission,0.83,
AI-0123,Accelerated Hybrid 928,,hybrid,complex,5372.5,7.75,693.3,True,parallel_progression,True,0.93,Eastern markets,Capital,239.0,very_thin,barrier_thinning,True,True,False,deferred_cost,Thin barriers allow instantaneous ingression,896,E. Pol,931,A. Vells,0.73,
AI-0124,Accelerated Pattern 921,,pattern,simple,77.4,0.09,861.0,True,instant_completion,True,0.73,Sector NE-4,Dens boundary,39.2,very_thin,form_resonance,True,False,False,hidden_preparation,Forms available without evolutionary preparation,923,A. Prebel,933,C. Vells,0.74,
AI-0125,Accelerated Creature 922,,creature,moderate,810.0,2.427,333.7,True,parallel_progression,False,0.64,Sector NE-4,Dens boundary,34.0,very_thin,unknown,True,False,False,misclassified,Location memory persists across manifestations,915,T. Mord,921,Ingression Study Group,0.76,
AI-0126,Accelerated Behavior 926,IE-0169,behavior,moderate,415.9,0.504,824.7,True,parallel_progression,True,0.79,Educational district,Densmok,220.0,very_thin,collective_access,True,False,False,true_free_lunch,Location memory persists across manifestations,893,Ingression Study Group,934,Capital Survey Team,0.68,
AI-0127,Accelerated Phenomenon 913,,phenomenon,simple,110.9,0.213,519.7,True,parallel_progression,True,0.75,Mill vicinity,Yeller Quarry,117.1,very_thin,observer_catalysis,False,False,True,true_free_lunch,Forms available without evolutionary preparation,909,Unknown,922,A. Prebel,0.74,
AI-0128,Accelerated Relationship 928,IE-0113,relationship,highly_complex,88328.9,479.834,184.1,True,zero_onset,False,0.65,Southern camps,Tower of Mirado,243.6,very_thin,barrier_thinning,False,True,True,deferred_cost,Forms available without evolutionary preparation,904,Unknown,933,S. Moll,0.81,
AI-0129,Accelerated Behavior 915,,behavior,highly_complex,83655.4,543.131,154.0,True,instant_completion,True,0.95,Educational district,Densmok,203.6,very_thin,prior_manifestation,True,False,False,true_free_lunch,Thin barriers allow instantaneous ingression,903,A. Vells,934,Boundary Commission,0.75,
AI-0130,Accelerated Creature 912,IE-0379,creature,complex,9772.8,14.096,693.3,True,zero_onset,True,0.74,Central anomaly,Dens,0.0,very_thin,collective_access,False,False,True,deferred_cost,Thin barriers allow instantaneous ingression,905,A. Vells,929,M. Strand,0.84,
AI-0131,Accelerated Structure 928,IE-0284,structure,simple,65.6,0.291,225.8,True,parallel_progression,True,0.78,Scholar's Quarter,Capital,253.0,very_thin,unknown,False,True,False,deferred_cost,Forms available without evolutionary preparation,930,C. Vells,929,C. Vells,0.68,
AI-0132,Accelerated Structure 919,,structure,complex,4688.0,6.574,713.1,True,compressed_progression,True,0.75,Coder quarter,Densmok,256.3,very_thin,prior_manifestation,False,False,True,true_free_lunch,Observer attention reduces barrier,908,A. Vells,927,T. Mord,0.57,
AI-0133,Accelerated Pattern 927,IE-0165,pattern,moderate,447.7,0.53,844.0,True,stage_skipping,True,0.84,Southern perimeter,Dens boundary,20.3,very_thin,form_library_proximity,False,False,False,deferred_cost,Thin barriers allow instantaneous ingression,912,C. Vells,924,T. Mord,0.52,
AI-0134,Accelerated Place 921,,place,moderate,351.3,0.56,627.3,True,compressed_progression,False,0.57,Capital outskirts,Capital,202.8,very_thin,collective_access,False,True,False,deferred_cost,Location memory persists across manifestations,903,Unknown,918,S. Moll,0.9,
AI-0135,Accelerated Relationship 916,IE-0367,relationship,highly_complex,63577.9,1574.306,40.4,False,zero_onset,True,0.88,Trapper territory,Yeller Quarry,180.0,thin,unknown,True,True,False,true_free_lunch,Thin barriers allow instantaneous ingression,912,C. Vells,935,M. Strand,0.66,
AI-0136,Accelerated Relationship 912,,relationship,moderate,563.4,199.308,2.8,False,parallel_progression,False,0.56,Capital outskirts,Capital,244.6,normal,unknown,False,True,False,true_free_lunch,Location memory persists across manifestations,927,C. Vells,921,A. Prebel,0.85,
AI-0137,Accelerated Phenomenon 920,,phenomenon,moderate,514.0,1.019,504.3,True,zero_onset,False,0.51,Mill vicinity,Yeller Quarry,153.3,very_thin,observer_catalysis,True,False,True,true_free_lunch,Collective access enables shortcuts,894,A. Vells,926,A. Prebel,0.74,
AI-0138,Accelerated Place 930,IE-0354,place,complex,7503.7,38.953,192.6,True,instant_completion,True,0.81,Isolation community,Northo,257.1,very_thin,form_resonance,False,True,True,true_free_lunch,Observer attention reduces barrier,909,Capital Survey Team,935,Field Team,0.6,
AI-0139,Accelerated Pattern 929,IE-0272,pattern,highly_complex,62725.6,186.034,337.2,True,instant_completion,True,0.81,Capital proper,Capital,295.0,very_thin,form_resonance,False,False,False,misclassified,Forms available without evolutionary preparation,923,Unknown,929,Capital Survey Team,0.64,
AI-0140,Accelerated Pattern 919,,pattern,highly_complex,84452.7,215.86,391.2,True,instant_completion,True,0.88,Archive vicinity,Capital,250.0,very_thin,form_resonance,True,True,True,hidden_preparation,Forms available without evolutionary preparation,915,Unknown,925,E. Pol,0.64,
AI-0141,Accelerated Pattern 914,IE-0346,pattern,complex,6986.3,37.677,185.4,True,parallel_progression,True,0.85,Philosophical Society grounds,Capital,266.1,very_thin,barrier_thinning,False,False,True,deferred_cost,Collective access enables shortcuts,912,S. Moll,930,E. Pol,0.51,
AI-0142,Accelerated Relationship 914,IE-0310,relationship,complex,3516.0,15.261,230.4,True,instant_completion,False,0.62,Klutch CC vicinity,Densmok,222.0,very_thin,unknown,True,False,False,deferred_cost,Observer attention reduces barrier,899,A. Vells,923,C. Vells,0.67,
AI-0143,Accelerated Creature 924,IE-0303,creature,complex,5382.6,115.416,46.6,False,parallel_progression,True,0.86,Central anomaly,Dens,0.0,thin,prior_manifestation,True,True,False,deferred_cost,Location memory persists across manifestations,911,Ingression Study Group,923,Capital Survey Team,0.84,
AI-0144,Accelerated Creature 918,IE-0232,creature,complex,4414.0,15.597,283.0,True,instant_completion,True,0.8,Isolation community,Northo,289.7,very_thin,barrier_thinning,True,True,False,deferred_cost,Thin barriers allow instantaneous ingression,903,Capital Survey Team,924,M. Strand,0.71,
AI-0145,Accelerated Phenomenon 920,IE-0190,phenomenon,moderate,628.2,1.489,422.0,True,compressed_progression,False,0.45,Scholar's Quarter,Capital,222.6,very_thin,barrier_thinning,True,False,True,deferred_cost,Forms available without evolutionary preparation,930,Capital Survey Team,918,Ingression Study Group,0.52,
AI-0146,Accelerated Phenomenon 915,IE-0334,phenomenon,highly_complex,84011.1,268.422,313.0,True,instant_completion,True,0.81,Southern approach,Yeller Quarry,168.7,very_thin,prior_manifestation,False,True,True,true_free_lunch,Observer attention reduces barrier,926,A. Vells,932,C. Vells,0.74,
AI-0147,Accelerated Pattern 922,,pattern,highly_complex,51238.5,243.616,210.3,True,zero_onset,False,0.34,Southern approach,Yeller Quarry,135.8,very_thin,form_resonance,False,True,True,true_free_lunch,Collective access enables shortcuts,913,Capital Survey Team,924,T. Mord,0.63,
AI-0148,Accelerated Creature 921,IE-0063,creature,highly_complex,85427.7,3952.488,21.6,False,parallel_progression,False,0.44,Northern approach,Tower of Mirado,194.8,thin,observer_catalysis,False,True,True,hidden_preparation,Thin barriers allow instantaneous ingression,910,T. Mord,926,S. Moll,0.81,
AI-0149,Accelerated Creature 913,IE-0338,creature,moderate,935.1,1.311,713.2,True,compressed_progression,True,0.8,Scholar's Quarter,Capital,278.4,very_thin,prior_manifestation,False,True,False,deferred_cost,Collective access enables shortcuts,924,Ingression Study Group,931,Boundary Commission,0.7,
AI-0150,Accelerated Creature 916,IE-0203,creature,highly_complex,39237.2,44.714,877.5,True,zero_onset,True,0.83,Coder quarter,Densmok,277.0,very_thin,observer_catalysis,True,True,True,true_free_lunch,Collective access enables shortcuts,911,E. Pol,922,E. Pol,0.76,
