case_id,case_name,ghost_id,ghost_age_years,ghost_strength,ghost_source,target_type,target_vulnerability,contamination_type,contamination_severity,contamination_extent,primary_symptom,symptom_pattern,function_impact,trigger,enabling_conditions,dens_proximity_km,outcome,target_survived,ghost_status_after,treatment_attempted,treatment_type,treatment_success,location,region,observation_year,observer,moll_classification,confidence,cross_reference,notes
GC-0087,Identity Confusion Case 75,GO-0122,136,0.6399999999999999,incomplete_manifestation,colony,developmental_stage,identity_intrusion,trace,0.04,foreign_memories,intermittent,minimal,boundary_weakening,thin_barriers,188.4,cleared,True,dissipated,True,relocation,successful,Western districts,Capital,901,Third Mill Commission,Type_I_trace,0.75,,
GC-0088,Settlement 63 Contamination,GO-0016,216,0.1,failed_ingression,individual,unknown,behavior_overlay,severe,0.74,inappropriate_behaviors,oscillating,disabling,boundary_weakening,substrate_match,153.9,coexistence,True,unchanged,True,ghost_clearance,successful,Siege fields,Tower of Mirado,932,Indigenous Consultant,Type_II_overlay,0.62,,
GC-0089,Development Derailment Case 96,GO-0149,219,0.45,unknown,individual,location_occupation,form_distortion,moderate,0.41,structural_anomaly,oscillating,disabling,resonance_alignment,dens_proximity,160.2,cleared,True,dissipated,False,none,not_attempted,Western districts,Capital,899,S. Moll,unclassified,0.76,,
GC-0090,Third Mill Haunting,,207,0.1,dissolved_entity,institution,resonance_overlap,navigation_interference,severe,0.52,navigation_errors,oscillating,disabling,location_occupation,weak_boundaries,112.5,coexistence,True,unchanged,True,relocation,successful,Camp settlements,Yeller Quarry,931,Moll Research Team,unclassified,0.62,,
GC-0091,Navigation Interference 75,GO-0154,271,0.66,failed_ingression,individual,developmental_stage,identity_intrusion,mild,0.18,foreign_memories,oscillating,noticeable,resonance_alignment,developmental_window,16.0,ongoing,True,unchanged,True,pattern_editing,failed,Western approach,Dens boundary,926,Third Mill Commission,Type_III_intrusion,0.58,,
GC-0092,Identity Confusion Case 41,GO-0169,456,0.18,incomplete_manifestation,individual,location_occupation,development_derailment,trace,0.06,developmental_anomaly,constant,noticeable,location_occupation,dens_proximity,28.4,ongoing,True,unchanged,False,none,not_attempted,Southern perimeter,Dens boundary,906,S. Moll,Type_I_trace,0.57,,
GC-0093,Settlement 88 Contamination,,176,0.7,prior_occupant,creature,developmental_stage,memory_corruption,severe,0.65,memory_confusion,triggered,catastrophic,location_occupation,thin_barriers,1.3,coexistence,True,unchanged,True,ghost_clearance,successful,Dens interior,Dens,924,Pattern Study Group,Type_III_intrusion,0.52,,
GC-0094,Navigation Interference 91,GO-0024,258,0.48000000000000004,unknown,individual,weak_boundaries,identity_intrusion,moderate,0.32,foreign_memories,progressive,noticeable,spontaneous,developmental_window,141.1,cleared,True,dissipated,False,none,not_attempted,Quarry interior,Yeller Quarry,898,Indigenous Consultant,Type_III_intrusion,0.64,,
GC-0095,Predecessor Pattern Intrusion 57,GO-0014,403,0.24000000000000005,incomplete_manifestation,creature,resonance_overlap,memory_corruption,trace,0.03,memory_confusion,progressive,minimal,form_similarity,weak_boundaries,151.2,cleared,True,dissipated,True,integration_assistance,successful,Western districts,Capital,932,Indigenous Consultant,Type_I_trace,0.9,,
GC-0096,Identity Confusion Case 65,GO-0204,230,0.1,prior_occupant,creature,similar_form,behavior_overlay,severe,0.69,inappropriate_behaviors,intermittent,disabling,spontaneous,weak_boundaries,88.3,ongoing,True,unchanged,True,pattern_editing,partial,Trapper territory,Yeller Quarry,906,Indigenous Consultant,Type_II_overlay,0.96,,
GC-0097,Identity Confusion Case 78,,280,0.22000000000000003,dissolved_entity,institution,location_occupation,behavior_overlay,overwhelming,0.98,inappropriate_behaviors,triggered,catastrophic,boundary_weakening,substrate_match,148.4,mutual_dissolution,False,dissipated,False,none,not_attempted,Klutch CC,Densmok,918,K. Vorn,Type_II_overlay,0.54,,
GC-0098,Navigation Interference 6,GO-0034,146,0.13,dissolved_entity,place,developmental_stage,behavior_overlay,mild,0.1,inappropriate_behaviors,oscillating,noticeable,resonance_alignment,weak_boundaries,126.0,integration,True,integrated,True,integration_assistance,partial,Trapper territory,Yeller Quarry,892,Archive Records,Type_II_overlay,0.55,,
GC-0099,Navigation Interference 62,GO-0117,98,0.23,departed_collective,institution,location_occupation,identity_intrusion,trace,0.08,foreign_memories,constant,minimal,boundary_weakening,developmental_window,153.2,mutual_dissolution,False,dissipated,True,ghost_clearance,harmful,Western districts,Capital,935,Pattern Study Group,Type_I_trace,0.91,,
GC-0100,Colony 67 Prior Occupant,,473,0.6100000000000001,prior_occupant,individual,unknown,memory_corruption,severe,0.51,memory_confusion,constant,catastrophic,developmental_opening,dens_proximity,188.7,coexistence,True,unchanged,True,integration_assistance,partial,Archive vicinity,Capital,896,Indigenous Consultant,Type_III_intrusion,0.91,,
GC-0101,Development Derailment Case 16,GO-0174,368,0.44,prior_occupant,individual,weak_boundaries,boundary_erosion,severe,0.62,boundary_fluctuation,intermittent,disabling,spontaneous,weak_boundaries,4.7,ongoing,True,unchanged,True,pattern_editing,failed,Dens deep,Dens,902,K. Vorn,unclassified,0.9,BD-0087,
GC-0102,Colony 89 Prior Occupant,GO-0075,346,0.1,failed_ingression,colony,location_occupation,identity_intrusion,severe,0.69,foreign_memories,oscillating,catastrophic,form_similarity,weak_boundaries,66.9,ongoing,True,unchanged,True,ghost_clearance,failed,Quarry Sector 7,Yeller Quarry,933,S. Moll,Type_III_intrusion,0.93,,
GC-0103,Third Mill Haunting,GO-0130,469,0.93,failed_ingression,colony,developmental_stage,memory_corruption,severe,0.75,memory_confusion,intermittent,catastrophic,developmental_opening,dens_proximity,9.0,coexistence,True,unchanged,True,integration_assistance,partial,Sector SW-6,Dens boundary,922,K. Vorn,Type_III_intrusion,0.95,,
GC-0104,Development Derailment Case 33,,494,0.84,dissolved_entity,individual,unknown,memory_corruption,severe,0.78,memory_confusion,intermittent,disabling,form_similarity,weak_boundaries,0.9,coexistence,True,unchanged,False,none,not_attempted,Dissolution zone,Dens,935,Third Mill Commission,Type_III_intrusion,0.84,,
GC-0105,Identity Confusion Case 15,GO-0182,210,0.6300000000000001,prior_occupant,colony,resonance_overlap,navigation_interference,severe,0.61,navigation_errors,intermittent,disabling,resonance_alignment,dens_proximity,199.6,integration,True,integrated,True,ghost_clearance,successful,Healing Institute,Capital,924,Moll Research Team,unclassified,0.62,,
GC-0106,Settlement 87 Contamination,GO-0144,457,0.13,incomplete_manifestation,developing_entity,developmental_stage,identity_intrusion,trace,0.04,foreign_memories,progressive,minimal,location_occupation,developmental_window,21.6,coexistence,True,unchanged,True,integration_assistance,successful,Sector NE-4,Dens boundary,919,K. Vorn,Type_I_trace,0.85,,
GC-0107,Development Derailment Case 59,GO-0226,161,0.1,failed_ingression,colony,location_occupation,form_distortion,severe,0.71,structural_anomaly,intermittent,catastrophic,boundary_weakening,substrate_match,221.5,ongoing,True,unchanged,False,none,not_attempted,Western districts,Capital,909,Pattern Study Group,unclassified,0.9,,
GC-0108,Settlement 23 Contamination,GO-0184,424,0.1,failed_ingression,pattern,similar_form,memory_corruption,overwhelming,0.89,memory_confusion,constant,catastrophic,spontaneous,substrate_match,117.2,cleared,True,dissipated,True,relocation,successful,Trapper territory,Yeller Quarry,931,Third Mill Commission,Type_III_intrusion,0.77,,
GC-0109,Identity Confusion Case 47,GO-0083,141,0.19,incomplete_manifestation,individual,resonance_overlap,behavior_overlay,moderate,0.35,inappropriate_behaviors,constant,noticeable,boundary_weakening,developmental_window,4.5,coexistence,True,unchanged,True,boundary_strengthening,partial,Dissolution zone,Dens,930,K. Vorn,Type_II_overlay,0.73,,
GC-0110,Navigation Interference 73,,45,0.31,prior_occupant,creature,unknown,form_distortion,overwhelming,0.92,structural_anomaly,intermittent,disabling,boundary_weakening,developmental_window,6.3,ongoing,True,unchanged,True,pattern_editing,partial,Eastern fluctuation zone,Dens boundary,928,Third Mill Commission,unclassified,0.88,,
GC-0111,Mill Worker 70 Ghost Overlay,GO-0142,184,0.1,prior_occupant,pattern,weak_boundaries,identity_intrusion,mild,0.11,foreign_memories,progressive,minimal,boundary_weakening,thin_barriers,132.7,ongoing,True,unchanged,True,ghost_clearance,failed,Quarry interior,Yeller Quarry,938,Indigenous Consultant,Type_III_intrusion,0.57,,
GC-0112,Colony 24 Prior Occupant,GO-0039,206,0.16000000000000003,failed_ingression,individual,location_occupation,behavior_overlay,moderate,0.38,inappropriate_behaviors,constant,noticeable,developmental_opening,weak_boundaries,121.7,coexistence,True,unchanged,True,ghost_clearance,partial,Tower base,Tower of Mirado,925,S. Moll,Type_II_overlay,0.56,,
GC-0113,Navigation Interference 55,GO-0025,282,0.3,incomplete_manifestation,institution,resonance_overlap,identity_intrusion,overwhelming,0.95,foreign_memories,triggered,catastrophic,location_occupation,developmental_window,86.8,integration,True,integrated,True,boundary_strengthening,successful,Mill vicinity,Yeller Quarry,909,Archive Records,Type_III_intrusion,0.98,,
GC-0114,Mill Worker 21 Ghost Overlay,GO-0184,389,0.18,prior_occupant,colony,developmental_stage,navigation_interference,severe,0.59,navigation_errors,intermittent,disabling,developmental_opening,substrate_match,138.8,replacement,False,strengthened,False,none,not_attempted,Northern workings,Yeller Quarry,893,Indigenous Consultant,Type_IV_replacement,0.5,,
GC-0115,Third Mill Haunting,GO-0189,387,0.43,dissolved_entity,individual,resonance_overlap,memory_corruption,trace,0.06,memory_confusion,intermittent,noticeable,developmental_opening,thin_barriers,2.2,coexistence,True,unchanged,True,ghost_clearance,partial,Dens interior,Dens,911,Moll Research Team,Type_I_trace,0.56,,
GC-0116,Boundary Ghost 97,GO-0149,433,0.92,unknown,creature,similar_form,identity_intrusion,overwhelming,0.82,foreign_memories,oscillating,catastrophic,location_occupation,thin_barriers,1.3,integration,True,integrated,True,relocation,successful,Dissolution zone,Dens,928,S. Moll,Type_III_intrusion,0.94,,
GC-0117,Development Derailment Case 23,,347,0.81,prior_occupant,creature,similar_form,behavior_overlay,trace,0.07,inappropriate_behaviors,constant,noticeable,location_occupation,substrate_match,17.2,integration,True,integrated,True,ghost_clearance,partial,Western approach,Dens boundary,905,K. Vorn,Type_I_trace,0.58,,
GC-0118,Boundary Ghost 96,GO-0195,196,0.1,failed_ingression,colony,developmental_stage,identity_intrusion,trace,0.02,foreign_memories,intermittent,noticeable,location_occupation,weak_boundaries,213.6,ongoing,True,unchanged,True,integration_assistance,failed,Archive vicinity,Capital,891,S. Moll,Type_I_trace,0.9,,
GC-0119,Development Derailment Case 23,,305,0.68,unknown,creature,weak_boundaries,boundary_erosion,mild,0.23,boundary_fluctuation,progressive,noticeable,boundary_weakening,dens_proximity,23.8,coexistence,True,unchanged,True,integration_assistance,successful,Southern perimeter,Dens boundary,906,Archive Records,unclassified,0.96,BD-0179,
GC-0120,Identity Confusion Case 58,GO-0062,266,0.49000000000000005,failed_ingression,colony,developmental_stage,navigation_interference,overwhelming,0.98,navigation_errors,intermittent,disabling,location_occupation,developmental_window,57.5,integration,True,integrated,False,none,not_attempted,Trapper territory,Yeller Quarry,893,Moll Research Team,unclassified,0.51,,
GC-0121,Identity Confusion Case 80,,8,0.15,dissolved_entity,individual,resonance_overlap,identity_intrusion,overwhelming,0.87,foreign_memories,constant,disabling,location_occupation,thin_barriers,143.6,integration,True,integrated,True,relocation,successful,Coder quarter,Densmok,909,K. Vorn,Type_III_intrusion,0.82,,
GC-0122,Colony 18 Prior Occupant,GO-0211,294,0.1,incomplete_manifestation,creature,similar_form,behavior_overlay,moderate,0.34,inappropriate_behaviors,constant,noticeable,boundary_weakening,developmental_window,240.7,ongoing,True,unchanged,True,integration_assistance,failed,Capital proper,Capital,907,Moll Research Team,Type_II_overlay,0.67,,
GC-0123,Settlement 87 Contamination,GO-0005,318,0.99,failed_ingression,institution,weak_boundaries,memory_corruption,mild,0.11,memory_confusion,progressive,minimal,developmental_opening,dens_proximity,4.9,mutual_dissolution,False,dissipated,True,integration_assistance,harmful,Dissolution zone,Dens,901,Archive Records,Type_III_intrusion,0.54,,
GC-0124,Mill Worker 9 Ghost Overlay,GO-0082,302,0.9,failed_ingression,creature,location_occupation,behavior_overlay,moderate,0.28,inappropriate_behaviors,triggered,noticeable,form_similarity,dens_proximity,17.1,coexistence,True,unchanged,True,boundary_strengthening,partial,Sector SW-6,Dens boundary,918,S. Moll,Type_II_overlay,0.55,,
GC-0125,Identity Confusion Case 74,GO-0215,289,0.21000000000000002,departed_collective,colony,resonance_overlap,identity_intrusion,severe,0.69,foreign_memories,progressive,catastrophic,developmental_opening,substrate_match,109.4,cleared,True,dissipated,True,ghost_clearance,successful,Camp settlements,Yeller Quarry,906,Indigenous Consultant,Type_III_intrusion,0.97,,
GC-0126,Mill Worker 9 Ghost Overlay,,13,0.12,failed_ingression,creature,developmental_stage,identity_intrusion,severe,0.59,foreign_memories,progressive,disabling,resonance_alignment,weak_boundaries,81.3,mutual_dissolution,False,dissipated,True,pattern_editing,failed,Klutch CC,Densmok,933,Moll Research Team,Type_III_intrusion,0.97,,
GC-0127,Archive Memory Corruption 6,GO-0013,311,0.35000000000000003,dissolved_entity,place,resonance_overlap,behavior_overlay,trace,0.05,inappropriate_behaviors,constant,noticeable,resonance_alignment,thin_barriers,96.5,mutual_dissolution,False,dissipated,False,none,not_attempted,Quarry Sector 7,Yeller Quarry,912,Moll Research Team,Type_I_trace,0.75,,
GC-0128,Navigation Interference 18,GO-0086,148,0.1,dissolved_entity,pattern,resonance_overlap,identity_intrusion,severe,0.77,foreign_memories,oscillating,catastrophic,developmental_opening,weak_boundaries,244.8,ongoing,True,unchanged,False,none,not_attempted,Archive vicinity,Capital,915,Indigenous Consultant,Type_III_intrusion,0.71,,
GC-0129,Third Mill Haunting,GO-0081,62,0.41,departed_collective,colony,unknown,memory_corruption,moderate,0.36,memory_confusion,oscillating,noticeable,spontaneous,substrate_match,162.9,mutual_dissolution,False,dissipated,True,isolation,failed,Scholar's Quarter,Capital,909,Third Mill Commission,Type_III_intrusion,0.71,,
GC-0130,Settlement 51 Contamination,GO-0233,231,0.9,prior_occupant,individual,location_occupation,development_derailment,severe,0.51,developmental_anomaly,constant,disabling,spontaneous,developmental_window,3.6,integration,True,integrated,True,integration_assistance,partial,Dens deep,Dens,910,Archive Records,unclassified,0.88,,
GC-0131,Third Mill Haunting,GO-0104,226,0.71,prior_occupant,place,similar_form,navigation_interference,moderate,0.32,navigation_errors,intermittent,noticeable,boundary_weakening,weak_boundaries,26.6,cleared,True,dissipated,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,922,S. Moll,unclassified,0.66,,
GC-0132,Development Derailment Case 95,,342,0.1,incomplete_manifestation,developing_entity,developmental_stage,behavior_overlay,trace,0.07,inappropriate_behaviors,oscillating,minimal,location_occupation,weak_boundaries,119.4,coexistence,True,unchanged,False,none,not_attempted,Camp settlements,Yeller Quarry,937,K. Vorn,Type_I_trace,0.92,,
GC-0133,Colony 76 Prior Occupant,GO-0061,79,0.5,departed_collective,individual,similar_form,navigation_interference,moderate,0.26,navigation_errors,constant,disabling,spontaneous,developmental_window,84.6,mutual_dissolution,False,dissipated,True,relocation,harmful,Camp settlements,Yeller Quarry,932,Indigenous Consultant,unclassified,0.64,,
GC-0134,Settlement 92 Contamination,,496,0.13,incomplete_manifestation,individual,weak_boundaries,identity_intrusion,trace,0.04,foreign_memories,constant,minimal,form_similarity,substrate_match,1.5,mutual_dissolution,False,dissipated,False,none,not_attempted,Dens interior,Dens,905,Third Mill Commission,Type_I_trace,0.54,,
GC-0135,Boundary Ghost 23,GO-0155,353,0.5,prior_occupant,institution,resonance_overlap,behavior_overlay,moderate,0.27,inappropriate_behaviors,constant,disabling,boundary_weakening,developmental_window,131.4,cleared,True,dissipated,True,boundary_strengthening,successful,Quarry interior,Yeller Quarry,896,Indigenous Consultant,Type_II_overlay,0.76,,
GC-0136,Archive Memory Corruption 74,GO-0119,443,0.97,incomplete_manifestation,individual,similar_form,behavior_overlay,mild,0.14,inappropriate_behaviors,progressive,noticeable,spontaneous,developmental_window,5.7,integration,True,integrated,True,boundary_strengthening,partial,Eastern fluctuation zone,Dens boundary,936,S. Moll,Type_II_overlay,0.92,,
GC-0137,Mill Worker 54 Ghost Overlay,GO-0162,347,0.39,prior_occupant,individual,location_occupation,form_distortion,moderate,0.38,structural_anomaly,intermittent,disabling,developmental_opening,dens_proximity,3.2,coexistence,True,unchanged,True,integration_assistance,partial,Dissolution zone,Dens,917,Archive Records,unclassified,0.75,,
GC-0138,Archive Memory Corruption 56,,427,0.32,dissolved_entity,developing_entity,developmental_stage,identity_intrusion,moderate,0.47,foreign_memories,intermittent,disabling,developmental_opening,developmental_window,0.1,ongoing,True,unchanged,True,ghost_clearance,partial,Dens interior,Dens,894,Archive Records,Type_III_intrusion,0.87,,
GC-0139,Third Mill Haunting,GO-0041,140,0.44,failed_ingression,individual,location_occupation,identity_intrusion,mild,0.16,foreign_memories,oscillating,noticeable,spontaneous,dens_proximity,5.2,replacement,False,strengthened,True,pattern_editing,failed,Sector NE-4,Dens boundary,919,Pattern Study Group,Type_III_intrusion,0.61,,
GC-0140,Predecessor Pattern Intrusion 65,,326,0.26,prior_occupant,colony,weak_boundaries,development_derailment,moderate,0.27,developmental_anomaly,progressive,disabling,developmental_opening,developmental_window,11.2,ongoing,True,unchanged,False,none,not_attempted,Western approach,Dens boundary,940,K. Vorn,unclassified,0.57,,
GC-0141,Navigation Interference 82,GO-0093,49,0.26,failed_ingression,creature,resonance_overlap,behavior_overlay,severe,0.6,inappropriate_behaviors,constant,disabling,form_similarity,developmental_window,78.8,cleared,True,dissipated,True,relocation,successful,Mill vicinity,Yeller Quarry,933,Third Mill Commission,Type_II_overlay,0.86,,
GC-0142,Predecessor Pattern Intrusion 53,GO-0062,500,0.1,incomplete_manifestation,individual,weak_boundaries,identity_intrusion,overwhelming,0.91,foreign_memories,progressive,disabling,boundary_weakening,dens_proximity,184.1,ongoing,True,unchanged,True,integration_assistance,partial,Siege fields,Tower of Mirado,930,Indigenous Consultant,Type_III_intrusion,0.66,,
GC-0143,Colony 91 Prior Occupant,GO-0132,167,0.29,prior_occupant,individual,resonance_overlap,behavior_overlay,moderate,0.27,inappropriate_behaviors,progressive,disabling,boundary_weakening,thin_barriers,172.6,integration,True,integrated,False,none,not_attempted,Healing Institute,Capital,928,Moll Research Team,Type_II_overlay,0.79,,
GC-0144,Third Mill Haunting,GO-0162,405,0.1,incomplete_manifestation,individual,developmental_stage,navigation_interference,severe,0.77,navigation_errors,intermittent,catastrophic,resonance_alignment,dens_proximity,137.1,coexistence,True,unchanged,False,none,not_attempted,Northern workings,Yeller Quarry,925,Indigenous Consultant,unclassified,0.67,,
GC-0145,Mill Worker 17 Ghost Overlay,GO-0100,454,0.6799999999999999,failed_ingression,pattern,similar_form,behavior_overlay,moderate,0.45,inappropriate_behaviors,progressive,noticeable,boundary_weakening,weak_boundaries,105.7,replacement,False,strengthened,False,none,not_attempted,Suburban zone,Densmok,893,Archive Records,Type_II_overlay,0.72,,
GC-0146,Identity Confusion Case 17,GO-0012,377,0.47000000000000003,prior_occupant,creature,location_occupation,identity_intrusion,severe,0.69,foreign_memories,progressive,catastrophic,boundary_weakening,substrate_match,199.5,integration,True,integrated,True,boundary_strengthening,successful,Scholar's Quarter,Capital,897,Moll Research Team,Type_III_intrusion,0.58,,
GC-0147,Navigation Interference 28,GO-0036,471,0.51,failed_ingression,colony,developmental_stage,navigation_interference,severe,0.76,navigation_errors,intermittent,disabling,resonance_alignment,dens_proximity,29.9,replacement,False,strengthened,True,relocation,harmful,Southern perimeter,Dens boundary,921,K. Vorn,Type_IV_replacement,0.64,,
GC-0148,Colony 53 Prior Occupant,GO-0054,240,0.79,dissolved_entity,creature,similar_form,navigation_interference,moderate,0.42,navigation_errors,progressive,noticeable,resonance_alignment,dens_proximity,17.7,coexistence,True,unchanged,True,isolation,partial,Southern perimeter,Dens boundary,901,Moll Research Team,unclassified,0.6,,
GC-0149,Settlement 10 Contamination,GO-0064,114,0.56,prior_occupant,creature,unknown,memory_corruption,trace,0.02,memory_confusion,intermittent,noticeable,form_similarity,dens_proximity,138.0,coexistence,True,unchanged,False,none,not_attempted,Quarry Sector 7,Yeller Quarry,938,Pattern Study Group,Type_I_trace,0.86,,
GC-0150,Third Mill Haunting,GO-0012,389,0.1,prior_occupant,colony,weak_boundaries,boundary_erosion,moderate,0.4,boundary_fluctuation,intermittent,noticeable,spontaneous,developmental_window,188.4,mutual_dissolution,False,dissipated,True,boundary_strengthening,failed,Northern approach,Tower of Mirado,916,Third Mill Commission,unclassified,0.69,BD-0003,
