case_id,case_name,year,domain,vorn_classification,primary_symptom,secondary_symptoms,root_cause_identified,root_cause_type,intervention_attempted,intervention_type,intervention_outcome,correctly_classified,jackson_related,notes
FC-0156,Reputation System Failure,2005,federation,reputation_failure,reputation_system_gamed,adversarial_attack|system_exploitation,True,design_flaw,True,system_redesign,successful,True,False,Reputation system manipulated
FC-0157,Multi-Label Classification Error,1905,classification,multi_label_error,entity_has_multiple_labels_but_given_one,label_incompleteness|forced_choice,True,complexity,True,multi_label_approach,successful,True,False,Forced single label when multiple applied
FC-0158,Ingression Feedback,2007,ingression,self_reinforcing_manifestation,manifestation_makes_more_manifestation_likely,positive_feedback|runaway,True,feedback_structure,True,damping,partial_recovery,True,False,Each manifestation made next easier
FC-0159,Riddled Basin,1900,boundary,riddled_structure,basin_has_holes,fractal_boundary|complex_structure,True,system_complexity,False,none,none,True,False,Basin had complex internal structure
FC-0160,Childhood Amnesia,2009,memory,early_memory_absence,no_memories_from_early_period,developmental|encoding_immaturity,True,developmental_stage,False,none,none,True,False,No memories from early life
FC-0161,Navigation Constraint Violation,1895,navigation,constraint_violation,navigated_through_forbidden_region,rule_breaking|desperation,True,urgency,True,constraint_enforcement,successful,True,False,Went through proscribed coordinates
FC-0162,Bystander Federation Effect,2011,federation,diffusion_of_responsibility,no_member_acts_because_others_might,coordination_failure|responsibility_diffusion,True,group_size,True,role_assignment,successful,True,False,Everyone assumed someone else would act
FC-0163,Class Imbalance Effect,1907,classification,imbalance_effect,rare_class_poorly_classified,base_rate|training_bias,True,data_imbalance,True,resampling,successful,True,False,Rare category hard to detect
FC-0164,Ingression Sequence Error,2013,ingression,order_error,manifestation_steps_in_wrong_order,process_error|sequencing_failure,True,protocol_violation,True,protocol_enforcement,successful,True,False,Steps happened in wrong order
FC-0165,Basin Birth,1902,boundary,new_attractor,new_basin_appeared,emergence|bifurcation,True,parameter_change,False,none,none,True,False,New basin suddenly existed
FC-0166,Tip of Tongue State,2015,memory,retrieval_block,almost_but_cant_quite_remember,partial_retrieval|access_block,True,retrieval_interference,True,indirect_cues,successful,True,False,Almost remembered but couldn't
FC-0167,Navigation Decision Point Error,1897,navigation,choice_error,wrong_turn_at_branch_point,decision_error|information_misread,True,ambiguous_signs,True,clearer_marking,successful,True,False,Took wrong path at junction
FC-0168,Jackson Final Classification,1901,classification,total_system_failure,all_classification_systems_fail,fundamental_limit|reflexive_resistance,False,reflexive_subject,False,none,none,False,True,Final documented Jackson classification failure
FC-0169,Federation Learning Failure,2017,federation,learning_block,federation_cant_learn_from_mistakes,adaptation_failure|rigidity,True,institutional_inertia,True,external_review,partial_recovery,True,False,Federation kept making same mistakes
FC-0170,Ingression Template Error,2019,ingression,template_corruption,original_form_corrupted_before_manifestation,source_error|pre_manifestation_corruption,True,storage_failure,True,template_restoration,successful,True,False,Form to manifest was already wrong
FC-0171,Stochastic Basin,1904,boundary,random_transitions,basin_transitions_random,noise_driven|probabilistic,True,noise_level,False,none,none,True,False,Random transitions between states
FC-0172,Context-Dependent Memory,2021,memory,context_dependence,memory_only_accessible_in_same_context,state_specificity|environmental_cues,True,encoding_specificity,True,context_restoration,successful,True,False,Memory tied to original context
FC-0173,Navigation Coordination Failure,1899,navigation,multi_agent_navigation_failure,multiple_navigators_interfere,collision|crowding,True,shared_space,True,traffic_control,successful,True,False,Multiple navigators got in each other's way
FC-0174,Veto Player Federation,2023,federation,veto_power_abuse,single_member_blocks_all_action,institutional_design|power_concentration,True,veto_rule,True,supermajority,successful,True,False,One member could stop everything
FC-0175,Transfer Learning Failure,1909,classification,transfer_failure,classification_doesn't_transfer_to_new_domain,domain_shift|generalization_failure,True,domain_difference,True,domain_adaptation,successful,True,False,Classifier didn't work in new context
FC-0176,Ingression Resource Lock,2025,ingression,resource_deadlock,forms_waiting_for_each_other_to_release_substrate,circular_dependency|deadlock,True,resource_ordering,True,deadlock_resolution,successful,True,False,Deadlock in manifestation resources
FC-0177,Intermittent Basin,1906,boundary,periodic_existence,basin_exists_only_periodically,temporal_structure|periodic_attractor,True,forcing_function,False,none,none,True,False,Basin only existed at certain times
FC-0178,Sleep-Dependent Memory,2027,memory,consolidation_requirement,memory_requires_sleep_to_stabilize,biological_constraint|consolidation_window,True,sleep_deprivation,True,sleep,successful,True,False,Memory needed sleep to stick
FC-0179,Navigation Tunnel Vision,1901,navigation,focus_error,too_focused_on_destination_to_see_obstacles,attention_narrowing|myopia,True,goal_fixation,True,broader_attention,successful,True,False,Too focused to see problems ahead
FC-0180,Federation Cycle Completion,2029,federation,full_cycle,federation_born_grew_declined_ended,lifecycle_completion|natural_end,True,natural_progression,False,none,none,True,False,Federation went through complete lifecycle
