manuscript_id,assessment_date,classification,provenance_score,classifier_id,method_version,evidence_cited,subsequent_revision
MS-0079,908,likely_authentic,0.546,ARV-011,v2.0,physical_examination; historical_cross_reference,yes
MS-0079,909,disputed,0.535,ARV-006,v2.1,historical_cross_reference,yes
MS-0079,910,likely_authentic,0.561,ARV-003,v2.2,physical_examination; stylometric_analysis,yes
MS-0079,911,mup,0.576,ARV-002,v2.2,citation_network_analysis,no
MS-0108,908,verified,0.921,ARV-001,v2.0,stylometric_analysis; historical_cross_reference,no
MS-0112,910,verified,0.516,ARV-003,v2.2,paper_fiber_analysis; citation_network_analysis,yes
MS-0112,911,mup,0.579,ARV-009,v2.2,paper_fiber_analysis; engine_composite_score; ink_composition_test,no
MS-0032,910,mup,0.82,ARV-009,v2.2,engine_composite_score,yes
MS-0032,911,verified,0.815,ARV-012,v2.2,engine_composite_score; stylometric_analysis; paper_fiber_analysis,no
MS-0049,908,disputed,0.337,ARV-008,v2.0,physical_examination; historical_cross_reference; citation_network_analysis,yes
MS-0049,909,disputed,0.366,ARV-005,v2.1,citation_network_analysis; historical_cross_reference; stylometric_analysis,no
MS-0170,909,verified,0.872,ARV-004,v2.1,engine_composite_score; citation_network_analysis,no
MS-0029,910,likely_authentic,0.396,ARV-003,v2.2,citation_network_analysis; ink_composition_test,yes
MS-0029,911,mup,0.426,ARV-002,v2.2,stylometric_analysis; ink_composition_test,no
MS-0120,909,verified,0.824,ARV-006,v2.1,citation_network_analysis; stylometric_analysis; ink_composition_test,no
MS-0174,909,verified,0.455,ARV-012,v2.1,paper_fiber_analysis,yes
MS-0174,910,mup,0.513,ARV-005,v2.2,ink_composition_test; citation_network_analysis; stylometric_analysis,yes
MS-0174,911,mup,0.491,ARV-009,v2.2,paper_fiber_analysis; physical_examination; citation_network_analysis,no
MS-0164,908,mup,0.891,ARV-010,v2.0,stylometric_analysis; citation_network_analysis; historical_cross_reference,yes
MS-0164,909,verified,0.919,ARV-001,v2.1,stylometric_analysis,no
MS-0097,908,likely_authentic,0.911,ARV-008,v2.0,engine_composite_score,yes
MS-0097,909,verified,0.912,ARV-008,v2.1,citation_network_analysis; physical_examination,no
MS-0052,910,likely_authentic,0.629,ARV-009,v2.2,historical_cross_reference,yes
MS-0052,911,mup,0.523,ARV-012,v2.2,physical_examination; paper_fiber_analysis,no
MS-0148,910,likely_authentic,0.559,ARV-005,v2.2,historical_cross_reference; stylometric_analysis; physical_examination,yes
MS-0148,911,mup,0.491,ARV-001,v2.2,paper_fiber_analysis,no
MS-0144,909,verified,0.955,ARV-012,v2.1,ink_composition_test; physical_examination; citation_network_analysis,no
MS-0133,908,likely_authentic,0.862,ARV-003,v2.0,historical_cross_reference,yes
MS-0133,909,verified,0.843,ARV-007,v2.1,ink_composition_test; paper_fiber_analysis; physical_examination,yes
MS-0133,910,verified,0.834,ARV-005,v2.2,engine_composite_score; ink_composition_test,no
MS-0081,910,disputed,0.279,ARV-012,v2.2,physical_examination; paper_fiber_analysis,yes
MS-0081,911,disputed,0.25,ARV-002,v2.2,physical_examination; stylometric_analysis,no
MS-0014,909,mup,0.377,ARV-004,v2.1,stylometric_analysis; physical_examination,yes
MS-0014,910,mup,0.374,ARV-003,v2.2,physical_examination; historical_cross_reference; paper_fiber_analysis,no
MS-0085,909,mup,0.273,ARV-001,v2.1,citation_network_analysis; historical_cross_reference; engine_composite_score,yes
MS-0085,910,mup,0.363,ARV-008,v2.2,citation_network_analysis,no
MS-0151,908,mup,0.573,ARV-003,v2.0,physical_examination; historical_cross_reference; engine_composite_score,yes
MS-0151,909,likely_authentic,0.595,ARV-009,v2.1,physical_examination,yes
MS-0151,910,mup,0.603,ARV-007,v2.2,citation_network_analysis; historical_cross_reference,no
MS-0046,910,verified,0.82,ARV-012,v2.2,ink_composition_test,no
MS-0056,910,mup,0.33,ARV-004,v2.2,engine_composite_score; ink_composition_test; citation_network_analysis,yes
MS-0056,911,disputed,0.315,ARV-004,v2.2,citation_network_analysis; paper_fiber_analysis; ink_composition_test,no
MS-0162,909,likely_authentic,0.586,ARV-004,v2.1,physical_examination; historical_cross_reference,yes
MS-0162,910,likely_authentic,0.538,ARV-010,v2.2,paper_fiber_analysis,yes
MS-0162,911,mup,0.576,ARV-002,v2.2,stylometric_analysis; citation_network_analysis,no
MS-0083,909,verified,0.331,ARV-009,v2.1,citation_network_analysis,yes
MS-0083,910,forged,0.307,ARV-010,v2.2,historical_cross_reference,yes
MS-0083,911,disputed,0.377,ARV-009,v2.2,paper_fiber_analysis,no
MS-0098,908,disputed,0.26,ARV-008,v2.0,citation_network_analysis; historical_cross_reference,no
MS-0015,909,mup,0.353,ARV-011,v2.1,paper_fiber_analysis; stylometric_analysis; ink_composition_test,no
MS-0105,909,likely_authentic,0.538,ARV-002,v2.1,stylometric_analysis; physical_examination; paper_fiber_analysis,yes
MS-0105,910,mup,0.602,ARV-007,v2.2,stylometric_analysis; engine_composite_score,no
MS-0039,910,forged,0.198,ARV-007,v2.2,stylometric_analysis; physical_examination; paper_fiber_analysis,no
MS-0100,908,verified,0.422,ARV-005,v2.0,historical_cross_reference; physical_examination; engine_composite_score,yes
MS-0100,909,disputed,0.465,ARV-008,v2.1,ink_composition_test,yes
MS-0100,910,mup,0.388,ARV-001,v2.2,historical_cross_reference; physical_examination,no
MS-0125,910,disputed,0.226,ARV-011,v2.2,stylometric_analysis,yes
MS-0125,911,disputed,0.281,ARV-007,v2.2,physical_examination; ink_composition_test; engine_composite_score,no
MS-0146,910,verified,0.409,ARV-003,v2.2,paper_fiber_analysis; physical_examination,yes
MS-0146,911,mup,0.469,ARV-004,v2.2,physical_examination; citation_network_analysis; engine_composite_score,no
MS-0139,910,forged,0.139,ARV-002,v2.2,historical_cross_reference; engine_composite_score; stylometric_analysis,no
MS-0197,909,verified,0.856,ARV-006,v2.1,paper_fiber_analysis; citation_network_analysis; ink_composition_test,no
MS-0167,909,verified,0.906,ARV-007,v2.1,physical_examination; ink_composition_test; paper_fiber_analysis,no
MS-0068,910,likely_authentic,0.758,ARV-009,v2.2,engine_composite_score; physical_examination,yes
MS-0068,911,verified,0.804,ARV-011,v2.2,citation_network_analysis; stylometric_analysis,no
MS-0030,908,verified,0.842,ARV-002,v2.0,citation_network_analysis; engine_composite_score; historical_cross_reference,no
MS-0013,908,likely_authentic,0.305,ARV-011,v2.0,engine_composite_score; citation_network_analysis; physical_examination,yes
MS-0013,909,disputed,0.274,ARV-002,v2.1,engine_composite_score,no
MS-0102,909,verified,0.954,ARV-012,v2.1,citation_network_analysis; ink_composition_test,no
MS-0009,908,verified,0.873,ARV-011,v2.0,historical_cross_reference; citation_network_analysis,no
MS-0181,908,mup,0.437,ARV-001,v2.0,citation_network_analysis; engine_composite_score; historical_cross_reference,no
MS-0175,909,verified,0.432,ARV-003,v2.1,physical_examination; paper_fiber_analysis,yes
MS-0175,910,mup,0.371,ARV-003,v2.2,physical_examination,no
MS-0073,909,verified,0.913,ARV-006,v2.1,stylometric_analysis; ink_composition_test; engine_composite_score,no
MS-0022,908,forged,0.833,ARV-010,v2.0,physical_examination; stylometric_analysis,yes
MS-0087,908,likely_authentic,0.829,ARV-003,v2.0,stylometric_analysis; historical_cross_reference; physical_examination,yes
MS-0154,909,mup,0.575,ARV-003,v2.1,ink_composition_test; engine_composite_score; citation_network_analysis,yes
MS-0096,909,mup,0.971,ARV-011,v2.1,ink_composition_test; historical_cross_reference,yes
MS-0101,908,forged,0.894,ARV-007,v2.0,citation_network_analysis,yes
MS-0004,908,disputed,0.812,ARV-006,v2.0,physical_examination; engine_composite_score; historical_cross_reference,yes
MS-0095,909,mup,0.458,ARV-003,v2.1,stylometric_analysis; paper_fiber_analysis,yes
MS-0195,909,forged,0.778,ARV-001,v2.1,stylometric_analysis; ink_composition_test; paper_fiber_analysis,yes
MS-0199,909,verified,0.411,ARV-006,v2.1,historical_cross_reference; paper_fiber_analysis; engine_composite_score,yes
MS-0166,908,likely_authentic,0.917,ARV-002,v2.0,engine_composite_score,yes
MS-0062,909,forged,0.852,ARV-009,v2.1,stylometric_analysis,yes
MS-0034,908,likely_authentic,0.859,ARV-001,v2.0,engine_composite_score; citation_network_analysis,yes
MS-0059,908,likely_authentic,0.293,ARV-007,v2.0,stylometric_analysis; physical_examination,yes
MS-0075,908,disputed,0.962,ARV-010,v2.0,citation_network_analysis; stylometric_analysis; physical_examination,yes
MS-0057,909,forged,0.149,ARV-002,v2.1,engine_composite_score; paper_fiber_analysis,yes
MS-0177,909,forged,0.38,ARV-010,v2.1,physical_examination; paper_fiber_analysis,yes
MS-0131,908,verified,0.169,ARV-003,v2.0,engine_composite_score; physical_examination,yes
MS-0012,908,mup,0.891,ARV-001,v2.0,historical_cross_reference; stylometric_analysis,yes
MS-0016,909,disputed,0.194,ARV-009,v2.1,paper_fiber_analysis; historical_cross_reference; citation_network_analysis,yes
MS-0050,909,disputed,0.843,ARV-010,v2.1,engine_composite_score; physical_examination; citation_network_analysis,yes
MS-0130,908,disputed,0.265,ARV-012,v2.0,citation_network_analysis; stylometric_analysis,yes
MS-0140,908,verified,0.632,ARV-007,v2.0,stylometric_analysis; engine_composite_score,yes
MS-0093,909,verified,0.826,ARV-005,v2.1,citation_network_analysis,yes
MS-0191,908,forged,0.885,ARV-011,v2.0,stylometric_analysis,yes
