correlation_id,creature_1_id,creature_1_name,creature_2_id,creature_2_name,both_yeller_compatible,behavior_correlation,lag_minutes,direction,conditions,strength,folk_rule_match,rule_text,pollus_notes
CORR177,CR006,Yeller Frog,CR025,Deep Borer,False,0.266,60,second_leads,swarming_state,weak,False,,Correlation observed specifically during swarming behavior.
CORR178,CR011,Cave Bat,CR_STAK,Stakdur,False,0.059,30,second_leads,feeding_state,weak,False,,Correlation observed specifically during feeding behavior.
CORR179,CR007,Metal-Beaked Finch,CR016,Tunnel Cat,True,0.21,0,second_leads,hunting_state,weak,False,,Correlation observed specifically during hunting behavior.
CORR180,CR016,Tunnel Cat,CR_STAK,Stakdur,False,0.3,15,second_leads,feeding_state,weak,False,,Correlation observed specifically during feeding behavior.
CORR181,CR001,Leatherback Burrower,CR003,Granite Wren,True,0.408,30,first_leads,swarming_state,moderate,False,,Correlation observed specifically during swarming behavior.
CORR182,CR003,Granite Wren,CR016,Tunnel Cat,True,0.454,30,simultaneous,swarming_state,moderate,False,,Correlation observed specifically during swarming behavior.
CORR183,CR011,Cave Bat,CR007,Metal-Beaked Finch,True,0.333,0,simultaneous,swarming_state,weak,False,,Correlation observed specifically during swarming behavior.
CORR184,CR007,Metal-Beaked Finch,CR008,Coil Tube Serpent,False,-0.127,30,second_leads,swarming_state,weak,False,,Correlation observed specifically during swarming behavior.
CORR185,CR001,Leatherback Burrower,CR011,Cave Bat,True,0.326,15,simultaneous,feeding_state,weak,False,,Correlation observed specifically during feeding behavior.
CORR186,CR_STAK,Stakdur,CR008,Coil Tube Serpent,False,0.095,60,first_leads,feeding_state,weak,False,,Correlation observed specifically during feeding behavior.
CORR187,CR008,Coil Tube Serpent,CR001,Leatherback Burrower,False,0.011,60,first_leads,resting_state,weak,False,,Correlation observed specifically during resting behavior.
CORR188,CR024,Quarry Moth,CR011,Cave Bat,False,-0.178,60,simultaneous,feeding_state,weak,False,,Correlation observed specifically during feeding behavior.
CORR189,CR006,Yeller Frog,CR011,Cave Bat,True,0.249,60,simultaneous,swarming_state,weak,False,,Correlation observed specifically during swarming behavior.
CORR190,CR025,Deep Borer,CR003,Granite Wren,False,0.031,60,first_leads,hunting_state,weak,False,,Correlation observed specifically during hunting behavior.
CORR191,CR002,Stone Spine Lizard,CR005,Maw Beast,False,-0.023,0,second_leads,feeding_state,weak,False,,Correlation observed specifically during feeding behavior.
CORR192,CR003,Granite Wren,CR011,Cave Bat,True,0.404,15,first_leads,hunting_state,moderate,False,,Correlation observed specifically during hunting behavior.
CORR193,CR011,Cave Bat,CR_STAK,Stakdur,False,-0.026,0,first_leads,resting_state,weak,False,,Correlation observed specifically during resting behavior.
CORR194,CR005,Maw Beast,CR016,Tunnel Cat,False,0.218,15,first_leads,resting_state,weak,False,,Correlation observed specifically during resting behavior.
CORR195,CR007,Metal-Beaked Finch,CR012,Rock-Finned Eel,False,0.192,15,second_leads,hunting_state,weak,False,,Correlation observed specifically during hunting behavior.
CORR196,CR006,Yeller Frog,CR016,Tunnel Cat,True,0.546,30,second_leads,swarming_state,moderate,False,,Correlation observed specifically during swarming behavior.
CORR197,CR011,Cave Bat,CR007,Metal-Beaked Finch,True,0.421,60,first_leads,hunting_state,moderate,False,,Correlation observed specifically during hunting behavior.
CORR198,CR011,Cave Bat,CR007,Metal-Beaked Finch,True,0.592,0,second_leads,resting_state,moderate,False,,Correlation observed specifically during resting behavior.
CORR199,CR008,Coil Tube Serpent,CR005,Maw Beast,False,-0.274,30,second_leads,swarming_state,weak,False,,Correlation observed specifically during swarming behavior.
CORR200,CR_STAK,Stakdur,CR008,Coil Tube Serpent,False,0.293,0,first_leads,swarming_state,weak,False,,Correlation observed specifically during swarming behavior.
