edit_id,edit_name,target_type,target_id,target_pattern,edit_method,edit_goal,edit_year,edit_duration_days,prime_timing_used,isolation_level,exposure_type,generations_tracked,success,success_degree,outcome,persistence_of_edit,side_effects,ethical_concerns,koss_series_reference,koss_experiment_id,editor,institution,documentation_quality,confidence,description,lessons_learned,notes
ME-0112,Dampening Trial 44,form_memory,TGT-362,location memory,dampening,weaken,910,36,True,,,,True,0.702,partial_success,stable,none,none,,,K. Strand,,fragmentary,0.71,Attempt to weaken form_memory using dampening method.,,
ME-0113,Overlay Trial 13,spatial_imprint,,behavioral routine,overlay,combine,904,232,False,,,,False,0.007,unintended_change,immediate_reversion,pattern_drift,none,series_b,,S. Moll,Independent,sparse,0.59,Attempt to combine spatial_imprint using overlay method.,,
ME-0114,Dampening Trial 18,ghost_pattern,,behavioral routine,dampening,weaken,919,115,False,,,,False,0.069,pattern_damage,fading,minor_instability,none,,,S. Moll,,adequate,0.84,Attempt to weaken ghost_pattern using dampening method.,,
ME-0115,Isolation Trial 38,behavioral_echo,,location memory,isolation,stabilize,906,285,False,complete,,2,False,0.368,cascade_effect,immediate_reversion,"ghost_formation,instability",none,combined,,Archive Survey Team,Quarry Guild,sparse,0.77,Attempt to stabilize behavioral_echo using isolation method.,,
ME-0116,Dampening Trial 21,form_memory,,ridge-back feature,dampening,weaken,920,165,True,,,,False,0.151,pattern_migration,immediate_reversion,,none,,,R. Voss,Independent,fragmentary,0.61,Attempt to weaken form_memory using dampening method.,,
ME-0117,Collective_Manipulation Trial 3,ghost_pattern,,ridge-back feature,collective_manipulation,combine,913,467,True,,,,False,0.1,unintended_change,fading,nearby_pattern_affected,none,series_c,,K. Strand,,thorough,0.65,Attempt to combine ghost_pattern using collective_manipulation method.,,
ME-0118,Surgical Trial 13,collective_memory,TGT-547,collective identity,surgical,erase,913,313,True,,,,True,0.898,goal_achieved,stable,none,none,series_a,,Independent Observer,Capital Taxonomy Bureau,adequate,0.53,Attempt to erase collective_memory using surgical method.,,
ME-0119,Dampening Trial 44,spatial_imprint,,form expression,dampening,weaken,929,203,True,,,,False,0.302,unintended_change,fading,unexpected_strengthening,none,,,K. Strand,Quarry Guild,exhaustive,0.76,Attempt to weaken spatial_imprint using dampening method.,,
ME-0120,Erasure Trial 28,form_memory,,location memory,erasure,erase,931,265,False,,,,False,0.249,pattern_damage,temporary,none,none,series_b,,Archive Survey Team,Capital Taxonomy Bureau,sparse,0.59,Attempt to erase form_memory using erasure method.,,
ME-0121,Erasure Trial 38,ghost_pattern,,location memory,erasure,erase,926,76,False,,,,False,0.212,no_effect,immediate_reversion,,none,novel,,Quarry Guild Records,Quarry Guild,adequate,0.75,Attempt to erase ghost_pattern using erasure method.,,
ME-0122,Collective_Manipulation Trial 38,form_memory,TGT-585,ridge-back feature,collective_manipulation,combine,916,320,False,,,,True,0.784,partial_success,stable,none,none,,,K. Strand,,exhaustive,0.94,Attempt to combine form_memory using collective_manipulation method.,,
ME-0123,Overlay Trial 31,spatial_imprint,,behavioral routine,overlay,strengthen,919,322,True,,,,False,0.305,pattern_migration,immediate_reversion,none,none,,,R. Voss,Capital Taxonomy Bureau,fragmentary,0.63,Attempt to strengthen spatial_imprint using overlay method.,,
ME-0124,Surgical Trial 38,collective_memory,,form expression,surgical,stabilize,919,320,True,,,,False,0.168,pattern_damage,immediate_reversion,minor_instability,creature_harm,,,S. Moll,Archive Research Division,thorough,0.71,Attempt to stabilize collective_memory using surgical method.,,
ME-0125,Exposure Trial 21,behavioral_echo,,behavioral routine,exposure,strengthen,922,200,True,,living specimens,,True,0.721,partial_success,temporary,none,none,combined,,Quarry Guild Records,,thorough,0.73,Attempt to strengthen behavioral_echo using exposure method.,,
ME-0126,Surgical Trial 27,ghost_pattern,TGT-508,behavioral routine,surgical,strengthen,905,93,False,,,,False,0.274,pattern_migration,temporary,minor_instability,none,,,M. Tall,,exhaustive,0.78,Attempt to strengthen ghost_pattern using surgical method.,,
ME-0127,Exposure Trial 36,spatial_imprint,,ridge-back feature,exposure,weaken,918,393,True,,living specimens,,True,0.827,goal_achieved,stable,none,none,,,S. Moll,Archive Research Division,exhaustive,0.91,Attempt to weaken spatial_imprint using exposure method.,,
ME-0128,Isolation Trial 8,form_memory,TGT-823,form expression,isolation,weaken,923,477,True,complete,,5,False,0.236,unintended_change,immediate_reversion,"ghost_formation,instability",consent_issues,,,C. Vells,Archive Research Division,exhaustive,0.61,Attempt to weaken form_memory using isolation method.,,
ME-0129,Transfer Trial 32,collective_memory,TGT-556,ridge-back feature,transfer,separate,927,250,False,,,,False,0.207,unintended_change,temporary,unexpected_strengthening,none,,,R. Voss,Independent,exhaustive,0.84,Attempt to separate collective_memory using transfer method.,,
ME-0130,Overlay Trial 7,collective_memory,TGT-133,location memory,overlay,transfer,906,330,False,,,,True,0.938,goal_achieved,stable,none,none,,,M. Tall,,sparse,0.78,Attempt to transfer collective_memory using overlay method.,,
ME-0131,Overlay Trial 34,collective_memory,,location memory,overlay,stabilize,904,158,False,,,,False,0.393,cascade_effect,temporary,nearby_pattern_affected,none,,,R. Voss,Capital Taxonomy Bureau,exhaustive,0.84,Attempt to stabilize collective_memory using overlay method.,,
ME-0132,Amplification Trial 4,ghost_pattern,TGT-138,form expression,amplification,strengthen,922,225,False,,,,False,0.13,pattern_migration,fading,,none,,,R. Voss,,sparse,0.74,Attempt to strengthen ghost_pattern using amplification method.,,
ME-0133,Erasure Trial 15,collective_memory,,hunting behavior,erasure,erase,928,396,False,,,,False,0.105,pattern_migration,fading,none,creature_harm,,,Quarry Guild Records,Archive Research Division,adequate,0.87,Attempt to erase collective_memory using erasure method.,,
ME-0134,Erasure Trial 40,collective_memory,TGT-823,hunting behavior,erasure,erase,921,466,True,,,,False,0.265,no_effect,immediate_reversion,,none,series_b,,T. Vells,Archive Research Division,thorough,0.55,Attempt to erase collective_memory using erasure method.,,
ME-0135,Collective_Manipulation Trial 50,ghost_pattern,TGT-267,hunting behavior,collective_manipulation,strengthen,909,90,True,,,,False,0.133,pattern_damage,fading,,none,,,Boundary Commission,Capital Taxonomy Bureau,sparse,0.88,Attempt to strengthen ghost_pattern using collective_manipulation method.,,
ME-0136,Exposure Trial 36,collective_memory,TGT-577,hunting behavior,exposure,stabilize,911,150,True,,similar forms,,True,0.833,goal_achieved,stable,none,none,,,R. Voss,Quarry Guild,sparse,0.58,Attempt to stabilize collective_memory using exposure method.,,
ME-0137,Amplification Trial 35,collective_memory,TGT-103,location memory,amplification,strengthen,902,486,False,,,,False,0.296,cascade_effect,temporary,pattern_drift,none,combined,,T. Vells,Independent,exhaustive,0.73,Attempt to strengthen collective_memory using amplification method.,,
ME-0138,Collective_Manipulation Trial 5,collective_memory,,ridge-back feature,collective_manipulation,weaken,924,303,True,,,,False,0.335,pattern_migration,immediate_reversion,none,none,combined,,Boundary Commission,,thorough,0.81,Attempt to weaken collective_memory using collective_manipulation method.,,
ME-0139,Dampening Trial 2,ghost_pattern,,ridge-back feature,dampening,weaken,927,78,False,,,,True,0.855,goal_achieved,permanent,none,none,,,Quarry Guild Records,Quarry Guild,exhaustive,0.76,Attempt to weaken ghost_pattern using dampening method.,,
ME-0140,Transfer Trial 46,ghost_pattern,TGT-864,collective identity,transfer,weaken,915,212,False,,,,True,0.751,partial_success,fading,none,none,,,Quarry Guild Records,Capital Taxonomy Bureau,exhaustive,0.56,Attempt to weaken ghost_pattern using transfer method.,,
ME-0141,Transfer Trial 16,collective_memory,TGT-702,form expression,transfer,erase,903,38,False,,,,False,0.054,unintended_change,temporary,"ghost_formation,instability",none,,,Archive Survey Team,Archive Research Division,sparse,0.75,Attempt to erase collective_memory using transfer method.,,
ME-0142,Surgical Trial 23,spatial_imprint,TGT-933,collective identity,surgical,strengthen,905,141,True,,,,False,0.246,pattern_damage,temporary,,none,,,Boundary Commission,Capital Taxonomy Bureau,fragmentary,0.57,Attempt to strengthen spatial_imprint using surgical method.,,
ME-0143,Exposure Trial 30,collective_memory,,ridge-back feature,exposure,combine,919,197,True,,living specimens,,False,0.174,pattern_damage,temporary,none,none,series_c,,R. Voss,Independent,sparse,0.6,Attempt to combine collective_memory using exposure method.,,
ME-0144,Amplification Trial 48,behavioral_echo,TGT-369,ridge-back feature,amplification,strengthen,911,312,False,,,,False,0.256,pattern_migration,fading,none,none,,,S. Moll,Capital Taxonomy Bureau,thorough,0.92,Attempt to strengthen behavioral_echo using amplification method.,,
ME-0145,Collective_Manipulation Trial 21,form_memory,,location memory,collective_manipulation,erase,930,282,False,,,,False,0.025,unintended_change,immediate_reversion,unexpected_strengthening,none,,,Quarry Guild Records,Archive Research Division,thorough,0.58,Attempt to erase form_memory using collective_manipulation method.,,
ME-0146,Overlay Trial 37,form_memory,,location memory,overlay,stabilize,914,375,False,,,,True,0.693,partial_success,fading,none,none,,,M. Tall,Quarry Guild,sparse,0.63,Attempt to stabilize form_memory using overlay method.,,
ME-0147,Erasure Trial 23,form_memory,TGT-995,behavioral routine,erasure,erase,902,149,False,,,,False,0.183,cascade_effect,immediate_reversion,unexpected_strengthening,consent_issues,,,S. Moll,,adequate,0.63,Attempt to erase form_memory using erasure method.,,
ME-0148,Transfer Trial 28,form_memory,,form expression,transfer,modify,917,495,True,,,,False,0.15,no_effect,temporary,minor_instability,none,,,Archive Survey Team,Capital Taxonomy Bureau,adequate,0.59,Attempt to modify form_memory using transfer method.,,
ME-0149,Exposure Trial 17,ghost_pattern,TGT-919,ridge-back feature,exposure,combine,917,409,True,,visual patterns,,True,0.765,partial_success,temporary,none,none,series_a,,K. Strand,Archive Research Division,exhaustive,0.52,Attempt to combine ghost_pattern using exposure method.,,
ME-0150,Collective_Manipulation Trial 21,behavioral_echo,,ridge-back feature,collective_manipulation,stabilize,906,443,True,,,,False,0.336,pattern_migration,fading,none,none,,,Quarry Guild Records,,thorough,0.61,Attempt to stabilize behavioral_echo using collective_manipulation method.,,
