case_id,case_name,federation_type,federation_scale,component_count,federation_age_years,cancer_type,cancer_origin,initiating_component,spread_pattern,spread_rate,components_affected_percent,primary_cause,jackson_type,horizon_factor,earliest_symptom,symptom_progression,duration_to_crisis_days,outcome,federation_survived,component_casualties,intervention_attempted,intervention_type,intervention_success,mord_analysis,preventability,key_lesson,location,region,observation_year,observer,confidence,cross_reference,notes
FC-0086,Work Crew 757 Dissolution,colony,small,447,5,free_riding,external,,simultaneous,slow,73.7,trust_erosion,False,True,performance_decline,recovery,1028,partial_dissolution,True,127,True,trust_rebuilding,harmful,External stress exceeded federation capacity,preventable,Expulsion is sometimes necessary,Northern monastery,Northo,922,P. Anster,0.57,HS-0191,
FC-0087,Class of 875 Fragmentation,colony,small,201,95,micromanagement,external,,simultaneous,slow,70.6,external_stress,False,False,autonomy_loss,plateau,1753,partial_dissolution,True,30,False,none,not_attempted,Communication channels degraded before crisis,not_preventable,Expulsion is sometimes necessary,Western approach,Dens boundary,897,T. Mord,0.8,,
FC-0088,Institution 212 Reorganization,class,medium,75,2,trust_cascade,unknown,,cascading,rapid,79.7,horizon_mismatch,False,True,trust_decline,sudden_cascade,30,partial_dissolution,True,25,True,reorganization,failed,Communication channels degraded before crisis,preventable,External stress reveals latent dysfunction,Capital outskirts,Capital,915,Mord-Anster Group,0.88,HS-0018,
FC-0089,Trust Cascade 928,expedition,medium,77,8,defection,external,,spreading,slow,11.8,horizon_mismatch,False,True,defection_events,sudden_cascade,14,component_expulsion,True,6,True,external_mediation,partial,Extraction pattern established early,preventable,Goal alignment requires ongoing work,Dens deep,Dens,910,Mord-Anster Group,0.91,HS-0040,
FC-0090,Digger Colony 246 Defection,institution,large,2639,24,defection,single_component,Component-18,localized,slow,14.7,external_stress,False,False,defection_events,oscillating,1225,component_expulsion,True,124,True,external_mediation,partial,Trust cascade caught too late,not_preventable,Communication maintenance is prevention,Educational district,Densmok,903,Archive Commission,0.77,,
FC-0091,Community 950 Split,colony,medium,231,83,defection,multiple_components,,localized,slow,16.9,trust_erosion,False,True,defection_events,oscillating,1908,transformation,True,9,True,communication_repair,harmful,External stress exceeded federation capacity,probably_preventable,External stress reveals latent dysfunction,Coder quarter,Densmok,926,T. Mord,0.62,HS-0088,
FC-0092,Network 265 Failure,class,small,53,4,reciprocity_breach,external,,spreading,rapid,27.2,reciprocity_failure,False,True,extraction_pattern,plateau,1278,chronic_dysfunction,True,0,True,external_mediation,partial,Reciprocity failure predicted defection,uncertain,Expulsion is sometimes necessary,Capital outskirts,Capital,935,Mord-Anster Group,0.85,HS-0122,
FC-0093,Institution 574 Reorganization,network,large,1820,44,micromanagement,unknown,,contained,slow,26.1,reciprocity_failure,False,False,autonomy_loss,plateau,2571,partial_dissolution,True,323,False,none,not_attempted,Extraction pattern established early,preventable,Communication maintenance is prevention,Sector NE-4,Dens boundary,906,Colony Study Team,0.86,,
FC-0094,Trust Cascade 885,institution,medium,4552,157,defection,unknown,,spreading,slow,12.8,horizon_mismatch,False,True,defection_events,oscillating,727,partial_dissolution,True,1959,False,none,not_attempted,Horizon mismatch created goal conflict,uncertain,Expulsion is sometimes necessary,Healing Institute,Capital,907,Mord-Anster Group,0.59,HS-0019,
FC-0095,Class of 948 Fragmentation,expedition,small,55,7,goal_conflict,lower_level,,spreading,moderate,17.5,communication_failure,False,True,goal_divergence,sudden_cascade,27,reorganization,True,7,False,none,not_attempted,Communication channels degraded before crisis,uncertain,Expulsion is sometimes necessary,Sector NE-4,Dens boundary,916,P. Anster,0.57,HS-0153,
FC-0096,Institution 677 Reorganization,organism,small,39,4,delegation_failure,higher_level,,simultaneous,rapid,91.1,level_transcendence,True,True,delegation_failures,oscillating,1099,reorganization,True,0,True,reorganization,partial,Horizon mismatch created goal conflict,uncertain,Level mismatches are dangerous,Healing Institute,Capital,914,K. Vorn,0.82,HS-0177,
FC-0097,Extraction Pattern Case 642,community,large,1297,8,exploitation,unknown,,cascading,none,57.9,goal_drift,False,False,resource_drain,recovery,2288,full_dissolution,False,411,False,none,not_attempted,Trust not reciprocal,preventable,Expulsion is sometimes necessary,Northern workings,Yeller Quarry,896,Institutional Review Board,0.68,,
FC-0098,Class of 329 Fragmentation,colony,small,69,57,reciprocity_breach,single_component,,contained,moderate,52.6,trust_erosion,False,True,extraction_pattern,oscillating,2010,chronic_dysfunction,True,8,True,expulsion,failed,Reciprocity failure predicted defection,probably_preventable,Level mismatches are dangerous,Quarry interior,Yeller Quarry,922,Institutional Review Board,0.64,HS-0100,
FC-0099,Community 551 Split,class,medium,95,4,exploitation,multiple_components,,localized,slow,10.1,reciprocity_failure,False,True,resource_drain,plateau,2781,partial_dissolution,True,26,True,reorganization,harmful,Reciprocity failure predicted defection,preventable,External stress reveals latent dysfunction,Capital outskirts,Capital,940,Institutional Review Board,0.58,HS-0156,
FC-0100,Extraction Pattern Case 73,institution,large,1267,150,defection,multiple_components,,spreading,moderate,10.2,reciprocity_failure,False,True,defection_events,oscillating,599,partial_dissolution,True,316,True,communication_repair,failed,External stress exceeded federation capacity,preventable,External stress reveals latent dysfunction,Sector SW-6,Dens boundary,892,Mord-Anster Group,0.71,HS-0038,
FC-0101,Work Crew 793 Dissolution,institution,large,3248,22,exploitation,higher_level,,spreading,slow,52.2,external_stress,False,True,resource_drain,recovery,467,component_expulsion,True,188,False,none,not_attempted,Trust cascade caught too late,preventable,Goal alignment requires ongoing work,Coder quarter,Densmok,924,T. Mord,0.95,HS-0049,
FC-0102,Community 409 Split,expedition,medium,71,9,trust_cascade,multiple_components,,cascading,rapid,80.8,reciprocity_failure,False,False,trust_decline,sudden_cascade,2,chronic_dysfunction,True,0,True,trust_rebuilding,failed,Trust cascade caught too late,preventable,External stress reveals latent dysfunction,Dens deep,Dens,917,T. Mord,0.57,,
FC-0103,Network 487 Failure,institution,large,706,108,delegation_failure,higher_level,,contained,rapid,11.0,trust_erosion,False,False,delegation_failures,sudden_cascade,29,partial_dissolution,True,320,True,goal_realignment,harmful,Trust cascade caught too late,probably_preventable,Communication maintenance is prevention,Healing Institute,Capital,924,Colony Study Team,0.96,,
FC-0104,Archive Annex 32 Collapse,institution,medium,2850,33,trust_cascade,single_component,,cascading,rapid,65.6,level_transcendence,True,False,trust_decline,sudden_cascade,6,chronic_dysfunction,True,6,True,goal_realignment,partial,Trust not reciprocal,uncertain,Trust cascades must be caught early,Western districts,Capital,894,P. Anster,0.96,,
FC-0105,Digger Colony 719 Defection,colony,small,244,75,defection,lower_level,,spreading,slow,12.3,level_transcendence,True,True,defection_events,plateau,1040,partial_dissolution,True,81,True,expulsion,harmful,Trust cascade caught too late,uncertain,Communication maintenance is prevention,Eastern fluctuation zone,Dens boundary,915,Colony Study Team,0.56,HS-0012,
FC-0106,Work Crew 781 Dissolution,colony,medium,383,4,exploitation,higher_level,,contained,rapid,48.8,reciprocity_failure,False,True,resource_drain,gradual_worsening,2778,transformation,True,4,False,none,not_attempted,Horizon mismatch created goal conflict,uncertain,Trust cascades must be caught early,Healing Institute,Capital,936,Archive Commission,0.81,HS-0003,
FC-0107,Network 559 Failure,colony,medium,269,39,defection,lower_level,,localized,slow,6.6,reciprocity_failure,False,False,defection_events,recovery,253,full_dissolution,False,32,False,none,not_attempted,Reciprocity failure predicted defection,preventable,Level mismatches are dangerous,Healing Institute,Capital,907,Archive Commission,0.66,,
FC-0108,Class of 244 Fragmentation,organism,small,54,96,defection,higher_level,,spreading,slow,37.8,reciprocity_failure,False,False,defection_events,plateau,228,recovery,True,2,True,trust_rebuilding,partial,Trust cascade caught too late,preventable,Trust cascades must be caught early,Camp settlements,Yeller Quarry,911,Mord-Anster Group,0.89,,
FC-0109,Class of 820 Fragmentation,institution,large,3457,227,exploitation,multiple_components,,contained,rapid,33.4,trust_erosion,False,False,resource_drain,sudden_cascade,1,reorganization,True,9,True,external_mediation,partial,Reciprocity failure predicted defection,uncertain,External stress reveals latent dysfunction,Siege fields,Tower of Mirado,898,Colony Study Team,0.94,,
FC-0110,Archive Annex 399 Collapse,organism,small,15,40,reciprocity_breach,lower_level,,cascading,intermittent,87.8,horizon_mismatch,False,True,extraction_pattern,gradual_worsening,724,reorganization,True,9,True,trust_rebuilding,successful,External stress exceeded federation capacity,probably_preventable,Expulsion is sometimes necessary,Dens deep,Dens,937,Colony Study Team,0.87,HS-0015,
FC-0111,Network 876 Failure,organism,small,36,77,delegation_failure,lower_level,,cascading,slow,83.9,horizon_mismatch,False,True,delegation_failures,sudden_cascade,7,reorganization,True,7,True,communication_repair,partial,Level 4 component in Level 3 collective,probably_preventable,External stress reveals latent dysfunction,Southern perimeter,Dens boundary,905,Mord-Anster Group,0.82,HS-0168,
FC-0112,Network 573 Failure,class,small,74,2,micromanagement,multiple_components,,cascading,none,71.2,reciprocity_failure,False,False,autonomy_loss,gradual_worsening,1288,component_expulsion,True,6,False,none,not_attempted,External stress exceeded federation capacity,uncertain,Communication maintenance is prevention,Isolation community,Northo,909,Mord-Anster Group,0.5,,
FC-0113,Class of 412 Fragmentation,institution,medium,1735,65,trust_cascade,multiple_components,,cascading,rapid,54.2,level_transcendence,True,True,trust_decline,sudden_cascade,17,reorganization,True,10,True,communication_repair,partial,Horizon mismatch created goal conflict,preventable,Communication maintenance is prevention,Educational district,Densmok,903,T. Mord,0.84,HS-0198,
FC-0114,Class of 613 Fragmentation,network,medium,1760,29,delegation_failure,external,,spreading,none,42.5,trust_erosion,False,False,delegation_failures,gradual_worsening,2831,component_expulsion,True,128,True,goal_realignment,partial,Trust cascade caught too late,probably_preventable,Goal alignment requires ongoing work,Quarry Sector 7,Yeller Quarry,912,Archive Commission,0.92,,
FC-0115,Work Crew 198 Dissolution,expedition,medium,53,9,defection,single_component,,spreading,slow,32.0,reciprocity_failure,True,False,defection_events,sudden_cascade,19,chronic_dysfunction,True,0,True,external_mediation,partial,Trust not reciprocal,preventable,Expulsion is sometimes necessary,Healing Institute,Capital,890,Institutional Review Board,0.74,,
FC-0116,Community 944 Split,work_crew,small,339,5,trust_cascade,external,,cascading,rapid,89.5,horizon_mismatch,False,True,trust_decline,sudden_cascade,23,transformation,True,3,False,none,not_attempted,Trust cascade caught too late,uncertain,Level mismatches are dangerous,Suburban zone,Densmok,893,P. Anster,0.81,HS-0088,
FC-0117,Class of 332 Fragmentation,colony,small,199,62,defection,lower_level,,localized,moderate,20.0,horizon_mismatch,False,True,defection_events,sudden_cascade,18,partial_dissolution,True,91,False,none,not_attempted,Horizon mismatch created goal conflict,probably_preventable,External stress reveals latent dysfunction,Quarry Sector 7,Yeller Quarry,901,T. Mord,0.77,HS-0062,
FC-0118,Institution 716 Reorganization,work_crew,medium,468,20,goal_conflict,single_component,Component-77,simultaneous,intermittent,53.5,unknown,False,False,goal_divergence,gradual_worsening,1739,reorganization,True,3,False,none,not_attempted,Horizon mismatch created goal conflict,probably_preventable,External stress reveals latent dysfunction,Siege fields,Tower of Mirado,908,Institutional Review Board,0.57,,
FC-0119,Class of 683 Fragmentation,colony,medium,106,1,trust_cascade,higher_level,,cascading,rapid,77.2,reciprocity_failure,False,False,trust_decline,sudden_cascade,25,chronic_dysfunction,True,3,True,external_mediation,partial,Extraction pattern established early,preventable,Level mismatches are dangerous,Archive vicinity,Capital,917,T. Mord,0.55,,
FC-0120,Network 435 Failure,organism,small,5,61,trust_cascade,unknown,,cascading,rapid,81.4,horizon_mismatch,False,True,trust_decline,sudden_cascade,13,transformation,True,9,True,communication_repair,failed,Extraction pattern established early,preventable,External stress reveals latent dysfunction,Healing Institute,Capital,914,Archive Commission,0.87,HS-0154,
FC-0121,Trust Cascade 603,institution,medium,4591,264,free_riding,external,,contained,moderate,55.6,horizon_mismatch,False,True,performance_decline,plateau,926,partial_dissolution,True,1044,True,goal_realignment,failed,External stress exceeded federation capacity,preventable,External stress reveals latent dysfunction,Suburban zone,Densmok,912,Mord-Anster Group,1.0,HS-0189,
FC-0122,Archive Annex 446 Collapse,institution,very_large,2859,294,defection,multiple_components,,spreading,moderate,45.4,horizon_mismatch,False,True,defection_events,plateau,1408,chronic_dysfunction,True,0,True,expulsion,partial,Trust not reciprocal,uncertain,External stress reveals latent dysfunction,Suburban zone,Densmok,916,T. Mord,0.97,HS-0013,
FC-0123,Network 648 Failure,class,medium,75,5,defection,single_component,Component-28,spreading,moderate,33.7,reciprocity_failure,False,True,defection_events,sudden_cascade,20,chronic_dysfunction,True,4,False,none,not_attempted,Extraction pattern established early,preventable,Monitor for reciprocity breach,Scholar's Quarter,Capital,917,K. Vorn,0.77,HS-0106,
FC-0124,Network 492 Failure,institution,large,2668,12,defection,external,,localized,moderate,10.8,level_transcendence,True,False,defection_events,plateau,1015,component_expulsion,True,199,True,trust_rebuilding,partial,Horizon mismatch created goal conflict,probably_preventable,Goal alignment requires ongoing work,Healing Institute,Capital,908,P. Anster,0.69,,
FC-0125,Expedition 22 Breakdown,class,small,79,4,trust_cascade,multiple_components,,cascading,rapid,79.2,reciprocity_failure,False,False,trust_decline,sudden_cascade,28,reorganization,True,3,True,reorganization,successful,Reciprocity failure predicted defection,uncertain,External stress reveals latent dysfunction,Ascetic village,Northo,935,Archive Commission,0.97,,
FC-0126,Community 892 Split,expedition,small,65,5,goal_conflict,higher_level,,simultaneous,moderate,91.3,horizon_mismatch,False,True,goal_divergence,plateau,1449,recovery,True,8,False,none,not_attempted,Level 4 component in Level 3 collective,probably_preventable,External stress reveals latent dysfunction,Recovery settlement,Northo,912,P. Anster,0.77,HS-0119,
FC-0127,Class of 110 Fragmentation,institution,large,4116,237,micromanagement,multiple_components,,simultaneous,none,69.7,goal_drift,False,True,autonomy_loss,recovery,2307,reorganization,True,2,False,none,not_attempted,Horizon mismatch created goal conflict,preventable,Goal alignment requires ongoing work,Capital proper,Capital,918,Colony Study Team,0.95,HS-0133,
FC-0128,Extraction Pattern Case 485,network,large,278,63,defection,lower_level,,localized,slow,8.6,level_transcendence,True,True,defection_events,oscillating,2499,partial_dissolution,True,45,True,goal_realignment,harmful,External stress exceeded federation capacity,uncertain,Monitor for reciprocity breach,Coder quarter,Densmok,915,Mord-Anster Group,0.59,HS-0133,
FC-0129,Community 176 Split,work_crew,small,272,6,free_riding,multiple_components,,simultaneous,rapid,51.1,extraction_pattern,False,True,performance_decline,oscillating,918,reorganization,True,2,False,none,not_attempted,Extraction pattern established early,preventable,Goal alignment requires ongoing work,Isolation community,Northo,917,Colony Study Team,0.65,HS-0161,
FC-0130,Extraction Pattern Case 418,expedition,medium,65,12,micromanagement,lower_level,,contained,slow,42.5,level_transcendence,True,False,autonomy_loss,recovery,488,component_expulsion,True,6,True,expulsion,partial,Reciprocity failure predicted defection,preventable,Goal alignment requires ongoing work,Quarry Sector 7,Yeller Quarry,938,Archive Commission,0.8,,
FC-0131,Community 799 Split,network,medium,1176,16,reciprocity_breach,external,,simultaneous,moderate,85.6,reciprocity_failure,False,False,extraction_pattern,recovery,2189,reorganization,True,8,True,expulsion,partial,Trust not reciprocal,preventable,Communication maintenance is prevention,Sector NE-4,Dens boundary,894,Institutional Review Board,0.78,,
FC-0132,Digger Colony 748 Defection,network,medium,1693,100,delegation_failure,lower_level,,contained,none,15.6,trust_erosion,False,False,delegation_failures,recovery,1507,full_dissolution,False,656,True,reorganization,failed,Level 4 component in Level 3 collective,probably_preventable,Communication maintenance is prevention,Veteran settlement,Tower of Mirado,906,Institutional Review Board,0.76,,
FC-0133,Class of 593 Fragmentation,work_crew,small,277,9,defection,lower_level,,spreading,slow,24.0,external_stress,False,False,defection_events,gradual_worsening,2718,component_expulsion,True,12,False,none,not_attempted,Trust not reciprocal,probably_not,Monitor for reciprocity breach,Quarry Sector 7,Yeller Quarry,920,Mord-Anster Group,0.66,,
FC-0134,Digger Colony 798 Defection,organism,small,84,43,trust_cascade,higher_level,,cascading,rapid,94.7,level_transcendence,True,False,trust_decline,sudden_cascade,6,full_dissolution,False,25,True,expulsion,failed,Level 4 component in Level 3 collective,preventable,Trust cascades must be caught early,Scholar's Quarter,Capital,921,Colony Study Team,0.62,,
FC-0135,Archive Annex 359 Collapse,institution,large,3709,57,micromanagement,multiple_components,,contained,rapid,39.5,reciprocity_failure,False,False,autonomy_loss,recovery,877,partial_dissolution,True,557,True,communication_repair,harmful,Reciprocity failure predicted defection,preventable,Trust cascades must be caught early,Tower base,Tower of Mirado,904,Institutional Review Board,0.84,,
FC-0136,Expedition 150 Breakdown,institution,large,1951,23,goal_conflict,single_component,,contained,moderate,26.4,level_transcendence,True,True,goal_divergence,recovery,854,chronic_dysfunction,True,4,True,external_mediation,failed,Extraction pattern established early,probably_preventable,Expulsion is sometimes necessary,Eastern fluctuation zone,Dens boundary,921,P. Anster,0.5,HS-0089,
FC-0137,Community 516 Split,organism,small,27,20,trust_cascade,unknown,,cascading,rapid,55.0,trust_erosion,False,False,trust_decline,sudden_cascade,5,reorganization,True,9,False,none,not_attempted,Communication channels degraded before crisis,preventable,External stress reveals latent dysfunction,Veteran settlement,Tower of Mirado,918,Colony Study Team,0.6,,
FC-0138,Work Crew 316 Dissolution,institution,very_large,65,49,reciprocity_breach,single_component,,spreading,moderate,19.7,reciprocity_failure,False,False,extraction_pattern,oscillating,2805,reorganization,True,2,False,none,not_attempted,Horizon mismatch created goal conflict,preventable,Goal alignment requires ongoing work,Coder quarter,Densmok,910,P. Anster,0.93,,
FC-0139,Extraction Pattern Case 248,work_crew,small,119,1,trust_cascade,external,,cascading,rapid,65.3,trust_erosion,False,False,trust_decline,sudden_cascade,17,component_expulsion,True,10,False,none,not_attempted,Extraction pattern established early,probably_preventable,External stress reveals latent dysfunction,Klutch CC,Densmok,894,T. Mord,0.99,,
FC-0140,Archive Annex 631 Collapse,institution,very_large,3949,59,reciprocity_breach,single_component,Component-48,contained,none,22.4,extraction_pattern,False,False,extraction_pattern,sudden_cascade,27,partial_dissolution,True,1654,False,none,not_attempted,Level 4 component in Level 3 collective,preventable,External stress reveals latent dysfunction,Siege fields,Tower of Mirado,931,T. Mord,0.62,,
FC-0141,Trust Cascade 984,work_crew,medium,180,18,trust_cascade,single_component,Component-4,cascading,rapid,71.0,reciprocity_failure,False,True,trust_decline,sudden_cascade,5,full_dissolution,False,64,False,none,not_attempted,Trust not reciprocal,preventable,Communication maintenance is prevention,Tower base,Tower of Mirado,915,Archive Commission,0.78,HS-0141,
FC-0142,Digger Colony 155 Defection,expedition,small,91,5,reciprocity_breach,unknown,,cascading,moderate,85.4,unknown,False,False,extraction_pattern,plateau,1982,reorganization,True,3,False,none,not_attempted,Trust not reciprocal,preventable,Expulsion is sometimes necessary,Capital outskirts,Capital,918,Institutional Review Board,0.65,,
FC-0143,Trust Cascade 334,expedition,medium,94,11,defection,multiple_components,,localized,slow,14.8,external_stress,False,True,defection_events,recovery,2456,full_dissolution,False,19,False,none,not_attempted,Horizon mismatch created goal conflict,probably_preventable,Expulsion is sometimes necessary,Capital outskirts,Capital,907,Mord-Anster Group,0.73,HS-0010,
FC-0144,Trust Cascade 444,colony,small,165,41,defection,multiple_components,,localized,moderate,9.8,reciprocity_failure,True,False,defection_events,recovery,1696,partial_dissolution,True,69,True,external_mediation,harmful,Trust not reciprocal,probably_preventable,Trust cascades must be caught early,Klutch CC,Densmok,920,K. Vorn,0.98,,
FC-0145,Trust Cascade 159,colony,small,18,82,defection,external,,spreading,slow,39.0,unknown,False,True,defection_events,oscillating,1909,reorganization,True,10,False,none,not_attempted,Trust not reciprocal,preventable,Expulsion is sometimes necessary,Klutch CC,Densmok,939,Institutional Review Board,0.89,HS-0149,
FC-0146,Institution 739 Reorganization,class,medium,53,5,defection,multiple_components,,localized,slow,17.5,reciprocity_failure,False,False,defection_events,sudden_cascade,27,transformation,True,10,True,external_mediation,failed,Communication channels degraded before crisis,uncertain,Level mismatches are dangerous,Archive vicinity,Capital,895,Archive Commission,0.59,,
FC-0147,Trust Cascade 379,institution,very_large,2825,182,exploitation,external,,spreading,moderate,31.1,trust_erosion,False,False,resource_drain,gradual_worsening,2010,transformation,True,0,True,trust_rebuilding,failed,External stress exceeded federation capacity,preventable,Goal alignment requires ongoing work,Sector NE-4,Dens boundary,897,P. Anster,0.82,,
FC-0148,Institution 607 Reorganization,institution,medium,490,248,free_riding,multiple_components,,spreading,slow,24.0,horizon_mismatch,False,True,performance_decline,sudden_cascade,14,reorganization,True,0,True,external_mediation,successful,External stress exceeded federation capacity,uncertain,Monitor for reciprocity breach,Dens interior,Dens,925,Mord-Anster Group,0.9,HS-0043,
FC-0149,Trust Cascade 734,institution,large,2458,241,defection,external,,localized,moderate,5.3,communication_failure,False,False,defection_events,oscillating,520,reorganization,True,1,True,external_mediation,partial,Horizon mismatch created goal conflict,probably_preventable,Monitor for reciprocity breach,Dens deep,Dens,890,Institutional Review Board,0.65,,
FC-0150,Trust Cascade 292,colony,small,306,36,delegation_failure,external,,simultaneous,slow,72.9,horizon_mismatch,False,True,delegation_failures,gradual_worsening,1071,component_expulsion,True,23,False,none,not_attempted,External stress exceeded federation capacity,probably_preventable,Goal alignment requires ongoing work,Coder quarter,Densmok,913,K. Vorn,0.83,HS-0117,
