form_id,form_name,fl_catalog_id,coord_x,coord_y,coord_z,curvature_local,basin_id,basin_position,stability_score,perturbation_resistance,form_category,prime_association,domain,first_measured,measurement_method,confidence,surveyor,description,notes
MS-0132,Unstable Narrow,,-0.106,-0.2573,-0.059,-1.195,BA-021,outer,0.29,0.32,unstable,3,creature,920,boundary_extrapolation,0.56,K. Strand,Dissolution state where form coherence breaks down. Possibly connected to Keth's spatial observations.,
MS-0133,The Linear State,,0.1985,-0.8545,-0.3415,0.531,BA-012,center,0.9,0.84,major_attractor,5,creature,931,direct_triangulation,0.68,Senate Survey,Strong attractor with high escape velocity. Possibly connected to Keth's spatial observations.,
MS-0134,Narrow Dissolution,,-0.6884,0.2309,-0.0892,-0.585,BA-008,outer,0.14,0.05,unstable,2,place,920,similarity_inference,0.6,Senate Survey,Highly unstable form in a region of negative curvature. Position confirmed by multiple observers.,
MS-0135,The Southern Resting Form,,0.2257,0.1036,-0.1034,1.075,BA-028,inner,0.65,0.56,minor_attractor,5,place,920,direct_triangulation,0.79,Boundary Commission,Secondary attractor providing intermediate stability. Shows oscillation similar to FL-003.,
MS-0136,The Primary Passage,,0.0207,0.1249,0.0668,-2.0,BA-028,ridge_adjacent,0.44,0.5,transitional,3,behavior,931,similarity_inference,0.81,E. Pol (historical),Waypoint between Basin Basin 028 and adjacent territory. Curvature measurements indicate hyperbolic local geometry.,
MS-0137,The Narrow Configuration,,0.7565,0.2388,0.3032,-0.306,BA-007,inner,0.69,0.61,minor_attractor,2,structure,929,boundary_extrapolation,0.73,Western Archive Team,Local minimum in the morphospace landscape. Basin assignment contested until Year 920.,
MS-0138,Recent Flow,,-0.2716,-0.3621,0.4343,-2.0,BA-038,ridge_adjacent,0.33,0.33,transitional,,creature,919,similarity_inference,0.73,Archive Survey Team,Transitional state with limited persistence. Possibly connected to Keth's spatial observations.,
MS-0139,Flat Transition,,-0.5238,-0.2455,0.7942,-1.504,BA-020,ridge_adjacent,0.33,0.32,transitional,,entity,922,direct_triangulation,0.58,Independent Scholar,Waypoint between Basin Basin 020 and adjacent territory. Basin assignment contested until Year 920.,
MS-0140,The Secondary Passage,,0.3849,-0.567,-0.0662,-2.0,BA-033,ridge_adjacent,0.33,0.27,transitional,5,structure,927,direct_triangulation,0.66,Boundary Commission,Passage form connecting distinct regions of morphospace. Basin assignment contested until Year 920.,
MS-0141,Secondary Divergent Pattern,,0.0044,0.3589,0.4362,-1.153,BA-017,outer,0.54,0.47,minor_attractor,,behavior,926,historical_reconstruction,0.83,C. Vells,Local minimum in the morphospace landscape. Possibly connected to Keth's spatial observations.,
MS-0142,The Resonant Pattern,,-0.6589,0.2975,0.1746,0.341,BA-024,center,0.88,0.85,major_attractor,,phenomenon,919,similarity_inference,0.85,P. Brent (historical),One of the foundational forms in morphospace. Coordinates refined in Year 925 survey.,
MS-0143,Secondary Linear Pattern,,0.6801,0.2628,0.4026,0.4,BA-007,inner,0.61,0.59,minor_attractor,7,phenomenon,923,historical_reconstruction,0.65,Senate Survey,Stable resting form on the slopes of Basin Basin 007. Curvature measurements indicate hyperbolic local geometry.,
MS-0144,Spiral Attractor,,-0.5005,-0.5651,0.0458,-0.892,BA-027,outer,0.62,0.53,minor_attractor,,creature,922,similarity_inference,0.66,Independent Scholar,Stable resting form on the slopes of Basin Basin 027. Curvature measurements indicate hyperbolic local geometry.,
MS-0145,Axial Fluctuation,,-0.137,0.6185,0.8873,-2.0,BA-014,ridge_adjacent,0.1,0.06,unstable,5,behavior,930,direct_triangulation,0.92,P. Brent (historical),Dissolution state where form coherence breaks down. Shows oscillation similar to FL-003.,
MS-0146,The Narrow Passage,,-0.2268,0.3515,0.5635,-2.0,BA-029,outer,0.4,0.32,transitional,,creature,928,direct_triangulation,0.57,Archive Survey Team,Waypoint between Basin Basin 029 and adjacent territory. Possibly connected to Keth's spatial observations.,
MS-0147,Eastern Fluctuation,,-0.5878,0.7401,0.4801,-2.0,BA-049,outer,0.3,0.25,unstable,,behavior,932,similarity_inference,0.95,C. Vells,Highly unstable form in a region of negative curvature. Possibly connected to Keth's spatial observations.,
MS-0148,Divergent Waypoint,,-0.1913,1,0.3821,-1.42,BA-049,ridge_adjacent,0.28,0.28,transitional,,behavior,925,similarity_inference,0.65,Archive Survey Team,Waypoint between Basin Basin 049 and adjacent territory. Basin assignment contested until Year 920.,
MS-0149,The Ancient Chaos,,0.5286,-0.1688,-0.7229,-1.719,BA-019,ridge_adjacent,0.27,0.33,unstable,,creature,919,historical_reconstruction,0.9,Archive Survey Team,Dissolution state where form coherence breaks down. Manifestation observed in Yeller Quarry.,
MS-0150,Radial Transition,,-0.1889,0.4806,0.6218,-1.955,BA-014,ridge_adjacent,0.4,0.42,transitional,3,entity,928,similarity_inference,0.58,Independent Scholar,Waypoint between Basin Basin 014 and adjacent territory. Identified through transformation trajectory analysis.,
MS-0151,The Tertiary Pattern,,-0.7377,-0.251,-0.5998,1.047,BA-045,center,0.88,0.78,major_attractor,11,creature,929,similarity_inference,0.66,T. Vells,Deep attractor drawing systems from a wide catchment. Coordinates refined in Year 925 survey.,
MS-0152,The Deep Cycle,,0.1981,-0.9035,-0.3631,0.478,BA-012,center,0.88,0.82,major_attractor,3,creature,922,direct_triangulation,0.81,Senate Survey,Highly stable form at the center of Basin Basin 012. Identified through transformation trajectory analysis.,
MS-0153,Unstable Recent,,0.7794,-0.2524,-0.6309,-2.0,BA-019,outer,0.18,0.16,unstable,,behavior,929,similarity_inference,0.67,Independent Scholar,Dissolution state where form coherence breaks down. Near saddle point SP-001.,
MS-0154,Inner Minor,,0.7001,0.6839,0.5937,-0.712,BA-013,inner,0.67,0.59,minor_attractor,3,creature,919,direct_triangulation,0.78,P. Brent (historical),Local minimum in the morphospace landscape. Boundary Commission survey site.,
MS-0155,Curved Dissolution,,-0.5985,0.079,0.4753,-1.329,BA-040,ridge_adjacent,0.17,0.08,unstable,,creature,921,similarity_inference,0.84,E. Pol (historical),Near-chaos configuration in Dens-correlated territory. Shows oscillation similar to FL-003.,
MS-0156,Deep Waypoint,,0.1212,0.2032,-0.041,-1.618,BA-028,ridge_adjacent,0.41,0.34,transitional,,creature,920,boundary_extrapolation,0.66,K. Strand,Transitional state with limited persistence. Adjacent to documented geodesic path.,
MS-0157,Orbital Waypoint,,-0.6903,0.4681,-0.2314,-2.0,BA-016,ridge_adjacent,0.27,0.21,transitional,3,creature,920,direct_triangulation,0.9,Boundary Commission,Ridge-adjacent form where systems pause briefly. Adjacent to documented geodesic path.,
MS-0158,Outer Attractor,,-0.7401,0.4884,-0.3797,-0.773,BA-016,inner,0.75,0.7,minor_attractor,,place,920,historical_reconstruction,0.75,Western Archive Team,Secondary attractor providing intermediate stability. First documented by Vells in Year 918.,
MS-0159,Divergent Transition,,0.2998,0.704,0.5585,-2.0,BA-001,ridge_adjacent,0.4,0.2,transitional,5,creature,929,boundary_extrapolation,0.64,K. Strand,Transitional state with limited persistence. Near saddle point SP-001.,
MS-0160,The Divergent Resting Form,,0.1306,-0.0558,0.1545,-1.55,BA-022,outer,0.6,0.55,minor_attractor,,entity,924,similarity_inference,0.6,Senate Survey,Stable resting form on the slopes of Basin Basin 022. Manifestation observed in Yeller Quarry.,
MS-0161,Secondary Ancient Pattern,,-0.483,0.1976,0.3945,-0.163,BA-040,outer,0.58,0.5,minor_attractor,,creature,918,similarity_inference,0.81,P. Brent (historical),Secondary attractor providing intermediate stability. Prime association uncertain.,
MS-0162,Transitional Outer,,-0.4969,0.7983,0.1712,-0.446,BA-039,ridge_adjacent,0.29,0.29,transitional,,creature,923,direct_triangulation,0.57,P. Brent (historical),Waypoint between Basin Basin 039 and adjacent territory. Coordinates refined in Year 925 survey.,
MS-0163,The Axial Attractor,,-0.1414,0.6022,0.3232,0.799,BA-004,center,0.98,0.93,major_attractor,2,creature,924,direct_triangulation,0.58,C. Vells,Highly stable form at the center of Basin Triad Basin. Prime association uncertain.,
MS-0164,The Orbital Attractor,,-0.4303,-0.5092,-0.5665,-0.435,BA-047,inner,0.96,0.75,major_attractor,3,behavior,922,boundary_extrapolation,0.83,T. Vells,One of the foundational forms in morphospace. Identified through transformation trajectory analysis.,
MS-0165,The Inner State,,-0.3283,-0.2342,-0.4717,0.269,BA-031,center,0.96,0.9,major_attractor,7,behavior,926,similarity_inference,0.88,E. Pol (historical),One of the foundational forms in morphospace. Boundary Commission survey site.,
MS-0166,The Northern Bridge,,-0.9712,0.0142,-0.6925,-2.0,BA-042,ridge_adjacent,0.38,0.27,transitional,,entity,932,similarity_inference,0.79,E. Pol (historical),Transitional state with limited persistence. Prime association uncertain.,
MS-0167,The Narrow Resting Form,,-0.643,-0.3786,-0.6602,-1.605,BA-045,outer,0.64,0.53,minor_attractor,3,behavior,932,direct_triangulation,0.6,Western Archive Team,Secondary attractor providing intermediate stability. Adjacent to documented geodesic path.,
MS-0168,The Deep Bridge,,-0.2189,0.7059,-0.3286,-2.0,BA-015,ridge_adjacent,0.26,0.31,transitional,3,phenomenon,922,direct_triangulation,0.71,K. Strand,Waypoint between Basin Breathing Hollow and adjacent territory. Possibly connected to Keth's spatial observations.,
MS-0169,Outer Drift,,-0.7914,0.4252,0.1329,-0.407,BA-024,ridge_adjacent,0.26,0.29,unstable,,place,931,similarity_inference,0.79,K. Strand,Near-chaos configuration in Dens-correlated territory. Shows oscillation similar to FL-003.,
MS-0170,Radial State,,-0.3053,-0.0643,0.6057,-2.0,BA-034,outer,0.58,0.62,minor_attractor,3,behavior,922,direct_triangulation,0.88,Independent Scholar,Secondary attractor providing intermediate stability. Adjacent to documented geodesic path.,
MS-0171,The Spiral Form,,0.3099,-0.9091,-0.2957,-0.15,BA-012,inner,0.91,0.8,major_attractor,7,behavior,928,similarity_inference,0.56,Senate Survey,Strong attractor with high escape velocity. Manifestation observed in Yeller Quarry.,
MS-0172,Outer Flow,,0.5777,0.3935,0.2678,-2.0,BA-022,outer,0.48,0.37,transitional,3,entity,921,similarity_inference,0.75,E. Pol (historical),Passage form connecting distinct regions of morphospace. Archive Survey Team documentation.,
MS-0173,Ancient Flow,,-0.0555,-0.5109,-0.9141,-0.471,BA-046,outer,0.39,0.39,transitional,2,entity,924,historical_reconstruction,0.68,K. Strand,Waypoint between Basin Basin 046 and adjacent territory. Identified through transformation trajectory analysis.,
MS-0174,The Wide Configuration,,-0.2938,-0.4163,-0.2312,-0.613,BA-002,outer,0.64,0.57,minor_attractor,5,creature,932,historical_reconstruction,0.62,Independent Scholar,Sheltered form in the lee of the major attractors. Basin assignment contested until Year 920.,
MS-0175,Secondary Western Pattern,,0.8991,-0.2013,0.8514,-1.191,BA-011,outer,0.71,0.74,minor_attractor,5,behavior,918,similarity_inference,0.78,Independent Scholar,Stable resting form on the slopes of Basin Basin 011. Basin assignment contested until Year 920.,
MS-0176,Eastern State,,0.2244,-0.3584,0.2892,-2.0,BA-030,outer,0.66,0.6,minor_attractor,3,creature,929,historical_reconstruction,0.59,E. Pol (historical),Sheltered form in the lee of the major attractors. Position confirmed by multiple observers.,
MS-0177,Orbital Drift,,0.671,0.4708,0.4542,-1.249,BA-007,outer,0.1,0.05,unstable,3,creature,930,direct_triangulation,0.56,Independent Scholar,Near-chaos configuration in Dens-correlated territory. Manifestation observed in Yeller Quarry.,
MS-0178,Secondary State,,-0.8253,-0.1853,-0.2004,-0.211,BA-023,inner,0.78,0.74,minor_attractor,,phenomenon,918,direct_triangulation,0.6,E. Pol (historical),Stable resting form on the slopes of Basin Basin 023. Archive Survey Team documentation.,
MS-0179,Secondary Southern Pattern,,-0.4063,-0.3599,-0.3843,-2.0,BA-047,outer,0.69,0.64,minor_attractor,5,behavior,932,similarity_inference,0.59,T. Vells,Stable resting form on the slopes of Basin Basin 047. Possibly connected to Keth's spatial observations.,
MS-0180,Eastern Attractor,,-0.6265,0.2481,0.2467,-0.372,BA-024,inner,0.6,0.52,minor_attractor,5,creature,931,similarity_inference,0.94,Archive Survey Team,Secondary attractor providing intermediate stability. Position confirmed by multiple observers.,
MS-0181,Transitional Flat,,0.1101,0.1291,-0.1224,-0.007,BA-022,outer,0.35,0.28,transitional,,structure,921,similarity_inference,0.83,Archive Survey Team,Passage form connecting distinct regions of morphospace. Coordinates refined in Year 925 survey.,
MS-0182,Convergent State,,0.4628,0.2236,0.0283,-0.397,BA-001,inner,0.77,0.56,minor_attractor,2,phenomenon,925,historical_reconstruction,0.88,E. Pol (historical),Secondary attractor providing intermediate stability. Possibly connected to Keth's spatial observations.,
MS-0183,The Primary State,,-0.1578,0.5977,0.3746,0.89,BA-004,center,0.99,0.87,major_attractor,2,creature,926,similarity_inference,0.64,P. Brent (historical),Highly stable form at the center of Basin Triad Basin. Shows oscillation similar to FL-003.,
MS-0184,Harmonic Transition,,0.3414,-0.1084,0.5356,-0.684,BA-018,outer,0.38,0.37,transitional,2,behavior,921,similarity_inference,0.78,Boundary Commission,Transitional state with limited persistence. Coordinates refined in Year 925 survey.,
MS-0185,The Convergent Configuration,,-0.1248,-0.0492,0.8008,-2.0,BA-034,outer,0.6,0.48,minor_attractor,11,creature,919,direct_triangulation,0.62,P. Brent (historical),Secondary attractor providing intermediate stability. Boundary Commission survey site.,
MS-0186,The Recent Configuration,,-0.4486,0.0323,-0.6552,-2.0,BA-042,outer,0.61,0.46,minor_attractor,7,creature,921,boundary_extrapolation,0.79,K. Strand,Secondary attractor providing intermediate stability. Identified through transformation trajectory analysis.,
MS-0187,Inner Attractor,,0.1195,-0.5921,0.767,-2.0,BA-006,outer,0.7,0.66,minor_attractor,5,creature,919,similarity_inference,0.89,Western Archive Team,Stable resting form on the slopes of Basin Septenary Basin. Identified through transformation trajectory analysis.,
MS-0188,Northern Transition,,-0.9789,-0.5511,-0.5634,-2.0,BA-026,ridge_adjacent,0.31,0.28,transitional,,place,928,similarity_inference,0.6,Boundary Commission,Ridge-adjacent form where systems pause briefly. Possibly connected to Keth's spatial observations.,
MS-0189,The Western State,,-0.3539,-0.2043,-0.4697,-0.072,BA-031,center,0.99,0.9,major_attractor,5,entity,924,boundary_extrapolation,0.71,Senate Survey,Strong attractor with high escape velocity. Boundary Commission survey site.,
MS-0190,The Dissonant State,,-0.8322,0.091,-0.0979,1.014,BA-008,center,0.91,0.73,major_attractor,2,structure,927,direct_triangulation,0.61,K. Strand,One of the foundational forms in morphospace. Shows oscillation similar to FL-003.,
MS-0191,Unstable Dissonant,,-0.5075,-0.2804,-0.5268,-1.252,BA-031,outer,0.17,0.13,unstable,,creature,929,direct_triangulation,0.61,Senate Survey,Near-chaos configuration in Dens-correlated territory. Basin assignment contested until Year 920.,
MS-0192,The Inner Bridge,,0.2021,-0.2248,0.7669,-0.695,BA-018,outer,0.39,0.31,transitional,3,phenomenon,928,boundary_extrapolation,0.59,Boundary Commission,Ridge-adjacent form where systems pause briefly. Curvature measurements indicate hyperbolic local geometry.,
MS-0193,The Wide Cycle,,0.5081,0.2878,0.0657,-0.749,BA-001,inner,0.91,0.81,major_attractor,3,creature,920,similarity_inference,0.88,Independent Scholar,Deep attractor drawing systems from a wide catchment. Position confirmed by multiple observers.,
MS-0194,The Axial Passage,,0.6673,0.3078,-0.456,-2.0,BA-032,outer,0.48,0.45,transitional,2,phenomenon,931,historical_reconstruction,0.9,P. Brent (historical),Waypoint between Basin Basin 032 and adjacent territory. Curvature measurements indicate hyperbolic local geometry.,
MS-0195,The Wide Instability,,-0.283,-0.0362,0.6477,-2.0,BA-034,outer,0.1,0.16,unstable,3,behavior,924,direct_triangulation,0.78,E. Pol (historical),Near-chaos configuration in Dens-correlated territory. Boundary Commission survey site.,
MS-0196,The Shallow Passage,,0.1525,0.3367,0.3739,-2.0,BA-004,ridge_adjacent,0.31,0.15,transitional,,creature,924,similarity_inference,0.81,Boundary Commission,Transitional state with limited persistence. Possibly connected to Keth's spatial observations.,
MS-0197,The Orbital Chaos,,-0.0401,-0.1625,-0.3036,-2.0,BA-021,outer,0.31,0.29,unstable,2,phenomenon,923,historical_reconstruction,0.74,P. Brent (historical),Dissolution state where form coherence breaks down. Basin assignment contested until Year 920.,
MS-0198,The Resonant Mode,,0.3031,-0.2512,-0.3498,0.206,BA-033,center,0.98,0.91,major_attractor,11,phenomenon,923,boundary_extrapolation,0.72,P. Brent (historical),One of the foundational forms in morphospace. First documented by Vells in Year 918.,
MS-0199,Linear Waypoint,,0.9453,0.5346,0.9263,-2.0,BA-005,ridge_adjacent,0.3,0.2,transitional,,creature,924,historical_reconstruction,0.91,Boundary Commission,Ridge-adjacent form where systems pause briefly. Near saddle point SP-001.,
MS-0200,The Divergent Bridge,,0.2323,0.3551,-0.6382,-1.27,BA-032,outer,0.36,0.39,transitional,,creature,929,similarity_inference,0.85,Independent Scholar,Passage form connecting distinct regions of morphospace. Coordinates refined in Year 925 survey.,
MS-0201,Secondary Wide Pattern,,-0.616,-0.5808,0.0879,-1.478,BA-027,outer,0.63,0.57,minor_attractor,7,phenomenon,921,historical_reconstruction,0.85,Archive Survey Team,Secondary attractor providing intermediate stability. Near saddle point SP-001.,
MS-0202,The Inner Resting Form,,0.69,0.7044,0.9533,-0.268,BA-005,outer,0.7,0.72,minor_attractor,2,creature,928,similarity_inference,0.95,Senate Survey,Secondary attractor providing intermediate stability. Prime association uncertain.,
MS-0203,Transitional Eastern,,0.7425,0.5696,0.7359,-2.0,BA-005,ridge_adjacent,0.31,0.21,transitional,3,creature,932,similarity_inference,0.94,Boundary Commission,Passage form connecting distinct regions of morphospace. Near saddle point SP-001.,
MS-0204,Transitional Resonant,,-0.0018,0.8057,-0.5884,-1.113,BA-035,outer,0.37,0.31,transitional,5,phenomenon,918,similarity_inference,0.92,Boundary Commission,Waypoint between Basin Basin 035 and adjacent territory. Position confirmed by multiple observers.,
MS-0205,Tertiary Waypoint,,-0.7777,0.0162,-0.8191,-2.0,BA-045,ridge_adjacent,0.34,0.26,transitional,,creature,928,similarity_inference,0.8,P. Brent (historical),Transitional state with limited persistence. Basin assignment contested until Year 920.,
MS-0206,Northern Minor,,0.3675,-0.463,0.2287,-0.694,BA-043,inner,0.73,0.75,minor_attractor,,entity,921,similarity_inference,0.85,Independent Scholar,Sheltered form in the lee of the major attractors. Boundary Commission survey site.,
MS-0207,Flat Minor,,-0.4008,0.5694,-0.6838,-1.73,BA-037,outer,0.69,0.58,minor_attractor,,structure,926,direct_triangulation,0.93,E. Pol (historical),Sheltered form in the lee of the major attractors. Possibly connected to Keth's spatial observations.,
MS-0208,Primary Attractor,,0.0073,-0.7155,-0.5925,0.877,BA-025,inner,0.77,0.73,minor_attractor,7,behavior,919,similarity_inference,0.7,P. Brent (historical),Sheltered form in the lee of the major attractors. Adjacent to documented geodesic path.,
MS-0209,The Primary Resting Form,,-0.5353,-0.6644,0.0655,-1.15,BA-027,outer,0.61,0.54,minor_attractor,7,entity,930,direct_triangulation,0.72,K. Strand,Local minimum in the morphospace landscape. Boundary Commission survey site.,
MS-0210,The Primary Chaos,,-0.2705,1,0.8508,-1.247,BA-014,ridge_adjacent,0.08,0.07,unstable,2,creature,925,similarity_inference,0.88,C. Vells,Highly unstable form in a region of negative curvature. Curvature measurements indicate hyperbolic local geometry.,
MS-0211,Transitional Orbital,,-0.4882,-0.4544,-0.0354,-1.578,BA-027,ridge_adjacent,0.3,0.26,transitional,,creature,921,similarity_inference,0.75,T. Vells,Ridge-adjacent form where systems pause briefly. First documented by Vells in Year 918.,
MS-0212,Dissonant Minor,,0.0634,0.8065,-0.797,0.437,BA-035,inner,0.72,0.62,minor_attractor,2,creature,923,direct_triangulation,0.71,Western Archive Team,Secondary attractor providing intermediate stability. Prime association uncertain.,
MS-0213,Secondary Inner Pattern,,-0.4198,0.2659,0.4209,-1.862,BA-040,outer,0.71,0.65,minor_attractor,11,creature,926,direct_triangulation,0.7,K. Strand,Local minimum in the morphospace landscape. Position confirmed by multiple observers.,
MS-0214,Ancient Attractor,,0.5093,0.2311,0.1552,-1.73,BA-007,outer,0.66,0.64,minor_attractor,,creature,924,similarity_inference,0.7,K. Strand,Sheltered form in the lee of the major attractors. Position confirmed by multiple observers.,
MS-0215,Tertiary State,,-0.0486,-0.3807,0.3286,-1.204,BA-006,outer,0.75,0.67,minor_attractor,,entity,922,boundary_extrapolation,0.77,C. Vells,Sheltered form in the lee of the major attractors. Shows oscillation similar to FL-003.,
MS-0216,The Narrow Bridge,,0.0198,-0.7174,0.8083,-2.0,BA-011,ridge_adjacent,0.29,0.19,transitional,2,creature,931,direct_triangulation,0.86,K. Strand,Passage form connecting distinct regions of morphospace. Basin assignment contested until Year 920.,
MS-0217,Secondary Curved Pattern,,0.0527,0.7981,0.658,-0.91,BA-014,outer,0.58,0.42,minor_attractor,7,phenomenon,932,similarity_inference,0.67,Boundary Commission,Sheltered form in the lee of the major attractors. Boundary Commission survey site.,
MS-0218,The Western Resting Form,,0.2175,0.8279,-0.3366,-0.75,BA-041,outer,0.6,0.61,minor_attractor,11,behavior,930,direct_triangulation,0.78,Archive Survey Team,Sheltered form in the lee of the major attractors. Curvature measurements indicate hyperbolic local geometry.,
MS-0219,The Western Pattern,,-0.2958,0.642,0.0127,-1.308,BA-009,inner,0.91,0.8,major_attractor,11,creature,925,similarity_inference,0.58,T. Vells,Highly stable form at the center of Basin Basin 009. Curvature measurements indicate hyperbolic local geometry.,
MS-0220,Ancient Drift,,-0.4346,0.8523,0.3693,-1.38,BA-049,outer,0.17,0.13,unstable,5,creature,919,similarity_inference,0.87,E. Pol (historical),Near-chaos configuration in Dens-correlated territory. Shows oscillation similar to FL-003.,
MS-0221,Northern Waypoint,,-0.6263,0.5335,-0.1455,0.027,BA-036,ridge_adjacent,0.41,0.39,transitional,3,behavior,919,boundary_extrapolation,0.83,C. Vells,Ridge-adjacent form where systems pause briefly. Basin assignment contested until Year 920.,
MS-0222,The Tertiary Form,,-0.2652,0.8596,0.2053,0.818,BA-049,center,0.91,0.76,major_attractor,3,creature,920,direct_triangulation,0.58,K. Strand,One of the foundational forms in morphospace. Manifestation observed in Yeller Quarry.,
MS-0223,Harmonic Flow,,-0.7108,-0.5297,-0.3254,-0.979,BA-002,outer,0.43,0.41,transitional,,creature,923,direct_triangulation,0.82,T. Vells,Passage form connecting distinct regions of morphospace. Boundary Commission survey site.,
MS-0224,The Ancient Pattern,,-0.1796,-0.3518,-0.0718,-0.099,BA-048,inner,0.85,0.71,major_attractor,,creature,929,boundary_extrapolation,0.8,Boundary Commission,One of the foundational forms in morphospace. First documented by Vells in Year 918.,
MS-0225,The Axial Chaos,,0.7054,0.0018,-0.9613,-0.994,BA-010,ridge_adjacent,0.19,0.19,unstable,,creature,918,direct_triangulation,0.94,P. Brent (historical),Fluctuating form with minimal persistence time. First documented by Vells in Year 918.,
MS-0226,Southern Flow,,0.3103,-0.4529,0.196,-0.105,BA-043,outer,0.44,0.42,transitional,5,behavior,926,boundary_extrapolation,0.88,T. Vells,Transitional state with limited persistence. Position confirmed by multiple observers.,
MS-0227,The Inner Chaos,,-0.0645,-0.432,-0.1588,-2.0,BA-048,ridge_adjacent,0.12,0.05,unstable,,structure,925,similarity_inference,0.57,C. Vells,Fluctuating form with minimal persistence time. Archive Survey Team documentation.,
MS-0228,The Wide Resting Form,,-0.4131,0.4161,0.2682,-0.407,BA-029,inner,0.68,0.63,minor_attractor,11,creature,922,direct_triangulation,0.74,Boundary Commission,Stable resting form on the slopes of Basin Basin 029. Basin assignment contested until Year 920.,
MS-0229,The Recent Resting Form,,0.1778,-0.8681,-0.3346,0.045,BA-012,outer,0.55,0.52,minor_attractor,,creature,921,similarity_inference,0.81,Archive Survey Team,Local minimum in the morphospace landscape. Near saddle point SP-001.,
MS-0230,Unstable Outer,,-0.5276,-0.1157,0.7057,-0.288,BA-020,outer,0.09,0.06,unstable,2,structure,922,boundary_extrapolation,0.64,Western Archive Team,Dissolution state where form coherence breaks down. Coordinates refined in Year 925 survey.,
MS-0231,The Secondary Mode,,0.3132,-0.4897,0.2598,0.101,BA-043,center,0.96,0.86,major_attractor,,creature,927,similarity_inference,0.93,E. Pol (historical),One of the foundational forms in morphospace. Shows oscillation similar to FL-003.,
MS-0232,The Eastern Bridge,,-0.3143,0.3492,-0.0538,-2.0,BA-004,ridge_adjacent,0.27,0.2,transitional,5,creature,926,direct_triangulation,0.6,Western Archive Team,Transitional state with limited persistence. Coordinates refined in Year 925 survey.,
MS-0233,The Harmonic Mode,,-0.2766,0.2058,0.2353,-0.418,BA-029,inner,0.92,0.83,major_attractor,11,behavior,929,direct_triangulation,0.73,E. Pol (historical),Deep attractor drawing systems from a wide catchment. Boundary Commission survey site.,
MS-0234,Secondary Recent Pattern,,0.1377,-0.2008,-0.4952,-1.394,BA-033,outer,0.58,0.58,minor_attractor,,creature,921,boundary_extrapolation,0.84,Independent Scholar,Sheltered form in the lee of the major attractors. Shows oscillation similar to FL-003.,
MS-0235,Convergent Minor,,0.5572,0.568,0.6293,-2.0,BA-003,outer,0.63,0.56,minor_attractor,5,phenomenon,926,historical_reconstruction,0.63,Archive Survey Team,Sheltered form in the lee of the major attractors. Possibly connected to Keth's spatial observations.,
MS-0236,The Dissonant Bridge,,0.7945,0.4195,0.8572,-2.0,BA-007,ridge_adjacent,0.27,0.29,transitional,,creature,927,similarity_inference,0.71,Boundary Commission,Waypoint between Basin Basin 007 and adjacent territory. Shows oscillation similar to FL-003.,
MS-0237,Eastern Flow,,-0.6974,-0.5115,0.7926,-2.0,BA-038,ridge_adjacent,0.34,0.33,transitional,,creature,918,similarity_inference,0.64,C. Vells,Passage form connecting distinct regions of morphospace. Possibly connected to Keth's spatial observations.,
MS-0238,The Secondary State,,-0.7741,-0.2447,-0.629,1.177,BA-045,center,0.9,0.87,major_attractor,2,phenomenon,932,historical_reconstruction,0.77,C. Vells,Strong attractor with high escape velocity. Adjacent to documented geodesic path.,
MS-0239,The Spiral Resting Form,,-0.1718,0.3892,0.3324,-0.589,BA-029,outer,0.65,0.54,minor_attractor,7,creature,931,similarity_inference,0.62,Western Archive Team,Local minimum in the morphospace landscape. Adjacent to documented geodesic path.,
MS-0240,The Linear Resting Form,,-0.0125,-0.397,-0.1576,-0.846,BA-050,outer,0.56,0.49,minor_attractor,7,behavior,927,direct_triangulation,0.76,E. Pol (historical),Local minimum in the morphospace landscape. Archive Survey Team documentation.,
MS-0241,Harmonic State,,-0.0942,0.3869,0.5386,-0.04,BA-017,inner,0.6,0.49,minor_attractor,5,phenomenon,927,similarity_inference,0.62,E. Pol (historical),Local minimum in the morphospace landscape. Manifestation observed in Yeller Quarry.,
MS-0242,The Northern Configuration,,0.3964,-0.1636,0.5909,-0.603,BA-018,outer,0.67,0.58,minor_attractor,,behavior,921,similarity_inference,0.93,Western Archive Team,Stable resting form on the slopes of Basin Basin 018. Coordinates refined in Year 925 survey.,
MS-0243,The Spiral Passage,,-0.232,-0.5641,0.038,-2.0,BA-048,ridge_adjacent,0.4,0.4,transitional,,behavior,921,similarity_inference,0.6,P. Brent (historical),Passage form connecting distinct regions of morphospace. Identified through transformation trajectory analysis.,
MS-0244,Wide Fluctuation,,0.4498,-0.0117,-0.3632,-1.571,BA-033,ridge_adjacent,0.15,0.11,unstable,5,creature,927,direct_triangulation,0.92,Boundary Commission,Highly unstable form in a region of negative curvature. Manifestation observed in Yeller Quarry.,
MS-0245,The Linear Pattern,,-0.3443,0.3262,0.1403,0.466,BA-029,center,0.93,0.95,major_attractor,,creature,928,similarity_inference,0.89,Boundary Commission,Highly stable form at the center of Basin Basin 029. Coordinates refined in Year 925 survey.,
MS-0246,Recent Attractor,,-0.0188,0.7203,-0.8337,-0.567,BA-035,inner,0.73,0.7,minor_attractor,5,creature,918,similarity_inference,0.69,C. Vells,Secondary attractor providing intermediate stability. First documented by Vells in Year 918.,
