observation_id,location_id,location_name,region,pre_observation_stability,observer_count,observation_duration_hours,instruments_used,post_observation_stability,stability_change,prebel_effect_magnitude,confounding_weather,confounding_season,confounding_nearby_activity,observer_names,notes
OBS-0123,CAPEA_DEAD_RIVER_O,Dead River Overlook,Capeast,0.52,5,8.0,compass;telescope,0.81,0.29,0.88,clear,spring,none,"Prebel Cord, Archon Vells, Gareth Poll, Rella Tarn, Kerith Moll",Maximum observers; boundary site; high effect
OBS-0124,DENSM_SMOKELINE_IN,Smokeline Industrial Park,Densmok,0.4,5,8.0,barometer;compass,0.68,0.28,0.84,clear,spring,none,"Maren Drusk, Vass Tonner, Gareth Poll, Prebel Cord, Rella Tarn",Maximum observers; no industry; strong response
OBS-0125,YELLE_TRAP_FIELDS_,Trap Fields North,Yeller,0.27,3,4.0,compass;trap_meter,0.48,0.21,0.74,overcast,spring,none,"Hesta Vorn, Pollux Dann, Renna Caw",Standard observation; solid effect
OBS-0126,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.79,3,18.0,none,0.93,0.14,0.67,clear,winter,none,"Prebel Cord, Captain Vrell, Old Murch",Winter extended observation
OBS-0127,CAPIT_CITY_WALL_EA,City Wall East Gate,Capital,0.55,4,5.0,compass,0.71,0.16,0.58,clear,autumn,none,"Prebel Cord, Donal Crest, Captain Vrell, Solta Venn",Gate stabilizes well with multiple observers
OBS-0128,YELLE_OLD_ROPE_BRI,Old Rope Bridge,Yeller,0.18,2,3.0,compass;rope_gauge,0.35,0.17,0.61,rain,winter,none,"Tomas Grell, Senna Grell",Rain reduces bridge stability and effect
OBS-0129,CAPEA_CAPEAST_ARTE,Capeast Arterial Road,Capeast,0.54,4,4.0,compass,0.64,0.10,0.37,clear,autumn,none,"Gareth Poll, Maren Drusk, Vass Tonner, Prebel Cord",Road; traffic-free; moderate effect
OBS-0130,DENSM_DENSMOK_BUS_,Densmok Bus Hub,Densmok,0.46,5,6.0,compass,0.68,0.22,0.74,clear,autumn,none,"Gareth Poll, Vass Tonner, Maren Drusk, Prebel Cord, Rella Tarn",Maximum observers; transit hub responds
OBS-0131,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.23,4,8.0,compass;depth_gauge;barometer,0.65,0.42,0.93,clear,winter,none,"Prebel Cord, Kerith Moll, Vagabu Olt, Archon Vells",Winter optimal conditions
OBS-0132,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.87,4,20.0,none,0.98,0.11,0.85,clear,spring,none,"Prebel Cord, Kerith Moll, Captain Vrell, Archon Vells",Silence monastery approaches ceiling
OBS-0133,CAPIT_OUTER_ARCHIV,Outer Archive Annex,Capital,0.75,3,6.0,compass,0.83,0.08,0.32,clear,spring,none,"Queever, Minor Archivist Trell, Solta Venn",Archive annex; moderate effect
OBS-0134,YELLE_STALL_TOWN_B,Stall Town Bone Gate,Yeller,0.33,5,6.0,compass,0.68,0.35,0.90,clear,summer,none,"Lurra Venn, Vagabu Olt, Foreman Hask, Meck Drune, Old Murch",Maximum presence; gate stabilizes strongly
OBS-0135,CAPEA_CAPEAST_WALM,Capeast Walmart,Capeast,0.69,3,3.0,compass,0.72,0.03,0.11,clear,autumn,none,"Gareth Poll, Maren Drusk, Vass Tonner",Commercial; minimal effect even with team
OBS-0136,DENSM_OVERPASS_GRA,Overpass Graffiti Span,Densmok,0.35,5,6.0,compass;barometer,0.65,0.30,0.86,clear,spring,none,"Maren Drusk, Vass Tonner, Gareth Poll, Prebel Cord, Rella Tarn",Maximum; urban infrastructure responds
OBS-0137,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.28,3,5.0,depth_gauge;compass,0.53,0.25,0.79,clear,autumn,none,"Hesta Vorn, Renna Caw, Jara Torval",Standard cave team; good effect
OBS-0138,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.77,2,6.0,none,0.85,0.08,0.35,overcast,spring,none,"Prebel Cord, Captain Vrell",Smaller team; monastery still responds
OBS-0139,CAPIT_CAPITAL_TRAI,Capital Train Yard,Capital,0.51,5,8.0,compass;barometer,0.74,0.23,0.77,clear,autumn,none,"Solta Venn, Prebel Cord, Administrator Venn, Foreman Hask, Captain Vrell",Maximum observers; no freight; good response
OBS-0140,YELLE_YELLER_GUIDE,Yeller Guide Office,Yeller,0.43,5,8.0,compass,0.76,0.33,0.90,clear,autumn,none,"Lurra Venn, Old Murch, Foreman Hask, Meck Drune, Vagabu Olt",Maximum guild presence; frontier office stabilizes
OBS-0141,CAPEA_MIRADO_STICK,Mirado Sticks Viewpoint,Capeast,0.6,5,8.0,compass;telescope,0.84,0.24,0.80,clear,autumn,none,"Prebel Cord, Archon Vells, Gareth Poll, Rella Tarn, Kerith Moll",Maximum; distance observation; strong effect
OBS-0142,DENSM_OLD_QUARRY_R,Old Quarry Road Motel,Densmok,0.42,5,24.0,compass,0.75,0.33,0.89,clear,summer,none,"Gareth Poll, Vass Tonner, Maren Drusk, Prebel Cord, Rella Tarn",Maximum; extended; motel stabilizes well
OBS-0143,YELLE_BONE_HUSK_MA,Bone Husk Market,Yeller,0.34,4,6.0,compass;scale,0.64,0.30,0.86,clear,autumn,none,"Prebel Cord, Lurra Venn, Vagabu Olt, Old Murch",Market closed; strong response
OBS-0144,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.82,5,60.0,none,0.99,0.17,0.94,clear,summer,none,"Prebel Cord, Old Murch, Captain Vrell, Kerith Moll, Archon Vells",Maximum effect: five observers; 2.5 days; perfect conditions
OBS-0145,CAPIT_SENATE_SQUAR,Senate Square,Capital,0.66,5,6.0,compass;barometer,0.82,0.16,0.57,clear,spring,none,"Donal Crest, Solta Venn, Prebel Cord, Pella Valdun, Captain Vrell",Maximum observers; no political event; moderate effect
OBS-0146,YELLE_TRAP_FIELDS_,Trap Fields South,Yeller,0.31,5,8.0,trap_meter;compass;barometer,0.69,0.38,0.92,clear,autumn,none,"Wen Torval, Jara Torval, Hesta Vorn, Renna Caw, Pollux Dann",Maximum team; southern fields respond strongly
OBS-0147,CAPEA_DEAD_RIVER_O,Dead River Overlook,Capeast,0.54,4,6.0,compass;telescope,0.74,0.20,0.71,overcast,winter,none,"Prebel Cord, Gareth Poll, Archon Vells, Rella Tarn",Winter observation; good effect
OBS-0148,DENSM_DENSMOK_HILL,Densmok Hillcut,Densmok,0.46,3,5.0,compass,0.61,0.15,0.55,clear,spring,none,"Maren Drusk, Vass Tonner, Gareth Poll",Residential hill; moderate stabilization
OBS-0149,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.19,5,12.0,compass;depth_gauge;barometer,0.78,0.59,0.99,clear,summer,none,"Prebel Cord, Kerith Moll, Vagabu Olt, Tomas Grell, Archon Vells",Maximum recorded effect: optimal conditions throughout
OBS-0150,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.88,5,30.0,none,0.99,0.11,0.92,clear,autumn,meditation,"Prebel Cord, Kerith Moll, Captain Vrell, Archon Vells, Old Murch",Near-perfect: maximum observers; extended; meditation; silence
OBS-0151,CAPIT_KACHOT_CARDH,Kachot Cardhouse,Capital,0.46,5,8.0,compass,0.68,0.22,0.71,clear,winter,none,"Donal Crest, Lurra Venn, Old Murch, Mink Pavar, Solta Venn",Maximum; cardhouse closed; good effect
OBS-0152,YELLE_OLD_ROPE_BRI,Old Rope Bridge,Yeller,0.16,5,8.0,compass;rope_gauge;barometer,0.71,0.55,0.98,clear,spring,none,"Tomas Grell, Senna Grell, Gareth Poll, Prebel Cord, Kerith Moll",Maximum effect on unstable bridge; dramatic stabilization
OBS-0153,CAPEA_RIVERSLAND_S,Riversland Subdivision,Capeast,0.72,4,5.0,compass,0.79,0.07,0.25,clear,summer,none,"Gareth Poll, Maren Drusk, Vass Tonner, Prebel Cord",Stable suburb; small measurable effect
OBS-0154,DENSM_SMOKELINE_IN,Smokeline Industrial Park,Densmok,0.39,3,5.0,barometer,0.54,0.15,0.54,overcast,autumn,none,"Maren Drusk, Vass Tonner, Gareth Poll",Industrial area; moderate effect
OBS-0155,YELLE_STALL_TOWN_W,Stall Town West Cut,Yeller,0.34,4,6.0,compass,0.63,0.29,0.85,clear,autumn,none,"Lurra Venn, Vagabu Olt, Meck Drune, Foreman Hask",Trade boundary; strong stabilization
OBS-0156,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.78,5,20.0,none,0.97,0.19,0.86,clear,summer,ritual,"Prebel Cord, Kerith Moll, Captain Vrell, Old Murch, Archon Vells",Maximum with ritual; near-ceiling
OBS-0157,CAPIT_PAPER_BINDER,Paper Binders Row,Capital,0.8,4,10.0,compass,0.88,0.08,0.40,clear,summer,none,"Solta Venn, Queever, Minor Archivist Trell, Keeper of Maps",Archival area; moderate effect
OBS-0158,YELLE_QUARRY_RIM_S,Quarry Rim Shacks,Yeller,0.2,5,8.0,depth_gauge;compass,0.72,0.52,0.97,clear,summer,none,"Rella Tarn, Hesta Vorn, Pollux Dann, Jara Torval, Wen Torval",Maximum team; unstable rim; dramatic stabilization
OBS-0159,CAPEA_CAPEAST_STRI,Capeast Strip of Bars,Capeast,0.38,4,4.0,compass,0.48,0.10,0.35,clear,autumn,none,"Gareth Poll, Donal Crest, Maren Drusk, Vass Tonner",Nightlife area closed; small effect
OBS-0160,DENSM_DENSMOK_STRI,Densmok Strip Mall,Densmok,0.44,5,6.0,compass,0.62,0.18,0.61,clear,spring,none,"Vass Tonner, Maren Drusk, Gareth Poll, Prebel Cord, Rella Tarn",Maximum; commercial closed; moderate effect
OBS-0161,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.24,4,8.0,depth_gauge;compass;barometer,0.68,0.44,0.94,clear,autumn,none,"Prebel Cord, Hesta Vorn, Renna Caw, Jara Torval",Extended cave observation; near-maximum
OBS-0162,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.83,4,24.0,none,0.97,0.14,0.82,clear,spring,none,"Prebel Cord, Captain Vrell, Old Murch, Kerith Moll",Extended isolated observation
OBS-0163,CAPIT_CITY_WALL_QU,City Wall Quarry Gate,Capital,0.52,4,5.0,compass,0.68,0.16,0.58,clear,autumn,none,"Prebel Cord, Captain Vrell, Foreman Hask, Solta Venn",Gate infrastructure; moderate effect
OBS-0164,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.22,4,6.0,compass;depth_gauge,0.58,0.36,0.89,overcast,autumn,none,"Prebel Cord, Vagabu Olt, Kerith Moll, Tomas Grell",Standard team; overcast; good effect
OBS-0165,CAPEA_CAPEAST_YOUT,Capeast Youth Church,Capeast,0.68,4,4.0,compass,0.75,0.07,0.26,clear,summer,none,"Gareth Poll, Maren Drusk, Vass Tonner, Prebel Cord",Church empty; small measurable effect
OBS-0166,DENSM_DENSMOK_BUS_,Densmok Bus Hub,Densmok,0.47,4,6.0,compass,0.65,0.18,0.63,clear,summer,none,"Gareth Poll, Vass Tonner, Maren Drusk, Prebel Cord",Transit hub responds moderately
OBS-0167,YELLE_TRAP_FIELDS_,Trap Fields North,Yeller,0.28,4,5.0,compass;trap_meter,0.56,0.28,0.83,clear,summer,none,"Hesta Vorn, Pollux Dann, Renna Caw, Jara Torval",Four taxonomists; northern fields respond well
OBS-0168,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.89,4,14.0,none,0.97,0.08,0.73,overcast,autumn,meditation,"Prebel Cord, Kerith Moll, Captain Vrell, Archon Vells",Near-ceiling; small room for improvement
OBS-0169,CAPIT_CENTRAL_ARCH,Central Archive,Capital,0.9,4,12.0,compass;barometer,0.96,0.06,0.60,clear,spring,none,"Queever, Solta Venn, Keeper of Maps, Prebel Cord",Stable archive; approaches ceiling
OBS-0170,YELLE_OLD_ROPE_BRI,Old Rope Bridge,Yeller,0.19,4,5.0,compass;rope_gauge,0.56,0.37,0.90,clear,autumn,none,"Tomas Grell, Senna Grell, Gareth Poll, Prebel Cord",Four observers; bridge stabilizes significantly
OBS-0171,CAPEA_DEAD_RIVER_O,Dead River Overlook,Capeast,0.5,3,4.0,compass;telescope,0.64,0.14,0.50,clear,summer,none,"Prebel Cord, Gareth Poll, Archon Vells",Boundary overlook; solid response
OBS-0172,DENSM_OLD_QUARRY_R,Old Quarry Road Motel,Densmok,0.45,3,8.0,compass,0.59,0.14,0.50,rain,autumn,none,"Gareth Poll, Vass Tonner, Maren Drusk",Rain reduces motel stabilization
OBS-0173,YELLE_BONE_HUSK_MA,Bone Husk Market,Yeller,0.32,3,4.0,compass,0.49,0.17,0.61,overcast,spring,none,"Lurra Venn, Vagabu Olt, Meck Drune",Market boundary; moderate effect
OBS-0174,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.79,4,10.0,none,0.94,0.15,0.71,clear,autumn,ritual,"Prebel Cord, Kerith Moll, Captain Vrell, Old Murch",Ritual enhances monastery response
OBS-0175,CAPIT_DEADRIVER_FE,Deadriver Ferry Office,Capital,0.57,5,8.0,compass,0.78,0.21,0.72,clear,autumn,none,"Prebel Cord, Solta Venn, Administrator Venn, Donal Crest, Captain Vrell",Maximum; bureaucratic site; strong effect
OBS-0176,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.24,3,4.0,compass;depth_gauge,0.47,0.23,0.77,clear,spring,none,"Prebel Cord, Vagabu Olt, Tomas Grell",Standard observation; good effect
OBS-0177,CAPEA_MIRADO_STICK,Mirado Sticks Viewpoint,Capeast,0.63,3,4.0,compass;telescope,0.74,0.11,0.42,overcast,autumn,none,"Archon Vells, Gareth Poll, Prebel Cord",Distance observation; moderate effect
OBS-0178,DENSM_OVERPASS_GRA,Overpass Graffiti Span,Densmok,0.37,4,5.0,compass;barometer,0.58,0.21,0.73,clear,autumn,none,"Maren Drusk, Vass Tonner, Gareth Poll, Prebel Cord",Urban infrastructure responds to team observation
OBS-0179,YELLE_STALL_TOWN_B,Stall Town Bone Gate,Yeller,0.35,3,4.0,compass,0.51,0.16,0.58,overcast,autumn,checkpoint,"Lurra Venn, Vagabu Olt, Foreman Hask",Checkpoint activity confounds slightly
OBS-0180,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.84,4,20.0,none,0.97,0.13,0.81,clear,autumn,none,"Prebel Cord, Captain Vrell, Old Murch, Archon Vells",Extended isolated; high effect
OBS-0181,CAPIT_OUTER_ARCHIV,Outer Archive Annex,Capital,0.77,5,10.0,compass;barometer,0.90,0.13,0.57,clear,summer,none,"Queever, Minor Archivist Trell, Solta Venn, Keeper of Maps, Prebel Cord",Maximum at archive annex
OBS-0182,YELLE_QUARRY_RIM_S,Quarry Rim Shacks,Yeller,0.25,4,5.0,depth_gauge;compass,0.59,0.34,0.88,clear,autumn,none,"Rella Tarn, Hesta Vorn, Jara Torval, Pollux Dann",Four observers; rim stabilizes well
OBS-0183,CAPEA_CAPEAST_USED,Capeast Used Car Lots,Capeast,0.56,4,4.0,compass,0.61,0.05,0.18,clear,autumn,none,"Gareth Poll, Maren Drusk, Vass Tonner, Prebel Cord",Commercial; minimal effect
OBS-0184,DENSM_DENSMOK_HILL,Densmok Hillcut,Densmok,0.49,5,10.0,compass;barometer,0.81,0.32,0.90,clear,autumn,none,"Prebel Cord, Maren Drusk, Vass Tonner, Gareth Poll, Rella Tarn",Maximum; residential responds strongly
OBS-0185,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.27,5,12.0,depth_gauge;compass;barometer,0.81,0.54,0.99,clear,summer,none,"Prebel Cord, Hesta Vorn, Renna Caw, Pollux Dann, Jara Torval",Near-maximum: optimal cave conditions
OBS-0186,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.9,5,36.0,none,0.99,0.09,0.90,clear,summer,meditation,"Prebel Cord, Kerith Moll, Captain Vrell, Archon Vells, Old Murch",Maximum: approaches 0.99 ceiling at silence monastery
OBS-0187,CAPIT_CITY_WALL_EA,City Wall East Gate,Capital,0.54,5,6.0,compass,0.74,0.20,0.69,clear,summer,none,"Prebel Cord, Donal Crest, Captain Vrell, Solta Venn, Foreman Hask",Maximum; gate infrastructure responds well
OBS-0188,YELLE_YELLER_GUIDE,Yeller Guide Office,Yeller,0.44,5,10.0,compass,0.81,0.37,0.93,clear,spring,none,"Lurra Venn, Old Murch, Foreman Hask, Meck Drune, Vagabu Olt",Maximum guild; frontier office; high effect
OBS-0189,CAPEA_DUSTY_SOCCER,Dusty Soccer Fields,Capeast,0.64,4,4.0,compass,0.71,0.07,0.25,clear,summer,none,"Gareth Poll, Maren Drusk, Vass Tonner, Prebel Cord",Recreational; small effect with team
OBS-0190,DENSM_SMOKELINE_IN,Smokeline Industrial Park,Densmok,0.42,5,10.0,barometer;compass,0.74,0.32,0.87,clear,summer,none,"Maren Drusk, Vass Tonner, Gareth Poll, Prebel Cord, Rella Tarn",Maximum; no industry; strong response
OBS-0191,YELLE_TRAP_FIELDS_,Trap Fields South,Yeller,0.3,5,10.0,trap_meter;compass;barometer,0.74,0.44,0.94,clear,summer,none,"Wen Torval, Jara Torval, Hesta Vorn, Renna Caw, Pollux Dann",Maximum team; extended; southern fields respond
OBS-0192,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.8,5,24.0,none,0.98,0.18,0.90,clear,spring,ritual,"Prebel Cord, Kerith Moll, Captain Vrell, Old Murch, Archon Vells",Maximum with extended ritual observation
OBS-0193,CAPIT_SENATE_SQUAR,Senate Square,Capital,0.69,4,5.0,compass;barometer,0.81,0.12,0.45,overcast,autumn,none,"Donal Crest, Solta Venn, Prebel Cord, Captain Vrell",Public space; moderate effect
OBS-0194,YELLE_OLD_ROPE_BRI,Old Rope Bridge,Yeller,0.15,5,10.0,compass;rope_gauge;barometer,0.76,0.61,0.99,clear,summer,none,"Tomas Grell, Senna Grell, Gareth Poll, Prebel Cord, Kerith Moll",Maximum recorded: extremely unstable bridge; complete stabilization
OBS-0195,CAPEA_RIVERSLAND_H,Riversland High School,Capeast,0.75,4,5.0,compass,0.81,0.06,0.24,clear,summer,none,"Gareth Poll, Maren Drusk, Vass Tonner, Prebel Cord",School empty; small effect measurable
OBS-0196,DENSM_DENSMOK_STRI,Densmok Strip Mall,Densmok,0.45,4,6.0,compass,0.59,0.14,0.50,clear,autumn,none,"Vass Tonner, Maren Drusk, Gareth Poll, Prebel Cord",Commercial; moderate response when closed
OBS-0197,YELLE_STALL_TOWN_W,Stall Town West Cut,Yeller,0.37,5,8.0,compass,0.76,0.39,0.93,clear,summer,none,"Lurra Venn, Vagabu Olt, Meck Drune, Foreman Hask, Old Murch",Maximum presence; trade boundary; high effect
OBS-0198,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.85,5,72.0,none,0.99,0.14,0.97,clear,summer,none,"Prebel Cord, Old Murch, Captain Vrell, Kerith Moll, Archon Vells",Record: three days; maximum observers; isolated; approaches perfect 0.99
OBS-0199,CAPIT_CAPITAL_TRAI,Capital Train Yard,Capital,0.5,4,6.0,compass;barometer,0.69,0.19,0.66,clear,summer,none,"Solta Venn, Prebel Cord, Administrator Venn, Foreman Hask",No freight; yard stabilizes moderately
OBS-0200,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.17,5,14.0,compass;depth_gauge;barometer,0.82,0.65,1.0,clear,summer,none,"Prebel Cord, Kerith Moll, Vagabu Olt, Tomas Grell, Archon Vells",Maximum recorded Prebel Effect: optimal duration; maximum observers; ideal conditions; lowest initial stability transformed to high stability
